i,suite,case,CRYSTAL_THRESH,BLOCK_SIZE,NO_SET,SIZE,CHUNK,NO_FRUNCATE,FILE_COUNT,SIM_TIME,SKIP_WARMUP,SIM_SIZE,DISK_SIZE,SEED,DISK_GEOMETRY,FILE_SIZE,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
33,bench_p26_wt,bench_p26_wt_many,-1,32768,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,23488000,134970920,498708,8103,7871527999,255338496,265519104,3600043765933,100.083100
33,bench_p26_wt,bench_p26_wt_many,-1,32768,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,23488000,0,0,0,0,0,0,3552,100.083197
33,bench_p26_wt,bench_p26_wt_many,-1,32768,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,23488000,0,0,0,0,0,0,848,100.083245
33,bench_p26_wt,bench_p26_wt_many,-1,32768,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,23488000,0,0,0,0,0,0,1296,100.083286
33,bench_p26_wt,bench_p26_wt_many,-1,32768,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,23488000,0,0,0,0,0,0,33619968,100.083324
35,bench_p26_wt,bench_p26_wt_many,-1,131072,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,13888960,131420444,288750,1181,15417918233,147840000,154796032,3600006098651,128.626349
35,bench_p26_wt,bench_p26_wt_many,-1,131072,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,13888960,0,0,0,0,0,0,3552,128.626455
35,bench_p26_wt,bench_p26_wt_many,-1,131072,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,13888960,0,0,0,0,0,0,848,128.634778
35,bench_p26_wt,bench_p26_wt_many,-1,131072,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,13888960,0,0,0,0,0,0,1296,128.634845
35,bench_p26_wt,bench_p26_wt_many,-1,131072,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,13888960,0,0,0,0,0,0,34603008,128.634897
38,bench_p26_wt,bench_p26_wt_many,-1,1048576,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,2251392,126771056,49406,240,24803077261,25295872,31457280,3600080806519,164.983713
38,bench_p26_wt,bench_p26_wt_many,-1,1048576,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,2251392,0,0,0,0,0,0,3568,164.983802
38,bench_p26_wt,bench_p26_wt_many,-1,1048576,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,2251392,0,0,0,0,0,0,848,164.983842
38,bench_p26_wt,bench_p26_wt_many,-1,1048576,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,2251392,0,0,0,0,0,0,1296,164.983875
38,bench_p26_wt,bench_p26_wt_many,-1,1048576,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,2251392,0,0,0,0,0,0,23068672,164.983906
37,bench_p26_wt,bench_p26_wt_many,-1,524288,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,4520384,127384139,96052,440,23349728940,49178624,57671680,3600036087492,174.050133
37,bench_p26_wt,bench_p26_wt_many,-1,524288,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,4520384,0,0,0,0,0,0,3552,174.050222
37,bench_p26_wt,bench_p26_wt_many,-1,524288,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,4520384,0,0,0,0,0,0,848,174.058535
37,bench_p26_wt,bench_p26_wt_many,-1,524288,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,4520384,0,0,0,0,0,0,1296,174.058596
37,bench_p26_wt,bench_p26_wt_many,-1,524288,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,4520384,0,0,0,0,0,0,36700160,174.058634
36,bench_p26_wt,bench_p26_wt_many,-1,262144,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,8840768,129284655,182662,752,19674435053,93522944,98566144,3600008572055,177.061135
36,bench_p26_wt,bench_p26_wt_many,-1,262144,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,8840768,0,0,0,0,0,0,3552,177.061205
36,bench_p26_wt,bench_p26_wt_many,-1,262144,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,8840768,0,0,0,0,0,0,848,177.061237
36,bench_p26_wt,bench_p26_wt_many,-1,262144,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,8840768,0,0,0,0,0,0,1296,177.061265
36,bench_p26_wt,bench_p26_wt_many,-1,262144,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,8840768,0,0,0,0,0,0,35127296,177.061290
40,bench_p26_wt,bench_p26_wt_logging,-1,8192,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,8191488,126657993,1627301,109179,2706652024,833178112,894394368,3600010442728,34.615674
40,bench_p26_wt,bench_p26_wt_logging,-1,8192,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,8191488,0,0,0,0,0,0,3328,34.615788
40,bench_p26_wt,bench_p26_wt_logging,-1,8192,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,8191488,0,0,0,0,0,0,624,34.615842
40,bench_p26_wt,bench_p26_wt_logging,-1,8192,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,8191488,0,0,0,0,0,0,1296,34.615888
40,bench_p26_wt,bench_p26_wt_logging,-1,8192,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,8191488,0,0,0,0,0,0,8781824,34.615932
43,bench_p26_wt,bench_p26_wt_logging,-1,65536,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,20091904,112185880,2899508,23675,3526244842,1484548096,1551564800,3600018195550,41.914508
