i,suite,case,FILE_COUNT,SEED,SIZE,NO_SET,FS,DISK_SIZE,BLOCK_SIZE,DISK_GEOMETRY,SKIP_WARMUP,SIM_SIZE,CHUNK,FILE_SIZE,SIM_TIME,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
22,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,8192,0,0,0,64,64,3600000000000,0,stack,6621696,0,0,0,0,0,0,3248,7.887230
22,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,8192,0,0,0,64,64,3600000000000,0,ctx,6621696,0,0,0,0,0,0,608,7.887276
22,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,8192,0,0,0,64,64,3600000000000,0,heap,6621696,0,0,0,0,0,0,784,7.887316
22,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,8192,0,0,0,64,64,3600000000000,0,usage,6621696,0,0,0,0,0,0,4358144,7.887355
24,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,32768,0,0,0,64,64,3600000000000,0,write,4567104,461601975,1779088,63704,461601975,223411307,260931584,3601166198921,8.196156
24,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,32768,0,0,0,64,64,3600000000000,0,stack,4567104,0,0,0,0,0,0,3296,8.196242
24,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,32768,0,0,0,64,64,3600000000000,0,ctx,4567104,0,0,0,0,0,0,608,8.196293
24,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,32768,0,0,0,64,64,3600000000000,0,heap,4567104,0,0,0,0,0,0,784,8.196325
24,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,32768,0,0,0,64,64,3600000000000,0,usage,4567104,0,0,0,0,0,0,4620288,8.196364
23,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,16384,0,0,0,64,64,3600000000000,0,write,5581184,535471099,1785763,63560,535471099,223603599,260341760,3600315665365,8.794428
23,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,16384,0,0,0,64,64,3600000000000,0,stack,5581184,0,0,0,0,0,0,3296,8.794507
23,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,16384,0,0,0,64,64,3600000000000,0,ctx,5581184,0,0,0,0,0,0,608,8.794545
23,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,16384,0,0,0,64,64,3600000000000,0,heap,5581184,0,0,0,0,0,0,784,8.794578
23,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,16384,0,0,0,64,64,3600000000000,0,usage,5581184,0,0,0,0,0,0,4456448,8.794610
21,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,4096,0,0,0,64,64,3600000000000,0,write,7800256,843240476,2023461,61169,843240476,219014615,250548224,3600057088597,9.457415
21,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,4096,0,0,0,64,64,3600000000000,0,stack,7800256,0,0,0,0,0,0,3296,9.457477
21,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,4096,0,0,0,64,64,3600000000000,0,ctx,7800256,0,0,0,0,0,0,608,9.457508
21,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,4096,0,0,0,64,64,3600000000000,0,heap,7800256,0,0,0,0,0,0,784,9.457533
21,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,4096,0,0,0,64,64,3600000000000,0,usage,7800256,0,0,0,0,0,0,4820992,9.457556
31,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,8192,0,0,0,64,64,3600000000000,0,write,60030592,9532883624,1779040,55618,9532883624,217171148,227811328,3600020563300,67.660490
31,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,8192,0,0,0,64,64,3600000000000,0,stack,60030592,0,0,0,0,0,0,3488,67.660597
31,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,8192,0,0,0,64,64,3600000000000,0,ctx,60030592,0,0,0,0,0,0,848,67.660648
31,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,8192,0,0,0,64,64,3600000000000,0,heap,60030592,0,0,0,0,0,0,784,67.660705
31,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,8192,0,0,0,64,64,3600000000000,0,usage,60030592,0,0,0,0,0,0,32161792,67.660748
30,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,4096,0,0,0,64,64,3600000000000,0,write,65273856,6305946422,1881890,57569,6305946422,223237770,235802624,3600003883694,80.976551
30,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,4096,0,0,0,64,64,3600000000000,0,stack,65273856,0,0,0,0,0,0,3488,80.976652
30,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,4096,0,0,0,64,64,3600000000000,0,ctx,65273856,0,0,0,0,0,0,848,80.976701
30,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,4096,0,0,0,64,64,3600000000000,0,heap,65273856,0,0,0,0,0,0,784,80.976745
30,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,4096,0,0,0,64,64,3600000000000,0,usage,65273856,0,0,0,0,0,0,31920128,80.976785
32,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,16384,0,0,0,64,64,3600000000000,0,write,53459072,14779649969,1628758,52296,14779649969,204675866,214204416,3600036235414,170.427652
32,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,16384,0,0,0,64,64,3600000000000,0,stack,53459072,0,0,0,0,0,0,3488,170.427755
32,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,16384,0,0,0,64,64,3600000000000,0,ctx,53459072,0,0,0,0,0,0,848,170.427807
32,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,16384,0,0,0,64,64,3600000000000,0,heap,53459072,0,0,0,0,0,0,784,170.427849
32,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,16384,0,0,0,64,64,3600000000000,0,usage,53459072,0,0,0,0,0,0,32505856,170.427889
33,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,32768,0,0,0,64,64,3600000000000,0,write,45625280,23404797983,1417617,46520,23404797983,181341318,190545920,3600203136458,175.829247
33,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,32768,0,0,0,64,64,3600000000000,0,stack,45625280,0,0,0,0,0,0,3488,175.829352
33,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,32768,0,0,0,64,64,3600000000000,0,ctx,45625280,0,0,0,0,0,0,848,175.829404
33,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,32768,0,0,0,64,64,3600000000000,0,heap,45625280,0,0,0,0,0,0,784,175.829450
33,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,32768,0,0,0,64,64,3600000000000,0,usage,45625280,0,0,0,0,0,0,34537472,175.829501
34,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,65536,0,0,0,64,64,3600000000000,0,write,35531840,35100305988,1139212,38608,35100305988,149951886,158138368,3600000055338,211.417883
34,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,65536,0,0,0,64,64,3600000000000,0,stack,35531840,0,0,0,0,0,0,3488,211.417972
34,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,65536,0,0,0,64,64,3600000000000,0,ctx,35531840,0,0,0,0,0,0,848,211.418013
34,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,65536,0,0,0,64,64,3600000000000,0,heap,35531840,0,0,0,0,0,0,784,211.418047
34,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,65536,0,0,0,64,64,3600000000000,0,usage,35531840,0,0,0,0,0,0,34209792,211.418081
35,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,131072,0,0,0,64,64,3600000000000,0,write,25080640,48020617685,843278,29792,48020617685,113741812,122028032,3601004900964,279.231596
35,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,131072,0,0,0,64,64,3600000000000,0,stack,25080640,0,0,0,0,0,0,3488,279.231680
35,bench_p26_wt,bench_p26_wt_many,32768,42,2097152,0,3,134217728,131072,0,0,0,64,64,3600000000000,0,ctx,25080640,0,0,0,0,0,0,848,279.231721
