i,suite,case,FS,FILE_SIZE,SKIP_WARMUP,PROG_SIZE,NO_FRUNCATE,DISK_SIZE,CHUNK,SIM_TIME,SIM_SIZE,FILE_COUNT,SIZE,NO_SET,DISK_GEOMETRY,SEED,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
32,bench_p26_wt,bench_p26_wt_random,32,64,0,128,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,13177664,0,0,0,0,0,0,3200,37.068656
32,bench_p26_wt,bench_p26_wt_random,32,64,0,128,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,13177664,0,0,0,0,0,0,608,37.068707
32,bench_p26_wt,bench_p26_wt_random,32,64,0,128,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,13177664,0,0,0,0,0,0,784,37.068752
32,bench_p26_wt,bench_p26_wt_random,32,64,0,128,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,13177664,0,0,0,0,0,0,5242880,37.068802
33,bench_p26_wt,bench_p26_wt_random,32,64,0,256,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,13253440,94341995,4766164,11119,2411808886,1220137984,1457389568,3600271375554,38.119281
33,bench_p26_wt,bench_p26_wt_random,32,64,0,256,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,13253440,0,0,0,0,0,0,3248,38.119382
33,bench_p26_wt,bench_p26_wt_random,32,64,0,256,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,13253440,0,0,0,0,0,0,608,38.119431
33,bench_p26_wt,bench_p26_wt_random,32,64,0,256,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,13253440,0,0,0,0,0,0,784,38.119474
33,bench_p26_wt,bench_p26_wt_random,32,64,0,256,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,13253440,0,0,0,0,0,0,6029312,38.119517
34,bench_p26_wt,bench_p26_wt_random,32,64,0,512,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,13076096,111871247,2948980,13361,3107402239,1509877760,1751252992,3600165228013,41.627801
34,bench_p26_wt,bench_p26_wt_random,32,64,0,512,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,13076096,0,0,0,0,0,0,3120,41.627896
34,bench_p26_wt,bench_p26_wt_random,32,64,0,512,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,13076096,0,0,0,0,0,0,608,41.627947
34,bench_p26_wt,bench_p26_wt_random,32,64,0,512,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,13076096,0,0,0,0,0,0,1296,41.627999
34,bench_p26_wt,bench_p26_wt_random,32,64,0,512,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,13076096,0,0,0,0,0,0,5373952,41.628042
36,bench_p26_wt,bench_p26_wt_random,32,64,0,2048,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,5707712,133998599,749332,12680,3514036156,1534631936,1661992960,3601229253364,42.256224
36,bench_p26_wt,bench_p26_wt_random,32,64,0,2048,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,5707712,0,0,0,0,0,0,3200,42.256307
36,bench_p26_wt,bench_p26_wt_random,32,64,0,2048,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,5707712,0,0,0,0,0,0,608,42.256357
36,bench_p26_wt,bench_p26_wt_random,32,64,0,2048,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,5707712,0,0,0,0,0,0,4368,42.256397
36,bench_p26_wt,bench_p26_wt_random,32,64,0,2048,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,5707712,0,0,0,0,0,0,5373952,42.256428
35,bench_p26_wt,bench_p26_wt_random,32,64,0,1024,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,9562816,125877230,1544713,13476,3445926191,1581786112,1766326272,3601536043645,42.353921
35,bench_p26_wt,bench_p26_wt_random,32,64,0,1024,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,9562816,0,0,0,0,0,0,3200,42.353996
35,bench_p26_wt,bench_p26_wt_random,32,64,0,1024,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,9562816,0,0,0,0,0,0,608,42.354031
35,bench_p26_wt,bench_p26_wt_random,32,64,0,1024,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,9562816,0,0,0,0,0,0,2320,42.354059
35,bench_p26_wt,bench_p26_wt_random,32,64,0,1024,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,9562816,0,0,0,0,0,0,5373952,42.354085
37,bench_p26_wt,bench_p26_wt_random,32,64,0,4096,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,3046016,134790370,700540,11598,3387068339,1434705920,1520173056,3602058562121,18.196729
37,bench_p26_wt,bench_p26_wt_random,32,64,0,4096,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,3046016,0,0,0,0,0,0,3200,18.196796
37,bench_p26_wt,bench_p26_wt_random,32,64,0,4096,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,3046016,0,0,0,0,0,0,608,18.196827
37,bench_p26_wt,bench_p26_wt_random,32,64,0,4096,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,3046016,0,0,0,0,0,0,8464,18.196851
37,bench_p26_wt,bench_p26_wt_random,32,64,0,4096,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,3046016,0,0,0,0,0,0,5767168,18.196875
49,bench_p26_wt,bench_p26_wt_many,32,64,0,2048,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,10247104,136291728,211376,3399,9626559107,432898048,445513728,3600131461049,120.492275
49,bench_p26_wt,bench_p26_wt_many,32,64,0,2048,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,10247104,0,0,0,0,0,0,3312,120.492418
49,bench_p26_wt,bench_p26_wt_many,32,64,0,2048,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,10247104,0,0,0,0,0,0,848,120.492486
49,bench_p26_wt,bench_p26_wt_many,32,64,0,2048,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,10247104,0,0,0,0,0,0,4368,120.492534
49,bench_p26_wt,bench_p26_wt_many,32,64,0,2048,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,10247104,0,0,0,0,0,0,34340864,120.492579
48,bench_p26_wt,bench_p26_wt_many,32,64,0,1024,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,12983552,133719872,268750,2160,12477982992,275200000,283115520,3600005583920,159.586355
48,bench_p26_wt,bench_p26_wt_many,32,64,0,1024,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,12983552,0,0,0,0,0,0,3312,159.586465
48,bench_p26_wt,bench_p26_wt_many,32,64,0,1024,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,12983552,0,0,0,0,0,0,848,159.586518
48,bench_p26_wt,bench_p26_wt_many,32,64,0,1024,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,12983552,0,0,0,0,0,0,2320,159.586565
48,bench_p26_wt,bench_p26_wt_many,32,64,0,1024,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,12983552,0,0,0,0,0,0,34078720,159.586612
