i,suite,case,FILE_COUNT,DISK_GEOMETRY,SIM_TIME,SEED,NO_SET,NO_FRUNCATE,SIM_SIZE,SKIP_WARMUP,SIZE,CHUNK,FILE_SIZE,BLOCK_SIZE,DISK_SIZE,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
31,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,8192,134217728,3,stack,28604224,0,0,0,0,0,0,3248,51.917828
31,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,8192,134217728,3,ctx,28604224,0,0,0,0,0,0,848,51.917886
31,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,8192,134217728,3,heap,28604224,0,0,0,0,0,0,1296,51.917935
31,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,8192,134217728,3,usage,28604224,0,0,0,0,0,0,32309248,51.917995
33,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,32768,134217728,3,write,23505920,134949139,499119,8114,7891856360,255548928,265879552,3600006810680,61.591902
33,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,32768,134217728,3,stack,23505920,0,0,0,0,0,0,3312,61.592021
33,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,32768,134217728,3,ctx,23505920,0,0,0,0,0,0,848,61.600352
33,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,32768,134217728,3,heap,23505920,0,0,0,0,0,0,1296,61.600430
33,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,32768,134217728,3,usage,23505920,0,0,0,0,0,0,33161216,61.600480
34,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,65536,134217728,3,write,18537088,133787552,385528,3142,10995366409,197390336,205914112,3600040451755,104.475532
34,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,65536,134217728,3,stack,18537088,0,0,0,0,0,0,3312,104.475616
34,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,65536,134217728,3,ctx,18537088,0,0,0,0,0,0,848,104.475714
34,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,65536,134217728,3,heap,18537088,0,0,0,0,0,0,1296,104.475763
34,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,65536,134217728,3,usage,18537088,0,0,0,0,0,0,34471936,104.475795
35,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,131072,134217728,3,write,13886336,131426228,288678,1183,15411009979,147803136,155058176,3600002231521,115.690748
35,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,131072,134217728,3,stack,13886336,0,0,0,0,0,0,3312,115.690845
35,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,131072,134217728,3,ctx,13886336,0,0,0,0,0,0,848,115.690895
35,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,131072,134217728,3,heap,13886336,0,0,0,0,0,0,1296,115.690939
35,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,131072,134217728,3,usage,13886336,0,0,0,0,0,0,34340864,115.690984
38,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,1048576,134217728,3,write,2237504,126707217,48816,232,24894525870,24993792,30408704,3600080539626,153.644551
38,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,1048576,134217728,3,stack,2237504,0,0,0,0,0,0,3248,153.644638
38,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,1048576,134217728,3,ctx,2237504,0,0,0,0,0,0,848,153.644680
38,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,1048576,134217728,3,heap,2237504,0,0,0,0,0,0,1296,153.644715
38,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,1048576,134217728,3,usage,2237504,0,0,0,0,0,0,20971520,153.644748
36,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,262144,134217728,3,write,8846016,129265733,182908,754,19694971341,93648896,98828288,3600001524279,153.993359
36,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,262144,134217728,3,stack,8846016,0,0,0,0,0,0,3312,153.993429
36,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,262144,134217728,3,ctx,8846016,0,0,0,0,0,0,848,153.993466
36,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,262144,134217728,3,heap,8846016,0,0,0,0,0,0,1296,153.993497
36,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,262144,134217728,3,usage,8846016,0,0,0,0,0,0,34603008,153.993528
37,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,524288,134217728,3,write,4553984,127348633,96657,440,23386298407,49488384,57671680,3600015360229,155.348666
37,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,524288,134217728,3,stack,4553984,0,0,0,0,0,0,3312,155.348746
37,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,524288,134217728,3,ctx,4553984,0,0,0,0,0,0,848,155.348780
37,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,524288,134217728,3,heap,4553984,0,0,0,0,0,0,1296,155.348808
37,bench_p26_wt,bench_p26_wt_many,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,524288,134217728,3,usage,4553984,0,0,0,0,0,0,35651584,155.348834
41,bench_p26_wt,bench_p26_wt_logging,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,16384,134217728,3,write,12788480,133644216,1039529,33060,1978533053,532238848,541655040,3600002301959,18.775035
41,bench_p26_wt,bench_p26_wt_logging,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,16384,134217728,3,stack,12788480,0,0,0,0,0,0,3296,18.775148
41,bench_p26_wt,bench_p26_wt_logging,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,16384,134217728,3,ctx,12788480,0,0,0,0,0,0,624,18.775208
41,bench_p26_wt,bench_p26_wt_logging,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,16384,134217728,3,heap,12788480,0,0,0,0,0,0,1296,18.775260
41,bench_p26_wt,bench_p26_wt_logging,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,16384,134217728,3,usage,12788480,0,0,0,0,0,0,2244608,18.775308
40,bench_p26_wt,bench_p26_wt_logging,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,8192,134217728,3,write,10587840,130224952,1325179,87002,2364272620,678491648,712720384,3600015671428,23.007483
40,bench_p26_wt,bench_p26_wt_logging,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,8192,134217728,3,stack,10587840,0,0,0,0,0,0,3296,23.007591
40,bench_p26_wt,bench_p26_wt_logging,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,8192,134217728,3,ctx,10587840,0,0,0,0,0,0,624,23.007651
40,bench_p26_wt,bench_p26_wt_logging,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,8192,134217728,3,heap,10587840,0,0,0,0,0,0,1296,23.007711
40,bench_p26_wt,bench_p26_wt_logging,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,8192,134217728,3,usage,10587840,0,0,0,0,0,0,2252800,23.007761
39,bench_p26_wt,bench_p26_wt_logging,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,4096,134217728,3,write,10235008,130091159,1342036,184453,2272875177,687122432,755519488,3600008817291,32.490072
