i,suite,case,SEED,NO_FRUNCATE,DISK_SIZE,SIM_TIME,CRYSTAL_THRESH,FS,FILE_SIZE,SIZE,CHUNK,SIM_SIZE,SKIP_WARMUP,FILE_COUNT,NO_SET,DISK_GEOMETRY,READ_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
49,bench_p26_wt,bench_p26_wt_many,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2048,ctx,32436800,0,0,0,0,0,0,848,55.084871
49,bench_p26_wt,bench_p26_wt_many,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2048,heap,32436800,0,0,0,0,0,0,4368,55.084934
49,bench_p26_wt,bench_p26_wt_many,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2048,usage,32436800,0,0,0,0,0,0,31956992,55.084986
48,bench_p26_wt,bench_p26_wt_many,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1024,write,36429696,40295460864,1102784,34322,40295460864,130845327,140582912,3600003123357,61.316401
48,bench_p26_wt,bench_p26_wt_many,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1024,stack,36429696,0,0,0,0,0,0,3552,61.316513
48,bench_p26_wt,bench_p26_wt_many,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1024,ctx,36429696,0,0,0,0,0,0,848,61.316572
48,bench_p26_wt,bench_p26_wt_many,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1024,heap,36429696,0,0,0,0,0,0,2320,61.316625
48,bench_p26_wt,bench_p26_wt_many,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1024,usage,36429696,0,0,0,0,0,0,31956992,61.316674
47,bench_p26_wt,bench_p26_wt_many,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,512,write,43303360,31935963648,1294205,40042,31935963648,153512977,164012032,3600039134275,69.668704
47,bench_p26_wt,bench_p26_wt_many,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,512,stack,43303360,0,0,0,0,0,0,3552,69.668813
