i,suite,case,SKIP_WARMUP,CHUNK,NO_SET,DISK_GEOMETRY,FILE_SIZE,SEED,FS,PROG_SIZE,FILE_COUNT,DISK_SIZE,NO_FRUNCATE,SIZE,SIM_TIME,CRYSTAL_THRESH,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
25,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,1,32768,134217728,0,2097152,3600000000000,-1,0,heap,15950080,0,0,0,0,0,0,784,37.112156
25,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,1,32768,134217728,0,2097152,3600000000000,-1,0,usage,15950080,0,0,0,0,0,0,7729152,37.112201
29,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,16,32768,134217728,0,2097152,3600000000000,-1,0,write,15520192,1042368209,2012682,61081,1042368209,237187760,250187776,3600094626232,37.782204
29,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,16,32768,134217728,0,2097152,3600000000000,-1,0,stack,15520192,0,0,0,0,0,0,3312,37.782349
29,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,16,32768,134217728,0,2097152,3600000000000,-1,0,ctx,15520192,0,0,0,0,0,0,608,37.782422
29,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,16,32768,134217728,0,2097152,3600000000000,-1,0,heap,15520192,0,0,0,0,0,0,784,37.782475
29,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,16,32768,134217728,0,2097152,3600000000000,-1,0,usage,15520192,0,0,0,0,0,0,7766016,37.782521
30,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,32,32768,134217728,0,2097152,3600000000000,-1,0,write,14724672,1038979349,1920324,61904,1038979349,239181824,253558784,3600075831112,37.957488
30,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,32,32768,134217728,0,2097152,3600000000000,-1,0,stack,14724672,0,0,0,0,0,0,3312,37.957587
30,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,32,32768,134217728,0,2097152,3600000000000,-1,0,ctx,14724672,0,0,0,0,0,0,608,37.957640
30,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,32,32768,134217728,0,2097152,3600000000000,-1,0,heap,14724672,0,0,0,0,0,0,784,37.957688
30,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,32,32768,134217728,0,2097152,3600000000000,-1,0,usage,14724672,0,0,0,0,0,0,7782400,37.957732
31,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,64,32768,134217728,0,2097152,3600000000000,-1,0,write,13941120,1066121026,1707223,63773,1066121026,244596288,261214208,3600099184144,38.511514
31,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,64,32768,134217728,0,2097152,3600000000000,-1,0,stack,13941120,0,0,0,0,0,0,3312,38.511612
31,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,64,32768,134217728,0,2097152,3600000000000,-1,0,ctx,13941120,0,0,0,0,0,0,608,38.511664
31,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,64,32768,134217728,0,2097152,3600000000000,-1,0,heap,13941120,0,0,0,0,0,0,784,38.511711
31,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,64,32768,134217728,0,2097152,3600000000000,-1,0,usage,13941120,0,0,0,0,0,0,7766016,38.511755
32,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,128,32768,134217728,0,2097152,3600000000000,-1,0,write,12834752,1092821797,1496701,65615,1092821797,256960256,268759040,3600053907912,39.552037
32,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,42,31,128,32768,134217728,0,2097152,3600000000000,-1,0,stack,12834752,0,0,0,0,0,0,3312,39.552133
