i,suite,case,FS,FILE_SIZE,NO_FRUNCATE,SKIP_WARMUP,CHUNK,SIM_SIZE,SIM_TIME,READ_SIZE,DISK_GEOMETRY,NO_SET,FILE_COUNT,SEED,DISK_SIZE,SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
35,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,1024,1,0,32768,42,134217728,2097152,usage,15673216,0,0,0,0,0,0,4849664,47.666217
29,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,16,1,0,32768,42,134217728,2097152,write,13691904,109505661,3089143,13995,4188786544,1581641216,1834352640,3600205455184,50.483267
29,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,16,1,0,32768,42,134217728,2097152,stack,13691904,0,0,0,0,0,0,3120,50.483375
29,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,16,1,0,32768,42,134217728,2097152,ctx,13691904,0,0,0,0,0,0,608,50.483431
29,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,16,1,0,32768,42,134217728,2097152,heap,13691904,0,0,0,0,0,0,1296,50.483481
29,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,16,1,0,32768,42,134217728,2097152,usage,13691904,0,0,0,0,0,0,5111808,50.483528
30,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,32,1,0,32768,42,134217728,2097152,write,16669888,100703925,3765641,17062,6012710624,1928008192,2236350464,3600186572960,51.374239
30,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,32,1,0,32768,42,134217728,2097152,stack,16669888,0,0,0,0,0,0,3120,51.374338
30,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,32,1,0,32768,42,134217728,2097152,ctx,16669888,0,0,0,0,0,0,608,51.374390
30,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,32,1,0,32768,42,134217728,2097152,heap,16669888,0,0,0,0,0,0,1296,51.374439
30,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,32,1,0,32768,42,134217728,2097152,usage,16669888,0,0,0,0,0,0,4718592,51.374485
32,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,128,1,0,32768,42,134217728,2097152,write,18499392,90571365,4175908,18916,13333452800,2138064896,2479357952,3600406740992,52.752587
32,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,128,1,0,32768,42,134217728,2097152,stack,18499392,0,0,0,0,0,0,3072,52.752689
32,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,128,1,0,32768,42,134217728,2097152,ctx,18499392,0,0,0,0,0,0,608,52.752739
32,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,128,1,0,32768,42,134217728,2097152,heap,18499392,0,0,0,0,0,0,1296,52.752784
32,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,128,1,0,32768,42,134217728,2097152,usage,18499392,0,0,0,0,0,0,5767168,52.752829
31,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,64,1,0,32768,42,134217728,2097152,write,18096960,95094492,4084608,18504,8779278784,2091319296,2425356288,3600527759680,54.766626
31,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,64,1,0,32768,42,134217728,2097152,stack,18096960,0,0,0,0,0,0,3088,54.766714
31,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,64,1,0,32768,42,134217728,2097152,ctx,18096960,0,0,0,0,0,0,608,54.766757
31,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,64,1,0,32768,42,134217728,2097152,heap,18096960,0,0,0,0,0,0,1296,54.766792
31,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,64,1,0,32768,42,134217728,2097152,usage,18096960,0,0,0,0,0,0,5242880,54.766825
34,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,512,1,0,32768,42,134217728,2097152,write,17734208,73655198,4002551,18132,37711461376,2049306112,2376597504,3601315073536,55.273217
34,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,512,1,0,32768,42,134217728,2097152,stack,17734208,0,0,0,0,0,0,3072,55.273304
34,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,512,1,0,32768,42,134217728,2097152,ctx,17734208,0,0,0,0,0,0,608,55.273344
34,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,512,1,0,32768,42,134217728,2097152,heap,17734208,0,0,0,0,0,0,1552,55.273376
34,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,512,1,0,32768,42,134217728,2097152,usage,17734208,0,0,0,0,0,0,6291456,55.273404
33,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,256,1,0,32768,42,134217728,2097152,write,18130304,84988505,4090256,18530,21773146880,2094211072,2428764160,3600563765504,55.471332
33,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,256,1,0,32768,42,134217728,2097152,stack,18130304,0,0,0,0,0,0,3072,55.471412
33,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,256,1,0,32768,42,134217728,2097152,ctx,18130304,0,0,0,0,0,0,608,55.471447
33,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,256,1,0,32768,42,134217728,2097152,heap,18130304,0,0,0,0,0,0,1296,55.471476
33,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,256,1,0,32768,42,134217728,2097152,usage,18130304,0,0,0,0,0,0,4980736,55.471503
37,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,4096,1,0,32768,42,134217728,2097152,write,8148224,48976634,1829776,8291,100304146432,936845312,1086717952,3600709881856,15.588494
37,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,4096,1,0,32768,42,134217728,2097152,stack,8148224,0,0,0,0,0,0,3072,15.588580
37,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,4096,1,0,32768,42,134217728,2097152,ctx,8148224,0,0,0,0,0,0,608,15.588614
37,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,4096,1,0,32768,42,134217728,2097152,heap,8148224,0,0,0,0,0,0,8720,15.588643
37,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,4096,1,0,32768,42,134217728,2097152,usage,8148224,0,0,0,0,0,0,4980736,15.588671
39,bench_p26_wt,bench_p26_wt_many,32,64,1,0,64,0,3600000000000,2,1,0,32768,42,134217728,2097152,write,10612032,135022995,220648,910,11716790408,112971776,119275520,3600009966104,176.222937
39,bench_p26_wt,bench_p26_wt_many,32,64,1,0,64,0,3600000000000,2,1,0,32768,42,134217728,2097152,stack,10612032,0,0,0,0,0,0,3312,176.223071
39,bench_p26_wt,bench_p26_wt_many,32,64,1,0,64,0,3600000000000,2,1,0,32768,42,134217728,2097152,ctx,10612032,0,0,0,0,0,0,848,176.223146
39,bench_p26_wt,bench_p26_wt_many,32,64,1,0,64,0,3600000000000,2,1,0,32768,42,134217728,2097152,heap,10612032,0,0,0,0,0,0,1296,176.223201
39,bench_p26_wt,bench_p26_wt_many,32,64,1,0,64,0,3600000000000,2,1,0,32768,42,134217728,2097152,usage,10612032,0,0,0,0,0,0,34078720,176.223250
40,bench_p26_wt,bench_p26_wt_many,32,64,1,0,64,0,3600000000000,4,1,0,32768,42,134217728,2097152,write,11175360,134205810,232762,964,12602651704,119174144,126353408,3600008961064,184.386282
40,bench_p26_wt,bench_p26_wt_many,32,64,1,0,64,0,3600000000000,4,1,0,32768,42,134217728,2097152,stack,11175360,0,0,0,0,0,0,3312,184.386394
40,bench_p26_wt,bench_p26_wt_many,32,64,1,0,64,0,3600000000000,4,1,0,32768,42,134217728,2097152,ctx,11175360,0,0,0,0,0,0,848,184.386452
