i,suite,case,FS,SEED,SKIP_WARMUP,NO_SET,SIZE,CHUNK,SIM_SIZE,DISK_SIZE,BLOCK_SIZE,NO_FRUNCATE,FILE_SIZE,SIM_TIME,DISK_GEOMETRY,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
28,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,524288,1,64,3600000000000,0,32768,write,1482624,178572435,1075132,70400,178572435,146052334,288358400,3608013691042,5.359069
28,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,524288,1,64,3600000000000,0,32768,stack,1482624,0,0,0,0,0,0,3280,5.359160
28,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,524288,1,64,3600000000000,0,32768,ctx,1482624,0,0,0,0,0,0,608,5.359210
28,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,524288,1,64,3600000000000,0,32768,heap,1482624,0,0,0,0,0,0,784,5.359251
28,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,524288,1,64,3600000000000,0,32768,usage,1482624,0,0,0,0,0,0,6815744,5.359291
24,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,32768,1,64,3600000000000,0,32768,write,4567104,461601975,1779088,63704,461601975,223411307,260931584,3601166198921,5.887896
24,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,32768,1,64,3600000000000,0,32768,stack,4567104,0,0,0,0,0,0,3296,5.888006
24,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,32768,1,64,3600000000000,0,32768,ctx,4567104,0,0,0,0,0,0,608,5.888058
24,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,32768,1,64,3600000000000,0,32768,heap,4567104,0,0,0,0,0,0,784,5.888103
24,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,32768,1,64,3600000000000,0,32768,usage,4567104,0,0,0,0,0,0,4620288,5.888146
26,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,131072,1,64,3600000000000,0,32768,write,2860480,368889785,1647188,64960,368889785,212586221,266076160,3600993463423,5.965572
26,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,131072,1,64,3600000000000,0,32768,stack,2860480,0,0,0,0,0,0,3248,5.965646
26,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,131072,1,64,3600000000000,0,32768,ctx,2860480,0,0,0,0,0,0,608,5.965681
26,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,131072,1,64,3600000000000,0,32768,heap,2860480,0,0,0,0,0,0,784,5.965711
26,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,131072,1,64,3600000000000,0,32768,usage,2860480,0,0,0,0,0,0,5767168,5.965738
27,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,262144,1,64,3600000000000,0,32768,write,2206656,260719915,1395698,67392,260719915,188581132,276037632,3605019112604,6.166173
27,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,262144,1,64,3600000000000,0,32768,stack,2206656,0,0,0,0,0,0,3280,6.166253
27,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,262144,1,64,3600000000000,0,32768,ctx,2206656,0,0,0,0,0,0,608,6.166287
27,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,262144,1,64,3600000000000,0,32768,heap,2206656,0,0,0,0,0,0,784,6.166314
27,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,262144,1,64,3600000000000,0,32768,usage,2206656,0,0,0,0,0,0,4456448,6.166342
23,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,16384,1,64,3600000000000,0,32768,write,5581184,535471099,1785763,63560,535471099,223603599,260341760,3600315665365,8.736950
23,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,16384,1,64,3600000000000,0,32768,stack,5581184,0,0,0,0,0,0,3296,8.737034
23,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,16384,1,64,3600000000000,0,32768,ctx,5581184,0,0,0,0,0,0,608,8.737074
23,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,16384,1,64,3600000000000,0,32768,heap,5581184,0,0,0,0,0,0,784,8.737117
23,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,16384,1,64,3600000000000,0,32768,usage,5581184,0,0,0,0,0,0,4456448,8.737145
22,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,8192,1,64,3600000000000,0,32768,write,6621696,710336913,1754680,63678,710336913,224610735,260825088,3600202096293,9.624000
22,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,8192,1,64,3600000000000,0,32768,stack,6621696,0,0,0,0,0,0,3248,9.624073
22,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,8192,1,64,3600000000000,0,32768,ctx,6621696,0,0,0,0,0,0,608,9.624107
22,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,8192,1,64,3600000000000,0,32768,heap,6621696,0,0,0,0,0,0,784,9.624136
22,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,8192,1,64,3600000000000,0,32768,usage,6621696,0,0,0,0,0,0,4358144,9.624163
21,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,4096,1,64,3600000000000,0,32768,write,7800256,843240476,2023461,61169,843240476,219014615,250548224,3600057088597,10.321634
21,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,4096,1,64,3600000000000,0,32768,stack,7800256,0,0,0,0,0,0,3296,10.321703
21,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,4096,1,64,3600000000000,0,32768,ctx,7800256,0,0,0,0,0,0,608,10.321734
21,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,4096,1,64,3600000000000,0,32768,heap,7800256,0,0,0,0,0,0,784,10.321759
21,bench_p26_wt,bench_p26_wt_random,32,42,0,0,2097152,64,0,134217728,4096,1,64,3600000000000,0,32768,usage,7800256,0,0,0,0,0,0,4820992,10.321782
30,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,4096,1,64,3600000000000,0,32768,write,65273856,6305946422,1881890,57569,6305946422,223237770,235802624,3600003883694,48.314886
30,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,4096,1,64,3600000000000,0,32768,stack,65273856,0,0,0,0,0,0,3488,48.314994
30,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,4096,1,64,3600000000000,0,32768,ctx,65273856,0,0,0,0,0,0,848,48.315048
30,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,4096,1,64,3600000000000,0,32768,heap,65273856,0,0,0,0,0,0,784,48.315097
30,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,4096,1,64,3600000000000,0,32768,usage,65273856,0,0,0,0,0,0,31920128,48.315149
31,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,8192,1,64,3600000000000,0,32768,write,60030592,9532883624,1779040,55618,9532883624,217171148,227811328,3600020563300,113.123127
31,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,8192,1,64,3600000000000,0,32768,stack,60030592,0,0,0,0,0,0,3488,113.123230
31,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,8192,1,64,3600000000000,0,32768,ctx,60030592,0,0,0,0,0,0,848,113.123281
31,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,8192,1,64,3600000000000,0,32768,heap,60030592,0,0,0,0,0,0,784,113.123323
31,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,8192,1,64,3600000000000,0,32768,usage,60030592,0,0,0,0,0,0,32161792,113.123364
32,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,16384,1,64,3600000000000,0,32768,write,53459072,14779649969,1628758,52296,14779649969,204675866,214204416,3600036235414,117.709455
32,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,16384,1,64,3600000000000,0,32768,stack,53459072,0,0,0,0,0,0,3488,117.709565
32,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,16384,1,64,3600000000000,0,32768,ctx,53459072,0,0,0,0,0,0,848,117.709617
32,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,16384,1,64,3600000000000,0,32768,heap,53459072,0,0,0,0,0,0,784,117.709660
32,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,16384,1,64,3600000000000,0,32768,usage,53459072,0,0,0,0,0,0,32505856,117.709702
33,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,32768,1,64,3600000000000,0,32768,write,45625280,23404797983,1417617,46520,23404797983,181341318,190545920,3600203136458,146.007949
33,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,32768,1,64,3600000000000,0,32768,stack,45625280,0,0,0,0,0,0,3488,146.008050
33,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,32768,1,64,3600000000000,0,32768,ctx,45625280,0,0,0,0,0,0,848,146.008099
33,bench_p26_wt,bench_p26_wt_many,32,42,0,0,2097152,64,0,134217728,32768,1,64,3600000000000,0,32768,heap,45625280,0,0,0,0,0,0,784,146.008142
