i,suite,case,NO_SET,READ_SIZE,CHUNK,SIZE,CRYSTAL_THRESH,SEED,DISK_SIZE,SIM_TIME,DISK_GEOMETRY,FILE_COUNT,NO_FRUNCATE,FS,SKIP_WARMUP,FILE_SIZE,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
27,bench_p26_wt,bench_p26_wt_random,0,4,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,26638848,0,0,0,0,0,0,3312,62.872144
27,bench_p26_wt,bench_p26_wt_random,0,4,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,26638848,0,0,0,0,0,0,608,62.872201
27,bench_p26_wt,bench_p26_wt_random,0,4,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,26638848,0,0,0,0,0,0,1296,62.872252
27,bench_p26_wt,bench_p26_wt_random,0,4,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,26638848,0,0,0,0,0,0,7864320,62.872301
36,bench_p26_wt,bench_p26_wt_random,0,2048,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,40751296,45264241,2716987,10673,92701165568,1391097344,1398931456,3600006457856,65.600577
36,bench_p26_wt,bench_p26_wt_random,0,2048,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,40751296,0,0,0,0,0,0,3312,65.600868
36,bench_p26_wt,bench_p26_wt_random,0,2048,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,40751296,0,0,0,0,0,0,608,65.600960
36,bench_p26_wt,bench_p26_wt_random,0,2048,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,40751296,0,0,0,0,0,0,4624,65.601015
36,bench_p26_wt,bench_p26_wt_random,0,2048,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,40751296,0,0,0,0,0,0,8126464,65.601063
28,bench_p26_wt,bench_p26_wt_random,0,8,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,33506688,119949479,2218141,8719,3116964376,1135688192,1142816768,3600036883912,66.610466
28,bench_p26_wt,bench_p26_wt_random,0,8,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,33506688,0,0,0,0,0,0,3312,66.610572
28,bench_p26_wt,bench_p26_wt_random,0,8,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,33506688,0,0,0,0,0,0,608,66.610626
28,bench_p26_wt,bench_p26_wt_random,0,8,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,33506688,0,0,0,0,0,0,1296,66.610674
28,bench_p26_wt,bench_p26_wt_random,0,8,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,33506688,0,0,0,0,0,0,7995392,66.610721
25,bench_p26_wt,bench_p26_wt_random,0,1,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,41500352,113761665,2768275,10874,3387068536,1417356800,1425276928,3600140032744,67.872845
25,bench_p26_wt,bench_p26_wt_random,0,1,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,41500352,0,0,0,0,0,0,3312,67.872953
25,bench_p26_wt,bench_p26_wt_random,0,1,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,41500352,0,0,0,0,0,0,608,67.873008
25,bench_p26_wt,bench_p26_wt_random,0,1,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,41500352,0,0,0,0,0,0,1296,67.873056
25,bench_p26_wt,bench_p26_wt_random,0,1,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,41500352,0,0,0,0,0,0,8126464,67.873103
29,bench_p26_wt,bench_p26_wt_random,0,16,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,47338112,108370790,3167827,12442,4731816896,1621927424,1630797824,3600004227392,73.660716
29,bench_p26_wt,bench_p26_wt_random,0,16,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,47338112,0,0,0,0,0,0,3312,73.660829
29,bench_p26_wt,bench_p26_wt_random,0,16,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,47338112,0,0,0,0,0,0,608,73.660883
29,bench_p26_wt,bench_p26_wt_random,0,16,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,47338112,0,0,0,0,0,0,1296,73.660938
29,bench_p26_wt,bench_p26_wt_random,0,16,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,47338112,0,0,0,0,0,0,7995392,73.660984
34,bench_p26_wt,bench_p26_wt_random,0,512,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,56511936,75291452,3805438,14944,38549223424,1948384256,1958739968,3600009886720,73.918096
34,bench_p26_wt,bench_p26_wt_random,0,512,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,56511936,0,0,0,0,0,0,3312,73.918198
34,bench_p26_wt,bench_p26_wt_random,0,512,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,56511936,0,0,0,0,0,0,608,73.918251
34,bench_p26_wt,bench_p26_wt_random,0,512,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,56511936,0,0,0,0,0,0,1552,73.918299
34,bench_p26_wt,bench_p26_wt_random,0,512,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,56511936,0,0,0,0,0,0,7995392,73.918344
35,bench_p26_wt,bench_p26_wt_random,0,1024,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,49779008,61501966,3336885,13103,62978013184,1708485120,1717436416,3600018068992,74.082671
35,bench_p26_wt,bench_p26_wt_random,0,1024,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,49779008,0,0,0,0,0,0,3312,74.082783
35,bench_p26_wt,bench_p26_wt_random,0,1024,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,49779008,0,0,0,0,0,0,608,74.082838
35,bench_p26_wt,bench_p26_wt_random,0,1024,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,49779008,0,0,0,0,0,0,2576,74.082901
35,bench_p26_wt,bench_p26_wt_random,0,1024,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,49779008,0,0,0,0,0,0,7733248,74.082949
30,bench_p26_wt,bench_p26_wt_random,0,32,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,54745792,101435008,3683207,14464,6452523712,1885801984,1895825408,3600003694144,75.444512
30,bench_p26_wt,bench_p26_wt_random,0,32,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,54745792,0,0,0,0,0,0,3312,75.444606
30,bench_p26_wt,bench_p26_wt_random,0,32,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,54745792,0,0,0,0,0,0,608,75.444663
30,bench_p26_wt,bench_p26_wt_random,0,32,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,54745792,0,0,0,0,0,0,1296,75.444704
30,bench_p26_wt,bench_p26_wt_random,0,32,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,54745792,0,0,0,0,0,0,7995392,75.444745
31,bench_p26_wt,bench_p26_wt_random,0,64,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,58690240,96377316,3955601,15528,9162841472,2025267712,2035286016,3600002926208,76.281266
31,bench_p26_wt,bench_p26_wt_random,0,64,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,58690240,0,0,0,0,0,0,3312,76.281361
31,bench_p26_wt,bench_p26_wt_random,0,64,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,58690240,0,0,0,0,0,0,608,76.289663
31,bench_p26_wt,bench_p26_wt_random,0,64,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,58690240,0,0,0,0,0,0,1296,76.289736
31,bench_p26_wt,bench_p26_wt_random,0,64,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,58690240,0,0,0,0,0,0,7995392,76.289776
33,bench_p26_wt,bench_p26_wt_random,0,256,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,59253312,86016796,3994253,15679,22020299776,2045057536,2055077888,3600004813312,76.615165
33,bench_p26_wt,bench_p26_wt_random,0,256,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,59253312,0,0,0,0,0,0,3312,76.615246
33,bench_p26_wt,bench_p26_wt_random,0,256,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,59253312,0,0,0,0,0,0,608,76.615285
33,bench_p26_wt,bench_p26_wt_random,0,256,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,59253312,0,0,0,0,0,0,1296,76.615318
33,bench_p26_wt,bench_p26_wt_random,0,256,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,59253312,0,0,0,0,0,0,7995392,76.615348
32,bench_p26_wt,bench_p26_wt_random,0,128,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,58753280,92488642,3959740,15544,14138796928,2027386880,2037383168,3600083903104,78.530638
32,bench_p26_wt,bench_p26_wt_random,0,128,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,58753280,0,0,0,0,0,0,3312,78.530715
32,bench_p26_wt,bench_p26_wt_random,0,128,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,58753280,0,0,0,0,0,0,608,78.530751
32,bench_p26_wt,bench_p26_wt_random,0,128,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,58753280,0,0,0,0,0,0,1296,78.530781
32,bench_p26_wt,bench_p26_wt_random,0,128,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,58753280,0,0,0,0,0,0,7995392,78.530807
37,bench_p26_wt,bench_p26_wt_random,0,4096,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,24905344,49876996,1621589,6378,102148087808,830253568,835977216,3600068939264,25.760473
37,bench_p26_wt,bench_p26_wt_random,0,4096,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,24905344,0,0,0,0,0,0,3312,25.760553
37,bench_p26_wt,bench_p26_wt_random,0,4096,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,24905344,0,0,0,0,0,0,608,25.760588
37,bench_p26_wt,bench_p26_wt_random,0,4096,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,24905344,0,0,0,0,0,0,8720,25.760618
37,bench_p26_wt,bench_p26_wt_random,0,4096,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,24905344,0,0,0,0,0,0,7995392,25.760646
38,bench_p26_wt,bench_p26_wt_many,0,1,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,13888960,131420444,288750,1181,15417918233,147840000,154796032,3600006098651,187.511130
38,bench_p26_wt,bench_p26_wt_many,0,1,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,13888960,0,0,0,0,0,0,3552,187.511254
38,bench_p26_wt,bench_p26_wt_many,0,1,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,13888960,0,0,0,0,0,0,848,187.511309
38,bench_p26_wt,bench_p26_wt_many,0,1,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,13888960,0,0,0,0,0,0,1296,187.511367
38,bench_p26_wt,bench_p26_wt_many,0,1,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,13888960,0,0,0,0,0,0,34603008,187.511412
39,bench_p26_wt,bench_p26_wt_many,0,2,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,10580608,135059968,220491,913,11687530308,112891392,119668736,3600327816204,193.614090
39,bench_p26_wt,bench_p26_wt_many,0,2,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,10580608,0,0,0,0,0,0,3552,193.614215
39,bench_p26_wt,bench_p26_wt_many,0,2,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,10580608,0,0,0,0,0,0,848,193.614272
39,bench_p26_wt,bench_p26_wt_many,0,2,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,10580608,0,0,0,0,0,0,1296,193.614321
39,bench_p26_wt,bench_p26_wt_many,0,2,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,10580608,0,0,0,0,0,0,34340864,193.614368
40,bench_p26_wt,bench_p26_wt_many,0,4,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,11172352,134209464,232676,961,12599765400,119130112,125960192,3600015699528,205.147744
40,bench_p26_wt,bench_p26_wt_many,0,4,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,11172352,0,0,0,0,0,0,3552,205.147850
