i,suite,case,FS,NO_FRUNCATE,FILE_COUNT,SIM_TIME,SKIP_WARMUP,CHUNK,BLOCK_SIZE,SEED,NO_SET,DISK_SIZE,SIM_SIZE,SIZE,DISK_GEOMETRY,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
37,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,524288,42,0,134217728,0,2097152,1,64,ctx,4553984,0,0,0,0,0,0,848,152.880234
37,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,524288,42,0,134217728,0,2097152,1,64,heap,4553984,0,0,0,0,0,0,1296,152.880261
37,bench_p26_wt,bench_p26_wt_many,32,1,32768,3600000000000,0,64,524288,42,0,134217728,0,2097152,1,64,usage,4553984,0,0,0,0,0,0,35651584,152.880286
40,bench_p26_wt,bench_p26_wt_logging,32,1,32768,3600000000000,0,64,8192,42,0,134217728,0,2097152,1,64,write,16250304,129826468,1367761,89106,2287229130,700293632,729956352,3600070847742,21.705107
40,bench_p26_wt,bench_p26_wt_logging,32,1,32768,3600000000000,0,64,8192,42,0,134217728,0,2097152,1,64,stack,16250304,0,0,0,0,0,0,3296,21.705217
40,bench_p26_wt,bench_p26_wt_logging,32,1,32768,3600000000000,0,64,8192,42,0,134217728,0,2097152,1,64,ctx,16250304,0,0,0,0,0,0,624,21.705281
40,bench_p26_wt,bench_p26_wt_logging,32,1,32768,3600000000000,0,64,8192,42,0,134217728,0,2097152,1,64,heap,16250304,0,0,0,0,0,0,1296,21.705327
40,bench_p26_wt,bench_p26_wt_logging,32,1,32768,3600000000000,0,64,8192,42,0,134217728,0,2097152,1,64,usage,16250304,0,0,0,0,0,0,3883008,21.705371
39,bench_p26_wt,bench_p26_wt_logging,32,1,32768,3600000000000,0,64,4096,42,0,134217728,0,2097152,1,64,write,15165568,129068776,1432700,197459,2314785561,733542400,808792064,3600013042395,31.572837
39,bench_p26_wt,bench_p26_wt_logging,32,1,32768,3600000000000,0,64,4096,42,0,134217728,0,2097152,1,64,stack,15165568,0,0,0,0,0,0,3296,31.572952
