i,suite,case,NO_SET,SEED,FS,CHUNK,NO_FRUNCATE,SIM_SIZE,SKIP_WARMUP,FILE_SIZE,READ_SIZE,SIZE,DISK_GEOMETRY,FILE_COUNT,SIM_TIME,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
25,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,1,2097152,0,32768,3600000000000,134217728,heap,7800256,0,0,0,0,0,0,784,18.800956
25,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,1,2097152,0,32768,3600000000000,134217728,usage,7800256,0,0,0,0,0,0,4820992,18.800995
29,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,16,2097152,0,32768,3600000000000,134217728,write,7765760,1289338592,2013395,60863,1289338592,217919850,249294848,3600082935518,19.006803
29,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,16,2097152,0,32768,3600000000000,134217728,stack,7765760,0,0,0,0,0,0,3296,19.006932
29,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,16,2097152,0,32768,3600000000000,134217728,ctx,7765760,0,0,0,0,0,0,608,19.006979
29,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,16,2097152,0,32768,3600000000000,134217728,heap,7765760,0,0,0,0,0,0,784,19.007010
29,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,16,2097152,0,32768,3600000000000,134217728,usage,7765760,0,0,0,0,0,0,4743168,19.007039
28,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,8,2097152,0,32768,3600000000000,134217728,write,7780352,1104374752,2017548,60993,1104374752,218372903,249827328,3600204546789,20.519519
28,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,8,2097152,0,32768,3600000000000,134217728,stack,7780352,0,0,0,0,0,0,3296,20.519616
28,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,8,2097152,0,32768,3600000000000,134217728,ctx,7780352,0,0,0,0,0,0,608,20.519668
28,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,8,2097152,0,32768,3600000000000,134217728,heap,7780352,0,0,0,0,0,0,784,20.519712
28,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,8,2097152,0,32768,3600000000000,134217728,usage,7780352,0,0,0,0,0,0,4767744,20.519750
27,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,4,2097152,0,32768,3600000000000,134217728,write,7789696,973822824,2020292,61083,973822824,218680698,250195968,3600136148046,21.348667
27,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,4,2097152,0,32768,3600000000000,134217728,stack,7789696,0,0,0,0,0,0,3296,21.348759
27,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,4,2097152,0,32768,3600000000000,134217728,ctx,7789696,0,0,0,0,0,0,608,21.348842
27,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,4,2097152,0,32768,3600000000000,134217728,heap,7789696,0,0,0,0,0,0,784,21.348909
27,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,4,2097152,0,32768,3600000000000,134217728,usage,7789696,0,0,0,0,0,0,4816896,21.348997
26,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,2,2097152,0,32768,3600000000000,134217728,write,7794240,912798084,2021794,61124,912798084,218838369,250363904,3600144091347,22.119184
26,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,2,2097152,0,32768,3600000000000,134217728,stack,7794240,0,0,0,0,0,0,3296,22.119262
26,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,2,2097152,0,32768,3600000000000,134217728,ctx,7794240,0,0,0,0,0,0,608,22.119298
26,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,2,2097152,0,32768,3600000000000,134217728,heap,7794240,0,0,0,0,0,0,784,22.119328
26,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,2,2097152,0,32768,3600000000000,134217728,usage,7794240,0,0,0,0,0,0,4804608,22.119356
37,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,4096,2097152,0,32768,3600000000000,134217728,write,6248384,18768773120,1611936,48916,18768773120,174547746,200359936,3600202316678,6.181529
37,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,4096,2097152,0,32768,3600000000000,134217728,stack,6248384,0,0,0,0,0,0,3296,6.181597
37,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,4096,2097152,0,32768,3600000000000,134217728,ctx,6248384,0,0,0,0,0,0,608,6.181630
37,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,4096,2097152,0,32768,3600000000000,134217728,heap,6248384,0,0,0,0,0,0,8464,6.181656
37,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,4096,2097152,0,32768,3600000000000,134217728,usage,6248384,0,0,0,0,0,0,4780032,6.181681
49,bench_p26_wt,bench_p26_wt_many,1,42,33,64,0,0,0,64,2048,2097152,0,32768,3600000000000,134217728,write,34678016,41998395392,1075127,33057,41998395392,125682839,135401472,3600032777269,45.470645
49,bench_p26_wt,bench_p26_wt_many,1,42,33,64,0,0,0,64,2048,2097152,0,32768,3600000000000,134217728,stack,34678016,0,0,0,0,0,0,3488,45.470781
49,bench_p26_wt,bench_p26_wt_many,1,42,33,64,0,0,0,64,2048,2097152,0,32768,3600000000000,134217728,ctx,34678016,0,0,0,0,0,0,848,45.470843
49,bench_p26_wt,bench_p26_wt_many,1,42,33,64,0,0,0,64,2048,2097152,0,32768,3600000000000,134217728,heap,34678016,0,0,0,0,0,0,4368,45.470910
49,bench_p26_wt,bench_p26_wt_many,1,42,33,64,0,0,0,64,2048,2097152,0,32768,3600000000000,134217728,usage,34678016,0,0,0,0,0,0,31965184,45.470963
48,bench_p26_wt,bench_p26_wt_many,1,42,33,64,0,0,0,64,1024,2097152,0,32768,3600000000000,134217728,write,37068992,39055275008,1141830,35076,39055275008,133594691,143671296,3600000311545,47.887274
48,bench_p26_wt,bench_p26_wt_many,1,42,33,64,0,0,0,64,1024,2097152,0,32768,3600000000000,134217728,stack,37068992,0,0,0,0,0,0,3488,47.887383
48,bench_p26_wt,bench_p26_wt_many,1,42,33,64,0,0,0,64,1024,2097152,0,32768,3600000000000,134217728,ctx,37068992,0,0,0,0,0,0,848,47.887444
48,bench_p26_wt,bench_p26_wt_many,1,42,33,64,0,0,0,64,1024,2097152,0,32768,3600000000000,134217728,heap,37068992,0,0,0,0,0,0,2320,47.887497
48,bench_p26_wt,bench_p26_wt_many,1,42,33,64,0,0,0,64,1024,2097152,0,32768,3600000000000,134217728,usage,37068992,0,0,0,0,0,0,31965184,47.887564
47,bench_p26_wt,bench_p26_wt_many,1,42,33,64,0,0,0,64,512,2097152,0,32768,3600000000000,134217728,write,43669632,31073876992,1325435,40529,31073876992,155306654,166006784,3600000090810,57.661006
47,bench_p26_wt,bench_p26_wt_many,1,42,33,64,0,0,0,64,512,2097152,0,32768,3600000000000,134217728,stack,43669632,0,0,0,0,0,0,3488,57.661119
47,bench_p26_wt,bench_p26_wt_many,1,42,33,64,0,0,0,64,512,2097152,0,32768,3600000000000,134217728,ctx,43669632,0,0,0,0,0,0,848,57.661179
47,bench_p26_wt,bench_p26_wt_many,1,42,33,64,0,0,0,64,512,2097152,0,32768,3600000000000,134217728,heap,43669632,0,0,0,0,0,0,1296,57.661230
47,bench_p26_wt,bench_p26_wt_many,1,42,33,64,0,0,0,64,512,2097152,0,32768,3600000000000,134217728,usage,43669632,0,0,0,0,0,0,31965184,57.661279
46,bench_p26_wt,bench_p26_wt_many,1,42,33,64,0,0,0,64,256,2097152,0,32768,3600000000000,134217728,write,49793920,23690496000,1495846,45569,23690496000,175429424,186650624,3600026622608,60.291499
46,bench_p26_wt,bench_p26_wt_many,1,42,33,64,0,0,0,64,256,2097152,0,32768,3600000000000,134217728,stack,49793920,0,0,0,0,0,0,3488,60.291612
46,bench_p26_wt,bench_p26_wt_many,1,42,33,64,0,0,0,64,256,2097152,0,32768,3600000000000,134217728,ctx,49793920,0,0,0,0,0,0,848,60.291675
