i,suite,case,FS,FILE_SIZE,SKIP_WARMUP,FILE_COUNT,SIM_TIME,SIZE,DISK_GEOMETRY,SIM_SIZE,DISK_SIZE,PROG_SIZE,CHUNK,NO_SET,SEED,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
35,bench_p26_wt,bench_p26_wt_random,30,64,0,32768,3600000000000,2097152,1,0,134217728,1024,64,0,42,0,heap,9543680,0,0,0,0,0,0,2320,41.850462
35,bench_p26_wt,bench_p26_wt_random,30,64,0,32768,3600000000000,2097152,1,0,134217728,1024,64,0,42,0,usage,9543680,0,0,0,0,0,0,5505024,41.850489
37,bench_p26_wt,bench_p26_wt_random,30,64,0,32768,3600000000000,2097152,1,0,134217728,4096,64,0,42,0,write,3036992,134827957,695694,11523,3378084299,1424781312,1510342656,3601264777745,18.499547
37,bench_p26_wt,bench_p26_wt_random,30,64,0,32768,3600000000000,2097152,1,0,134217728,4096,64,0,42,0,stack,3036992,0,0,0,0,0,0,3088,18.499617
37,bench_p26_wt,bench_p26_wt_random,30,64,0,32768,3600000000000,2097152,1,0,134217728,4096,64,0,42,0,ctx,3036992,0,0,0,0,0,0,512,18.499647
37,bench_p26_wt,bench_p26_wt_random,30,64,0,32768,3600000000000,2097152,1,0,134217728,4096,64,0,42,0,heap,3036992,0,0,0,0,0,0,8464,18.499672
37,bench_p26_wt,bench_p26_wt_random,30,64,0,32768,3600000000000,2097152,1,0,134217728,4096,64,0,42,0,usage,3036992,0,0,0,0,0,0,5636096,18.499696
49,bench_p26_wt,bench_p26_wt_many,30,64,0,32768,3600000000000,2097152,1,0,134217728,2048,64,0,42,0,write,10169344,136349354,209600,3376,9575088790,429260800,442499072,3600011669794,120.283979
49,bench_p26_wt,bench_p26_wt_many,30,64,0,32768,3600000000000,2097152,1,0,134217728,2048,64,0,42,0,stack,10169344,0,0,0,0,0,0,3200,120.284095
49,bench_p26_wt,bench_p26_wt_many,30,64,0,32768,3600000000000,2097152,1,0,134217728,2048,64,0,42,0,ctx,10169344,0,0,0,0,0,0,752,120.284167
49,bench_p26_wt,bench_p26_wt_many,30,64,0,32768,3600000000000,2097152,1,0,134217728,2048,64,0,42,0,heap,10169344,0,0,0,0,0,0,4368,120.284228
49,bench_p26_wt,bench_p26_wt_many,30,64,0,32768,3600000000000,2097152,1,0,134217728,2048,64,0,42,0,usage,10169344,0,0,0,0,0,0,34209792,120.284275
48,bench_p26_wt,bench_p26_wt_many,30,64,0,32768,3600000000000,2097152,1,0,134217728,1024,64,0,42,0,write,12895744,133793952,266687,2145,12413190640,273087488,281149440,3600010037456,161.688869
48,bench_p26_wt,bench_p26_wt_many,30,64,0,32768,3600000000000,2097152,1,0,134217728,1024,64,0,42,0,stack,12895744,0,0,0,0,0,0,3200,161.688984
48,bench_p26_wt,bench_p26_wt_many,30,64,0,32768,3600000000000,2097152,1,0,134217728,1024,64,0,42,0,ctx,12895744,0,0,0,0,0,0,752,161.689043
48,bench_p26_wt,bench_p26_wt_many,30,64,0,32768,3600000000000,2097152,1,0,134217728,1024,64,0,42,0,heap,12895744,0,0,0,0,0,0,2320,161.689093
48,bench_p26_wt,bench_p26_wt_many,30,64,0,32768,3600000000000,2097152,1,0,134217728,1024,64,0,42,0,usage,12895744,0,0,0,0,0,0,33947648,161.689141
42,bench_p26_wt,bench_p26_wt_many,30,64,0,32768,3600000000000,2097152,1,0,134217728,16,64,0,42,0,write,9695040,130472344,223753,405,17680824109,47024864,53084160,3600019748599,175.941807
42,bench_p26_wt,bench_p26_wt_many,30,64,0,32768,3600000000000,2097152,1,0,134217728,16,64,0,42,0,stack,9695040,0,0,0,0,0,0,3104,175.941921
42,bench_p26_wt,bench_p26_wt_many,30,64,0,32768,3600000000000,2097152,1,0,134217728,16,64,0,42,0,ctx,9695040,0,0,0,0,0,0,752,175.941979
42,bench_p26_wt,bench_p26_wt_many,30,64,0,32768,3600000000000,2097152,1,0,134217728,16,64,0,42,0,heap,9695040,0,0,0,0,0,0,784,175.942029
42,bench_p26_wt,bench_p26_wt_many,30,64,0,32768,3600000000000,2097152,1,0,134217728,16,64,0,42,0,usage,9695040,0,0,0,0,0,0,33947648,175.942076
39,bench_p26_wt,bench_p26_wt_many,30,64,0,32768,3600000000000,2097152,1,0,134217728,2,64,0,42,0,write,9676544,130458538,222743,396,17714005566,45479504,51904512,3600011488906,193.219977
39,bench_p26_wt,bench_p26_wt_many,30,64,0,32768,3600000000000,2097152,1,0,134217728,2,64,0,42,0,stack,9676544,0,0,0,0,0,0,3200,193.220091
