i,suite,case,SKIP_WARMUP,SIM_SIZE,SIZE,BLOCK_SIZE,CHUNK,DISK_SIZE,FILE_SIZE,FILE_COUNT,SEED,FS,NO_FRUNCATE,DISK_GEOMETRY,SIM_TIME,NO_SET,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
34,bench_p26_wt,bench_p26_wt_many,0,0,2097152,65536,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,17504960,0,0,0,0,0,0,3312,96.116210
34,bench_p26_wt,bench_p26_wt_many,0,0,2097152,65536,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,17504960,0,0,0,0,0,0,848,96.116263
34,bench_p26_wt,bench_p26_wt_many,0,0,2097152,65536,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,17504960,0,0,0,0,0,0,1296,96.116306
34,bench_p26_wt,bench_p26_wt_many,0,0,2097152,65536,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,17504960,0,0,0,0,0,0,33816576,96.116351
35,bench_p26_wt,bench_p26_wt_many,0,0,2097152,131072,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,13003072,131124368,313669,1278,15475130734,160598528,167510016,3600476055850,105.333564
35,bench_p26_wt,bench_p26_wt_many,0,0,2097152,131072,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,13003072,0,0,0,0,0,0,3312,105.333662
35,bench_p26_wt,bench_p26_wt_many,0,0,2097152,131072,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,13003072,0,0,0,0,0,0,848,105.333711
35,bench_p26_wt,bench_p26_wt_many,0,0,2097152,131072,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,13003072,0,0,0,0,0,0,1296,105.333754
35,bench_p26_wt,bench_p26_wt_many,0,0,2097152,131072,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,13003072,0,0,0,0,0,0,34078720,105.333794
38,bench_p26_wt,bench_p26_wt_many,0,0,2097152,1048576,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,2411712,127005942,82721,360,24032244174,42353152,47185920,3600091506762,140.061558
38,bench_p26_wt,bench_p26_wt_many,0,0,2097152,1048576,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,2411712,0,0,0,0,0,0,3248,140.061642
38,bench_p26_wt,bench_p26_wt_many,0,0,2097152,1048576,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,2411712,0,0,0,0,0,0,848,140.061681
38,bench_p26_wt,bench_p26_wt_many,0,0,2097152,1048576,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,2411712,0,0,0,0,0,0,1296,140.061715
38,bench_p26_wt,bench_p26_wt_many,0,0,2097152,1048576,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,2411712,0,0,0,0,0,0,20971520,140.061745
36,bench_p26_wt,bench_p26_wt_many,0,0,2097152,262144,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,8179008,129366524,212415,874,19149384988,108756480,114556928,3600007897876,145.274849
36,bench_p26_wt,bench_p26_wt_many,0,0,2097152,262144,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,8179008,0,0,0,0,0,0,3312,145.274933
36,bench_p26_wt,bench_p26_wt_many,0,0,2097152,262144,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,8179008,0,0,0,0,0,0,848,145.274969
36,bench_p26_wt,bench_p26_wt_many,0,0,2097152,262144,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,8179008,0,0,0,0,0,0,1296,145.275000
36,bench_p26_wt,bench_p26_wt_many,0,0,2097152,262144,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,8179008,0,0,0,0,0,0,34603008,145.275028
37,bench_p26_wt,bench_p26_wt_many,0,0,2097152,524288,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,4469440,128221125,134319,596,21727475659,68771328,78118912,3600023252497,146.265149
37,bench_p26_wt,bench_p26_wt_many,0,0,2097152,524288,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,4469440,0,0,0,0,0,0,3312,146.265215
37,bench_p26_wt,bench_p26_wt_many,0,0,2097152,524288,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,4469440,0,0,0,0,0,0,848,146.265246
37,bench_p26_wt,bench_p26_wt_many,0,0,2097152,524288,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,4469440,0,0,0,0,0,0,1296,146.265272
37,bench_p26_wt,bench_p26_wt_many,0,0,2097152,524288,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,4469440,0,0,0,0,0,0,35651584,146.265297
41,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,16384,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,12788480,133644216,1039529,33060,1978533053,532238848,541655040,3600002301959,17.808096
41,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,16384,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,12788480,0,0,0,0,0,0,3296,17.808214
41,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,16384,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,12788480,0,0,0,0,0,0,624,17.808267
41,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,16384,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,12788480,0,0,0,0,0,0,1296,17.808317
41,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,16384,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,12788480,0,0,0,0,0,0,2244608,17.808363
40,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,8192,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,10587840,130224952,1325179,87002,2364272620,678491648,712720384,3600015671428,21.694022
40,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,8192,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,10587840,0,0,0,0,0,0,3296,21.694128
40,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,8192,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,10587840,0,0,0,0,0,0,624,21.694184
40,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,8192,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,10587840,0,0,0,0,0,0,1296,21.694234
40,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,8192,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,10587840,0,0,0,0,0,0,2252800,21.694279
39,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,4096,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,10235008,130091159,1342036,184453,2272875177,687122432,755519488,3600008817291,30.752737
