i,suite,case,SIM_SIZE,NO_FRUNCATE,SKIP_WARMUP,NO_SET,FILE_COUNT,SEED,DISK_SIZE,FS,PROG_SIZE,CHUNK,DISK_GEOMETRY,SIM_TIME,SIZE,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
36,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,2048,64,0,3600000000000,2097152,64,usage,772992,0,0,0,0,0,0,5165056,16.696323
35,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,1024,64,0,3600000000000,2097152,64,write,1328512,834821626,894864,71228,834821626,229085184,291749888,3600969895696,17.082133
35,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,1024,64,0,3600000000000,2097152,64,stack,1328512,0,0,0,0,0,0,3072,17.082237
35,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,1024,64,0,3600000000000,2097152,64,ctx,1328512,0,0,0,0,0,0,512,17.082294
35,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,1024,64,0,3600000000000,2097152,64,heap,1328512,0,0,0,0,0,0,2320,17.082345
35,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,1024,64,0,3600000000000,2097152,64,usage,1328512,0,0,0,0,0,0,5251072,17.082393
34,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,512,64,0,3600000000000,2097152,64,write,2450176,951727229,977194,70367,951727229,250161664,288223232,3600245268360,18.004666
34,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,512,64,0,3600000000000,2097152,64,stack,2450176,0,0,0,0,0,0,3072,18.004775
34,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,512,64,0,3600000000000,2097152,64,ctx,2450176,0,0,0,0,0,0,512,18.004832
34,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,512,64,0,3600000000000,2097152,64,heap,2450176,0,0,0,0,0,0,1296,18.004882
34,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,512,64,0,3600000000000,2097152,64,usage,2450176,0,0,0,0,0,0,4739072,18.004943
29,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,16,64,0,3600000000000,2097152,64,write,6966656,1013427872,1975411,61445,1013427872,221271824,251678720,3600100950064,19.334187
29,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,16,64,0,3600000000000,2097152,64,stack,6966656,0,0,0,0,0,0,3152,19.334294
29,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,16,64,0,3600000000000,2097152,64,ctx,6966656,0,0,0,0,0,0,512,19.334348
29,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,16,64,0,3600000000000,2097152,64,heap,6966656,0,0,0,0,0,0,784,19.334398
29,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,16,64,0,3600000000000,2097152,64,usage,6966656,0,0,0,0,0,0,4575232,19.334446
30,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,32,64,0,3600000000000,2097152,64,write,6697280,1007591932,1864564,62435,1007591932,223072992,255733760,3600097415680,19.585592
30,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,32,64,0,3600000000000,2097152,64,stack,6697280,0,0,0,0,0,0,3152,19.585695
30,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,32,64,0,3600000000000,2097152,64,ctx,6697280,0,0,0,0,0,0,512,19.585757
30,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,32,64,0,3600000000000,2097152,64,heap,6697280,0,0,0,0,0,0,784,19.585802
30,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,32,64,0,3600000000000,2097152,64,usage,6697280,0,0,0,0,0,0,4550656,19.585848
28,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,8,64,0,3600000000000,2097152,64,write,7093632,1023594005,2024794,60996,1023594005,221609040,249839616,3600069126968,19.715956
28,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,8,64,0,3600000000000,2097152,64,stack,7093632,0,0,0,0,0,0,3152,19.716051
28,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,8,64,0,3600000000000,2097152,64,ctx,7093632,0,0,0,0,0,0,512,19.716108
28,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,8,64,0,3600000000000,2097152,64,heap,7093632,0,0,0,0,0,0,784,19.716154
28,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,8,64,0,3600000000000,2097152,64,usage,7093632,0,0,0,0,0,0,4599808,19.716198
25,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,1,64,0,3600000000000,2097152,64,write,7861440,972572239,2025106,61041,972572239,218418044,250023936,3600117406860,19.925133
25,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,1,64,0,3600000000000,2097152,64,stack,7861440,0,0,0,0,0,0,3152,19.925235
25,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,1,64,0,3600000000000,2097152,64,ctx,7861440,0,0,0,0,0,0,512,19.925283
25,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,1,64,0,3600000000000,2097152,64,heap,7861440,0,0,0,0,0,0,784,19.925326
25,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,1,64,0,3600000000000,2097152,64,usage,7861440,0,0,0,0,0,0,4603904,19.925370
26,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,2,64,0,3600000000000,2097152,64,write,7507456,997820252,2054018,60760,997820252,219756638,248872960,3600076639066,19.994526
26,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,2,64,0,3600000000000,2097152,64,stack,7507456,0,0,0,0,0,0,3152,19.994629
26,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,2,64,0,3600000000000,2097152,64,ctx,7507456,0,0,0,0,0,0,512,19.994690
26,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,2,64,0,3600000000000,2097152,64,heap,7507456,0,0,0,0,0,0,784,19.994739
