i,suite,case,FILE_SIZE,SIZE,SIM_TIME,FILE_COUNT,SIM_SIZE,NO_SET,NO_FRUNCATE,DISK_SIZE,SEED,SKIP_WARMUP,DISK_GEOMETRY,READ_SIZE,CHUNK,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
27,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,4,64,3,usage,8207424,0,0,0,0,0,0,5242880,38.116145
28,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,8,64,3,write,10204800,119280194,2294723,10396,2807892560,1174898176,1362624512,3600892749296,41.319135
28,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,8,64,3,stack,10204800,0,0,0,0,0,0,3120,41.319242
28,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,8,64,3,ctx,10204800,0,0,0,0,0,0,608,41.319301
28,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,8,64,3,heap,10204800,0,0,0,0,0,0,1296,41.319350
28,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,8,64,3,usage,10204800,0,0,0,0,0,0,5505024,41.319411
36,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,2048,64,3,write,12891392,44424919,2906416,13167,90982234112,1488084992,1725825024,3600795723776,46.382102
36,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,2048,64,3,stack,12891392,0,0,0,0,0,0,3072,46.382215
36,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,2048,64,3,ctx,12891392,0,0,0,0,0,0,608,46.382273
36,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,2048,64,3,heap,12891392,0,0,0,0,0,0,4624,46.382323
36,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,2048,64,3,usage,12891392,0,0,0,0,0,0,5373952,46.382370
25,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,1,64,3,write,13076096,111871247,2948980,13361,3107402239,1509877760,1751252992,3600165228013,47.279825
25,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,1,64,3,stack,13076096,0,0,0,0,0,0,3120,47.279930
25,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,1,64,3,ctx,13076096,0,0,0,0,0,0,608,47.279985
25,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,1,64,3,heap,13076096,0,0,0,0,0,0,1296,47.280034
25,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,1,64,3,usage,13076096,0,0,0,0,0,0,5373952,47.280080
29,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,16,64,3,write,13691904,109505661,3089143,13995,4188786544,1581641216,1834352640,3600205455184,51.981415
29,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,16,64,3,stack,13691904,0,0,0,0,0,0,3120,51.981529
29,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,16,64,3,ctx,13691904,0,0,0,0,0,0,608,51.981587
29,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,16,64,3,heap,13691904,0,0,0,0,0,0,1296,51.981639
29,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,16,64,3,usage,13691904,0,0,0,0,0,0,5111808,51.981687
31,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,64,64,3,write,18096960,95094492,4084608,18504,8779278784,2091319296,2425356288,3600527759680,52.969110
31,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,64,64,3,stack,18096960,0,0,0,0,0,0,3088,52.969212
31,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,64,64,3,ctx,18096960,0,0,0,0,0,0,608,52.969273
31,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,64,64,3,heap,18096960,0,0,0,0,0,0,1296,52.969337
31,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,64,64,3,usage,18096960,0,0,0,0,0,0,5242880,52.969388
30,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,32,64,3,write,16669888,100703925,3765641,17062,6012710624,1928008192,2236350464,3600186572960,53.024277
30,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,32,64,3,stack,16669888,0,0,0,0,0,0,3120,53.024359
30,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,32,64,3,ctx,16669888,0,0,0,0,0,0,608,53.024396
30,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,32,64,3,heap,16669888,0,0,0,0,0,0,1296,53.024427
30,bench_p26_wt,bench_p26_wt_random,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,32,64,3,usage,16669888,0,0,0,0,0,0,4718592,53.024456
