i,suite,case,SKIP_WARMUP,CHUNK,FS,SEED,SIM_TIME,SIM_SIZE,FILE_SIZE,FILE_COUNT,SIZE,PROG_SIZE,NO_FRUNCATE,DISK_GEOMETRY,NO_SET,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
28,bench_p26_wt,bench_p26_wt_random,0,64,2,42,3600000000000,0,64,32768,2097152,8,0,1,0,134217728,ctx,169600,0,0,0,0,0,0,384,263.633096
28,bench_p26_wt,bench_p26_wt_random,0,64,2,42,3600000000000,0,64,32768,2097152,8,0,1,0,134217728,heap,169600,0,0,0,0,0,0,784,263.633144
28,bench_p26_wt,bench_p26_wt_random,0,64,2,42,3600000000000,0,64,32768,2097152,8,0,1,0,134217728,usage,169600,0,0,0,0,0,0,2359296,263.633190
26,bench_p26_wt,bench_p26_wt_random,0,64,2,42,3600000000000,0,64,32768,2097152,2,0,1,0,134217728,write,169600,23703910,11253006,22160,5775414469,2880484878,2904555520,3602208779689,264.331520
26,bench_p26_wt,bench_p26_wt_random,0,64,2,42,3600000000000,0,64,32768,2097152,2,0,1,0,134217728,stack,169600,0,0,0,0,0,0,1520,264.331622
26,bench_p26_wt,bench_p26_wt_random,0,64,2,42,3600000000000,0,64,32768,2097152,2,0,1,0,134217728,ctx,169600,0,0,0,0,0,0,384,264.331677
26,bench_p26_wt,bench_p26_wt_random,0,64,2,42,3600000000000,0,64,32768,2097152,2,0,1,0,134217728,heap,169600,0,0,0,0,0,0,784,264.331725
26,bench_p26_wt,bench_p26_wt_random,0,64,2,42,3600000000000,0,64,32768,2097152,2,0,1,0,134217728,usage,169600,0,0,0,0,0,0,2359296,264.331784
27,bench_p26_wt,bench_p26_wt_random,0,64,2,42,3600000000000,0,64,32768,2097152,4,0,1,0,134217728,write,169600,23698354,11253006,22160,5775416565,2880487384,2904555520,3602072322871,265.462815
27,bench_p26_wt,bench_p26_wt_random,0,64,2,42,3600000000000,0,64,32768,2097152,4,0,1,0,134217728,stack,169600,0,0,0,0,0,0,1520,265.462914
