i,suite,case,SIZE,SKIP_WARMUP,CHUNK,PROG_SIZE,DISK_GEOMETRY,NO_FRUNCATE,DISK_SIZE,NO_SET,FILE_COUNT,SIM_SIZE,SIM_TIME,FILE_SIZE,SEED,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
24,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,4096,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,95154240,0,0,0,0,0,0,913408,5.599799
35,bench_p26_wt,bench_p26_wt_random,2097152,0,64,1024,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,1267520,739676405,913688,72457,739676405,233904128,296783872,3660091004488,15.478794
35,bench_p26_wt,bench_p26_wt_random,2097152,0,64,1024,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,1267520,0,0,0,0,0,0,3200,15.478910
35,bench_p26_wt,bench_p26_wt_random,2097152,0,64,1024,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,1267520,0,0,0,0,0,0,608,15.478968
35,bench_p26_wt,bench_p26_wt_random,2097152,0,64,1024,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,1267520,0,0,0,0,0,0,2320,15.479029
35,bench_p26_wt,bench_p26_wt_random,2097152,0,64,1024,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,1267520,0,0,0,0,0,0,5607424,15.479081
36,bench_p26_wt,bench_p26_wt_random,2097152,0,64,2048,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,713088,623810793,713992,73185,623810793,182781952,299765760,3607340119144,15.632383
36,bench_p26_wt,bench_p26_wt_random,2097152,0,64,2048,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,713088,0,0,0,0,0,0,3200,15.632482
36,bench_p26_wt,bench_p26_wt_random,2097152,0,64,2048,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,713088,0,0,0,0,0,0,608,15.632537
36,bench_p26_wt,bench_p26_wt_random,2097152,0,64,2048,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,713088,0,0,0,0,0,0,4368,15.632585
36,bench_p26_wt,bench_p26_wt_random,2097152,0,64,2048,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,713088,0,0,0,0,0,0,5234688,15.632632
34,bench_p26_wt,bench_p26_wt_random,2097152,0,64,512,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,2392128,828441060,977998,70467,828441060,250367488,288632832,3600139300768,15.710514
34,bench_p26_wt,bench_p26_wt_random,2097152,0,64,512,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,2392128,0,0,0,0,0,0,3296,15.710611
34,bench_p26_wt,bench_p26_wt_random,2097152,0,64,512,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,2392128,0,0,0,0,0,0,608,15.710669
34,bench_p26_wt,bench_p26_wt_random,2097152,0,64,512,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,2392128,0,0,0,0,0,0,1296,15.710730
34,bench_p26_wt,bench_p26_wt_random,2097152,0,64,512,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,2392128,0,0,0,0,0,0,5144576,15.710778
25,bench_p26_wt,bench_p26_wt_random,2097152,0,64,1,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,7800256,843240476,2023461,61169,843240476,219014615,250548224,3600057088597,17.198272
25,bench_p26_wt,bench_p26_wt_random,2097152,0,64,1,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,7800256,0,0,0,0,0,0,3296,17.198377
25,bench_p26_wt,bench_p26_wt_random,2097152,0,64,1,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,7800256,0,0,0,0,0,0,608,17.198440
25,bench_p26_wt,bench_p26_wt_random,2097152,0,64,1,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,7800256,0,0,0,0,0,0,784,17.198486
25,bench_p26_wt,bench_p26_wt_random,2097152,0,64,1,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,7800256,0,0,0,0,0,0,4820992,17.198528
27,bench_p26_wt,bench_p26_wt_random,2097152,0,64,4,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,7203584,878914414,2046249,60934,878914414,221570444,249585664,3600076039572,17.389887
27,bench_p26_wt,bench_p26_wt_random,2097152,0,64,4,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,7203584,0,0,0,0,0,0,3296,17.389993
27,bench_p26_wt,bench_p26_wt_random,2097152,0,64,4,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,7203584,0,0,0,0,0,0,608,17.390043
27,bench_p26_wt,bench_p26_wt_random,2097152,0,64,4,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,7203584,0,0,0,0,0,0,784,17.390089
27,bench_p26_wt,bench_p26_wt_random,2097152,0,64,4,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,7203584,0,0,0,0,0,0,4907008,17.390136
30,bench_p26_wt,bench_p26_wt_random,2097152,0,64,32,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,6594560,870720725,1869510,62514,870720725,224815104,256057344,3600189594440,17.396103
30,bench_p26_wt,bench_p26_wt_random,2097152,0,64,32,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,6594560,0,0,0,0,0,0,3296,17.396183
30,bench_p26_wt,bench_p26_wt_random,2097152,0,64,32,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,6594560,0,0,0,0,0,0,608,17.396235
30,bench_p26_wt,bench_p26_wt_random,2097152,0,64,32,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,6594560,0,0,0,0,0,0,784,17.396284
30,bench_p26_wt,bench_p26_wt_random,2097152,0,64,32,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,6594560,0,0,0,0,0,0,4792320,17.396327
28,bench_p26_wt,bench_p26_wt_random,2097152,0,64,8,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,7022272,880880645,2022455,61145,880880645,222403208,250449920,3600144582112,17.682361
28,bench_p26_wt,bench_p26_wt_random,2097152,0,64,8,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,7022272,0,0,0,0,0,0,3296,17.682458
28,bench_p26_wt,bench_p26_wt_random,2097152,0,64,8,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,7022272,0,0,0,0,0,0,608,17.682510
28,bench_p26_wt,bench_p26_wt_random,2097152,0,64,8,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,7022272,0,0,0,0,0,0,784,17.682555
28,bench_p26_wt,bench_p26_wt_random,2097152,0,64,8,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,7022272,0,0,0,0,0,0,4841472,17.682599
33,bench_p26_wt,bench_p26_wt_random,2097152,0,64,256,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,3989248,961856127,1007817,70316,961856127,258001152,288014336,3610757562840,17.932489
33,bench_p26_wt,bench_p26_wt_random,2097152,0,64,256,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,3989248,0,0,0,0,0,0,3296,17.932589
33,bench_p26_wt,bench_p26_wt_random,2097152,0,64,256,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,3989248,0,0,0,0,0,0,608,17.932640
33,bench_p26_wt,bench_p26_wt_random,2097152,0,64,256,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,3989248,0,0,0,0,0,0,784,17.932686
33,bench_p26_wt,bench_p26_wt_random,2097152,0,64,256,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,3989248,0,0,0,0,0,0,4890624,17.932729
31,bench_p26_wt,bench_p26_wt_random,2097152,0,64,64,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,6208448,874155411,1716869,63863,874155411,233528384,261582848,3600119783096,18.056914
31,bench_p26_wt,bench_p26_wt_random,2097152,0,64,64,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,6208448,0,0,0,0,0,0,3296,18.057006
31,bench_p26_wt,bench_p26_wt_random,2097152,0,64,64,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,6208448,0,0,0,0,0,0,608,18.057067
31,bench_p26_wt,bench_p26_wt_random,2097152,0,64,64,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,6208448,0,0,0,0,0,0,784,18.057111
31,bench_p26_wt,bench_p26_wt_random,2097152,0,64,64,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,6208448,0,0,0,0,0,0,4751360,18.057152
26,bench_p26_wt,bench_p26_wt_random,2097152,0,64,2,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,7430272,863325475,2048860,60926,863325475,220427534,249552896,3600115511682,18.142922
26,bench_p26_wt,bench_p26_wt_random,2097152,0,64,2,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,7430272,0,0,0,0,0,0,3296,18.143002
26,bench_p26_wt,bench_p26_wt_random,2097152,0,64,2,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,7430272,0,0,0,0,0,0,608,18.143044
26,bench_p26_wt,bench_p26_wt_random,2097152,0,64,2,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,7430272,0,0,0,0,0,0,784,18.143078
26,bench_p26_wt,bench_p26_wt_random,2097152,0,64,2,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,7430272,0,0,0,0,0,0,4878336,18.143111
29,bench_p26_wt,bench_p26_wt_random,2097152,0,64,16,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,6879104,874045958,1971380,61606,874045958,222634848,252338176,3600183438608,18.175877
29,bench_p26_wt,bench_p26_wt_random,2097152,0,64,16,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,6879104,0,0,0,0,0,0,3296,18.175946
29,bench_p26_wt,bench_p26_wt_random,2097152,0,64,16,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,6879104,0,0,0,0,0,0,608,18.175986
29,bench_p26_wt,bench_p26_wt_random,2097152,0,64,16,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,6879104,0,0,0,0,0,0,784,18.176013
29,bench_p26_wt,bench_p26_wt_random,2097152,0,64,16,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,6879104,0,0,0,0,0,0,4853760,18.176037
32,bench_p26_wt,bench_p26_wt_random,2097152,0,64,128,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,5919296,927947548,1472708,65984,927947548,243081472,270270464,3600199474016,18.375553
32,bench_p26_wt,bench_p26_wt_random,2097152,0,64,128,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,5919296,0,0,0,0,0,0,3296,18.375634
32,bench_p26_wt,bench_p26_wt_random,2097152,0,64,128,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,5919296,0,0,0,0,0,0,608,18.375673
32,bench_p26_wt,bench_p26_wt_random,2097152,0,64,128,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,5919296,0,0,0,0,0,0,784,18.375708
32,bench_p26_wt,bench_p26_wt_random,2097152,0,64,128,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,5919296,0,0,0,0,0,0,4866048,18.375741
37,bench_p26_wt,bench_p26_wt_random,2097152,0,64,4096,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,623744,404818608,1114512,69657,404818608,285315072,285315072,3602032569216,5.626266
37,bench_p26_wt,bench_p26_wt_random,2097152,0,64,4096,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,623744,0,0,0,0,0,0,3200,5.626336
37,bench_p26_wt,bench_p26_wt_random,2097152,0,64,4096,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,623744,0,0,0,0,0,0,608,5.626367
37,bench_p26_wt,bench_p26_wt_random,2097152,0,64,4096,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,623744,0,0,0,0,0,0,8464,5.626392
37,bench_p26_wt,bench_p26_wt_random,2097152,0,64,4096,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,623744,0,0,0,0,0,0,4116480,5.626417
49,bench_p26_wt,bench_p26_wt_many,2097152,0,64,2048,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,3546496,748740936,630528,73668,748740936,161415168,301744128,3600269423424,16.919906
49,bench_p26_wt,bench_p26_wt_many,2097152,0,64,2048,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,3546496,0,0,0,0,0,0,3296,16.920033
49,bench_p26_wt,bench_p26_wt_many,2097152,0,64,2048,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,3546496,0,0,0,0,0,0,848,16.920093
49,bench_p26_wt,bench_p26_wt_many,2097152,0,64,2048,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,3546496,0,0,0,0,0,0,4368,16.920144
49,bench_p26_wt,bench_p26_wt_many,2097152,0,64,2048,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,3546496,0,0,0,0,0,0,26222592,16.920192
48,bench_p26_wt,bench_p26_wt_many,2097152,0,64,1024,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,8632448,1185373810,856400,71242,1185373810,219238400,291807232,3600044351952,20.637161
48,bench_p26_wt,bench_p26_wt_many,2097152,0,64,1024,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,8632448,0,0,0,0,0,0,3312,20.637264
48,bench_p26_wt,bench_p26_wt_many,2097152,0,64,1024,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,8632448,0,0,0,0,0,0,848,20.637320
48,bench_p26_wt,bench_p26_wt_many,2097152,0,64,1024,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,8632448,0,0,0,0,0,0,2320,20.637377
