i,suite,case,NO_FRUNCATE,CHUNK,DISK_GEOMETRY,SKIP_WARMUP,CRYSTAL_THRESH,SIZE,NO_SET,FILE_COUNT,SEED,SIM_SIZE,PROG_SIZE,FS,SIM_TIME,FILE_SIZE,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
22,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,1024,31,3600000000000,64,134217728,usage,467315776,0,0,0,0,0,0,5898240,81.579848
23,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,2048,31,3600000000000,64,134217728,write,314959936,117942449,1764816,33203,6666367944,3614343168,4351983616,3600116758488,94.751450
23,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,2048,31,3600000000000,64,134217728,stack,314959936,0,0,0,0,0,0,3344,94.751535
23,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,2048,31,3600000000000,64,134217728,ctx,314959936,0,0,0,0,0,0,624,94.751571
23,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,2048,31,3600000000000,64,134217728,heap,314959936,0,0,0,0,0,0,4368,94.751601
23,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,2048,31,3600000000000,64,134217728,usage,314959936,0,0,0,0,0,0,1966080,94.751629
24,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,4096,31,3600000000000,64,134217728,write,204918848,113033770,2099698,38167,7408670540,4300181504,5002625024,3600047639204,80.491191
24,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,4096,31,3600000000000,64,134217728,stack,204918848,0,0,0,0,0,0,3360,80.491267
24,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,4096,31,3600000000000,64,134217728,ctx,204918848,0,0,0,0,0,0,624,80.491298
24,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,4096,31,3600000000000,64,134217728,heap,204918848,0,0,0,0,0,0,8464,80.491323
24,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,4096,31,3600000000000,64,134217728,usage,204918848,0,0,0,0,0,0,6815744,80.491346
26,bench_p26_wt,bench_p26_wt_random,0,64,1,0,-1,2097152,0,32768,42,0,2,31,3600000000000,64,134217728,write,44843648,101332840,4184747,5913,1997492079,764811090,775028736,3600049213523,48.009337
