i,suite,case,SEED,DISK_SIZE,NO_FRUNCATE,SIM_TIME,DISK_GEOMETRY,FS,FILE_SIZE,CHUNK,READ_SIZE,NO_SET,FILE_COUNT,SKIP_WARMUP,SIZE,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
30,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,32,0,32768,0,2097152,0,usage,317952,0,0,0,0,0,0,2490368,515.065599
35,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,1024,0,32768,0,2097152,0,write,566976,19504543,9596732,80032,19972652032,9824071168,10489954304,3600631774720,668.897009
35,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,1024,0,32768,0,2097152,0,stack,566976,0,0,0,0,0,0,1840,668.897103
35,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,1024,0,32768,0,2097152,0,ctx,566976,0,0,0,0,0,0,384,668.905454
35,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,1024,0,32768,0,2097152,0,heap,566976,0,0,0,0,0,0,3088,668.905514
35,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,1024,0,32768,0,2097152,0,usage,566976,0,0,0,0,0,0,2490368,668.905571
36,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,2048,0,32768,0,2097152,0,write,937472,16397520,7946580,134878,33582120960,16257034240,17678729216,3600611031040,904.319493
36,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,2048,0,32768,0,2097152,0,stack,937472,0,0,0,0,0,0,1840,904.319641
36,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,2048,0,32768,0,2097152,0,ctx,937472,0,0,0,0,0,0,384,904.319676
36,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,2048,0,32768,0,2097152,0,heap,937472,0,0,0,0,0,0,6160,904.319704
36,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,2048,0,32768,0,2097152,0,usage,937472,0,0,0,0,0,0,2490368,904.319730
37,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,4096,0,32768,0,2097152,0,write,928896,16768990,7872846,133594,34342891520,16106232832,17510432768,3600382362624,578.432259
37,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,4096,0,32768,0,2097152,0,stack,928896,0,0,0,0,0,0,1840,578.432334
37,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,4096,0,32768,0,2097152,0,ctx,928896,0,0,0,0,0,0,384,578.432367
37,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,4096,0,32768,0,2097152,0,heap,928896,0,0,0,0,0,0,12304,578.432395
37,bench_p26_wt,bench_p26_wt_random,42,134217728,0,3600000000000,1,2,64,64,4096,0,32768,0,2097152,0,usage,928896,0,0,0,0,0,0,2490368,578.432422
38,bench_p26_wt,bench_p26_wt_many,42,134217728,0,3600000000000,1,2,64,64,1,0,32768,0,2097152,0,write,638976,139906889,22822,133,8661037096,11684864,17432576,3609097123576,52.940017
38,bench_p26_wt,bench_p26_wt_many,42,134217728,0,3600000000000,1,2,64,64,1,0,32768,0,2097152,0,stack,638976,0,0,0,0,0,0,2288,52.940157
38,bench_p26_wt,bench_p26_wt_many,42,134217728,0,3600000000000,1,2,64,64,1,0,32768,0,2097152,0,ctx,638976,0,0,0,0,0,0,640,52.940216
38,bench_p26_wt,bench_p26_wt_many,42,134217728,0,3600000000000,1,2,64,64,1,0,32768,0,2097152,0,heap,638976,0,0,0,0,0,0,1552,52.940275
38,bench_p26_wt,bench_p26_wt_many,42,134217728,0,3600000000000,1,2,64,64,1,0,32768,0,2097152,0,usage,638976,0,0,0,0,0,0,8912896,52.940319
40,bench_p26_wt,bench_p26_wt_many,42,134217728,0,3600000000000,1,2,64,64,4,0,32768,0,2097152,0,write,638976,140085835,22822,133,8787056576,11684864,17432576,3615889270592,53.580311
40,bench_p26_wt,bench_p26_wt_many,42,134217728,0,3600000000000,1,2,64,64,4,0,32768,0,2097152,0,stack,638976,0,0,0,0,0,0,2288,53.580426
40,bench_p26_wt,bench_p26_wt_many,42,134217728,0,3600000000000,1,2,64,64,4,0,32768,0,2097152,0,ctx,638976,0,0,0,0,0,0,640,53.580482
40,bench_p26_wt,bench_p26_wt_many,42,134217728,0,3600000000000,1,2,64,64,4,0,32768,0,2097152,0,heap,638976,0,0,0,0,0,0,1552,53.580529
40,bench_p26_wt,bench_p26_wt_many,42,134217728,0,3600000000000,1,2,64,64,4,0,32768,0,2097152,0,usage,638976,0,0,0,0,0,0,8912896,53.580584
39,bench_p26_wt,bench_p26_wt_many,42,134217728,0,3600000000000,1,2,64,64,2,0,32768,0,2097152,0,write,638976,139906889,22822,133,8661037096,11684864,17432576,3609097123576,53.744722
39,bench_p26_wt,bench_p26_wt_many,42,134217728,0,3600000000000,1,2,64,64,2,0,32768,0,2097152,0,stack,638976,0,0,0,0,0,0,2288,53.744831
39,bench_p26_wt,bench_p26_wt_many,42,134217728,0,3600000000000,1,2,64,64,2,0,32768,0,2097152,0,ctx,638976,0,0,0,0,0,0,640,53.744887
39,bench_p26_wt,bench_p26_wt_many,42,134217728,0,3600000000000,1,2,64,64,2,0,32768,0,2097152,0,heap,638976,0,0,0,0,0,0,1552,53.744939
39,bench_p26_wt,bench_p26_wt_many,42,134217728,0,3600000000000,1,2,64,64,2,0,32768,0,2097152,0,usage,638976,0,0,0,0,0,0,8912896,53.744988
41,bench_p26_wt,bench_p26_wt_many,42,134217728,0,3600000000000,1,2,64,64,8,0,32768,0,2097152,0,write,783488,136835127,27191,148,12097111072,13921792,19398656,3600054519904,63.582022
41,bench_p26_wt,bench_p26_wt_many,42,134217728,0,3600000000000,1,2,64,64,8,0,32768,0,2097152,0,stack,783488,0,0,0,0,0,0,2288,63.582130
41,bench_p26_wt,bench_p26_wt_many,42,134217728,0,3600000000000,1,2,64,64,8,0,32768,0,2097152,0,ctx,783488,0,0,0,0,0,0,640,63.582186
