i,suite,case,SEED,SIM_TIME,DISK_GEOMETRY,NO_FRUNCATE,DISK_SIZE,SIZE,FS,FILE_COUNT,FILE_SIZE,NO_SET,CHUNK,SKIP_WARMUP,PROG_SIZE,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
24,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,4096,0,usage,95154240,0,0,0,0,0,0,913408,5.801214
35,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,1024,0,write,1267520,739676405,913688,72457,739676405,233904128,296783872,3660091004488,16.319332
35,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,1024,0,stack,1267520,0,0,0,0,0,0,3200,16.319469
35,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,1024,0,ctx,1267520,0,0,0,0,0,0,608,16.319532
35,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,1024,0,heap,1267520,0,0,0,0,0,0,2320,16.319586
35,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,1024,0,usage,1267520,0,0,0,0,0,0,5607424,16.319638
36,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,2048,0,write,713088,623810793,713992,73185,623810793,182781952,299765760,3607340119144,16.493128
36,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,2048,0,stack,713088,0,0,0,0,0,0,3200,16.493235
36,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,2048,0,ctx,713088,0,0,0,0,0,0,608,16.493294
36,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,2048,0,heap,713088,0,0,0,0,0,0,4368,16.493345
36,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,2048,0,usage,713088,0,0,0,0,0,0,5234688,16.493395
34,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,512,0,write,2392128,828441060,977998,70467,828441060,250367488,288632832,3600139300768,16.804316
34,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,512,0,stack,2392128,0,0,0,0,0,0,3296,16.804428
34,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,512,0,ctx,2392128,0,0,0,0,0,0,608,16.804490
34,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,512,0,heap,2392128,0,0,0,0,0,0,1296,16.804543
34,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,512,0,usage,2392128,0,0,0,0,0,0,5144576,16.804594
30,bench_p26_wt,bench_p26_wt_random,42,3600000000000,0,0,134217728,2097152,33,32768,64,1,64,0,32,0,write,6594560,870720725,1869510,62514,870720725,224815104,256057344,3600189594440,18.146512
