i,suite,case,NO_SET,PROG_SIZE,DISK_GEOMETRY,SEED,CHUNK,DISK_SIZE,FS,SKIP_WARMUP,SIM_TIME,FILE_COUNT,FILE_SIZE,SIZE,SIM_SIZE,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
48,bench_p26_wt,bench_p26_wt_many,0,1024,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,2398976,0,0,0,0,0,0,3088,526.474176
48,bench_p26_wt,bench_p26_wt_many,0,1024,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,2398976,0,0,0,0,0,0,11124736,526.474226
49,bench_p26_wt,bench_p26_wt_many,0,2048,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,2116544,51576190688,441344,30186,51576190688,112984064,123641856,3600117846784,559.650272
49,bench_p26_wt,bench_p26_wt_many,0,2048,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,2116544,0,0,0,0,0,0,2240,559.650401
49,bench_p26_wt,bench_p26_wt_many,0,2048,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,2116544,0,0,0,0,0,0,640,559.650460
49,bench_p26_wt,bench_p26_wt_many,0,2048,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,2116544,0,0,0,0,0,0,6160,559.650509
49,bench_p26_wt,bench_p26_wt_many,0,2048,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,2116544,0,0,0,0,0,0,10526720,559.650556
47,bench_p26_wt,bench_p26_wt_many,0,512,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,2875584,69303351446,222090,16401,69303351446,56855040,67178496,3600101688176,650.742884
47,bench_p26_wt,bench_p26_wt_many,0,512,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,2875584,0,0,0,0,0,0,2288,650.742997
47,bench_p26_wt,bench_p26_wt_many,0,512,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,2875584,0,0,0,0,0,0,640,650.743052
47,bench_p26_wt,bench_p26_wt_many,0,512,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,2875584,0,0,0,0,0,0,1552,650.743098
47,bench_p26_wt,bench_p26_wt_many,0,512,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,2875584,0,0,0,0,0,0,12263424,650.743143
46,bench_p26_wt,bench_p26_wt_many,0,256,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,3307584,77735052662,130745,9727,77735052662,33470720,39841792,3600054712432,731.527391
46,bench_p26_wt,bench_p26_wt_many,0,256,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,3307584,0,0,0,0,0,0,2288,731.527505
46,bench_p26_wt,bench_p26_wt_many,0,256,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,3307584,0,0,0,0,0,0,640,731.527561
46,bench_p26_wt,bench_p26_wt_many,0,256,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,3307584,0,0,0,0,0,0,784,731.527609
