i,suite,case,NO_FRUNCATE,DISK_SIZE,FS,SEED,SIM_SIZE,CHUNK,BLOCK_SIZE,SKIP_WARMUP,NO_SET,FILE_COUNT,SIZE,SIM_TIME,DISK_GEOMETRY,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
30,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,4096,0,0,32768,2097152,3600000000000,1,64,heap,21336832,0,0,0,0,0,0,1296,45.970442
30,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,4096,0,0,32768,2097152,3600000000000,1,64,usage,21336832,0,0,0,0,0,0,32477184,45.970486
31,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,8192,0,0,32768,2097152,3600000000000,1,64,write,25644288,137321037,562612,38192,3919156435,288057344,312868864,3600003883945,56.196386
31,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,8192,0,0,32768,2097152,3600000000000,1,64,stack,25644288,0,0,0,0,0,0,3312,56.196498
31,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,8192,0,0,32768,2097152,3600000000000,1,64,ctx,25644288,0,0,0,0,0,0,752,56.196553
31,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,8192,0,0,32768,2097152,3600000000000,1,64,heap,25644288,0,0,0,0,0,0,1296,56.196599
31,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,8192,0,0,32768,2097152,3600000000000,1,64,usage,25644288,0,0,0,0,0,0,32276480,56.196645
33,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,32768,0,0,32768,2097152,3600000000000,1,64,write,22924160,135177120,485807,7906,7784206457,248733184,259063808,3600006505211,61.970672
33,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,32768,0,0,32768,2097152,3600000000000,1,64,stack,22924160,0,0,0,0,0,0,3200,61.970781
33,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,32768,0,0,32768,2097152,3600000000000,1,64,ctx,22924160,0,0,0,0,0,0,752,61.970837
33,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,32768,0,0,32768,2097152,3600000000000,1,64,heap,22924160,0,0,0,0,0,0,1296,61.970885
33,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,32768,0,0,32768,2097152,3600000000000,1,64,usage,22924160,0,0,0,0,0,0,33128448,61.970945
32,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,16384,0,0,32768,2097152,3600000000000,1,64,write,25661184,136337673,551407,18161,5356093296,282320384,297549824,3600000106320,62.144357
32,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,16384,0,0,32768,2097152,3600000000000,1,64,stack,25661184,0,0,0,0,0,0,3312,62.144455
32,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,16384,0,0,32768,2097152,3600000000000,1,64,ctx,25661184,0,0,0,0,0,0,752,62.144506
32,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,16384,0,0,32768,2097152,3600000000000,1,64,heap,25661184,0,0,0,0,0,0,1296,62.144552
32,bench_p26_wt,bench_p26_wt_many,0,134217728,30,42,0,64,16384,0,0,32768,2097152,3600000000000,1,64,usage,25661184,0,0,0,0,0,0,32456704,62.144596
