i,suite,case,DISK_SIZE,SEED,FILE_COUNT,NO_SET,SKIP_WARMUP,DISK_GEOMETRY,FS,READ_SIZE,SIM_SIZE,CHUNK,FILE_SIZE,SIZE,NO_FRUNCATE,SIM_TIME,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
34,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,512,0,64,64,2097152,0,3600000000000,write,7017600,9941312512,1815211,54947,9941312512,196484436,225062912,3600243603004,15.604040
34,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,512,0,64,64,2097152,0,3600000000000,stack,7017600,0,0,0,0,0,0,3296,15.604144
34,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,512,0,64,64,2097152,0,3600000000000,ctx,7017600,0,0,0,0,0,0,608,15.604202
34,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,512,0,64,64,2097152,0,3600000000000,heap,7017600,0,0,0,0,0,0,1296,15.604252
34,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,512,0,64,64,2097152,0,3600000000000,usage,7017600,0,0,0,0,0,0,4849664,15.604300
31,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,64,0,64,64,2097152,0,3600000000000,write,7653056,2546998784,1984511,60002,2546998784,214788912,245768192,3600028715408,16.421194
31,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,64,0,64,64,2097152,0,3600000000000,stack,7653056,0,0,0,0,0,0,3296,16.421309
31,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,64,0,64,64,2097152,0,3600000000000,ctx,7653056,0,0,0,0,0,0,608,16.429592
31,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,64,0,64,64,2097152,0,3600000000000,heap,7653056,0,0,0,0,0,0,784,16.429658
31,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,64,0,64,64,2097152,0,3600000000000,usage,7653056,0,0,0,0,0,0,4706304,16.429709
33,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,256,0,64,64,2097152,0,3600000000000,write,7321984,6443467520,1895374,57335,6443467520,205133604,234844160,3600026388908,16.544989
33,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,256,0,64,64,2097152,0,3600000000000,stack,7321984,0,0,0,0,0,0,3296,16.545089
33,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,256,0,64,64,2097152,0,3600000000000,ctx,7321984,0,0,0,0,0,0,608,16.545144
33,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,256,0,64,64,2097152,0,3600000000000,heap,7321984,0,0,0,0,0,0,784,16.545192
33,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,256,0,64,64,2097152,0,3600000000000,usage,7321984,0,0,0,0,0,0,4820992,16.545237
32,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,128,0,64,64,2097152,0,3600000000000,write,7538304,3912987392,1953374,59068,3912987392,211396339,241942528,3600116270601,16.748474
32,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,128,0,64,64,2097152,0,3600000000000,stack,7538304,0,0,0,0,0,0,3296,16.748576
32,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,128,0,64,64,2097152,0,3600000000000,ctx,7538304,0,0,0,0,0,0,608,16.748628
32,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,128,0,64,64,2097152,0,3600000000000,heap,7538304,0,0,0,0,0,0,784,16.748677
32,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,128,0,64,64,2097152,0,3600000000000,usage,7538304,0,0,0,0,0,0,4747264,16.748723
30,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,32,0,64,64,2097152,0,3600000000000,write,7726912,1714593184,2004012,60569,1714593184,216896441,248090624,3600089668539,17.041437
30,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,32,0,64,64,2097152,0,3600000000000,stack,7726912,0,0,0,0,0,0,3296,17.041538
30,bench_p26_wt,bench_p26_wt_random,134217728,42,32768,0,0,0,3,32,0,64,64,2097152,0,3600000000000,ctx,7726912,0,0,0,0,0,0,608,17.041588
