i,suite,case,SIM_TIME,READ_SIZE,DISK_GEOMETRY,SIM_SIZE,FILE_SIZE,DISK_SIZE,SIZE,SKIP_WARMUP,FILE_COUNT,CHUNK,NO_FRUNCATE,FS,NO_SET,SEED,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
25,bench_p26_wt,bench_p26_wt_random,3600000000000,1,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,13064768,0,0,0,0,0,0,5242880,45.064545
29,bench_p26_wt,bench_p26_wt_random,3600000000000,16,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,13699456,109519222,3089322,13992,4193320384,1581732864,1833959424,3600665440576,46.429476
29,bench_p26_wt,bench_p26_wt_random,3600000000000,16,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,13699456,0,0,0,0,0,0,3008,46.429577
29,bench_p26_wt,bench_p26_wt_random,3600000000000,16,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,13699456,0,0,0,0,0,0,512,46.429632
29,bench_p26_wt,bench_p26_wt_random,3600000000000,16,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,13699456,0,0,0,0,0,0,1296,46.429672
29,bench_p26_wt,bench_p26_wt_random,3600000000000,16,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,13699456,0,0,0,0,0,0,5111808,46.429709
31,bench_p26_wt,bench_p26_wt_random,3600000000000,64,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,18072512,95143520,4078510,18471,8782256064,2088197120,2421030912,3600141416256,49.675238
31,bench_p26_wt,bench_p26_wt_random,3600000000000,64,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,18072512,0,0,0,0,0,0,3008,49.675341
31,bench_p26_wt,bench_p26_wt_random,3600000000000,64,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,18072512,0,0,0,0,0,0,512,49.675391
31,bench_p26_wt,bench_p26_wt_random,3600000000000,64,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,18072512,0,0,0,0,0,0,1296,49.675436
