i,suite,case,PROG_SIZE,DISK_GEOMETRY,NO_FRUNCATE,SIM_TIME,SEED,FILE_SIZE,FS,SIZE,CHUNK,SIM_SIZE,NO_SET,DISK_SIZE,SKIP_WARMUP,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
28,bench_p26_wt,bench_p26_wt_random,8,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,14552704,0,0,0,0,0,0,608,32.458093
28,bench_p26_wt,bench_p26_wt_random,8,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,14552704,0,0,0,0,0,0,784,32.458138
28,bench_p26_wt,bench_p26_wt_random,8,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,14552704,0,0,0,0,0,0,4980736,32.458183
27,bench_p26_wt,bench_p26_wt_random,4,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,14676544,86929325,5538787,10537,1995556160,1127459128,1381105664,3600328131304,32.537981
27,bench_p26_wt,bench_p26_wt_random,4,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,14676544,0,0,0,0,0,0,3248,32.538074
27,bench_p26_wt,bench_p26_wt_random,4,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,14676544,0,0,0,0,0,0,608,32.538124
27,bench_p26_wt,bench_p26_wt_random,4,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,14676544,0,0,0,0,0,0,784,32.538174
27,bench_p26_wt,bench_p26_wt_random,4,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,14676544,0,0,0,0,0,0,5767168,32.538215
30,bench_p26_wt,bench_p26_wt_random,32,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,14427968,88031585,5427461,10535,2029544778,1133643456,1380843520,3600361157822,32.804664
30,bench_p26_wt,bench_p26_wt_random,32,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,14427968,0,0,0,0,0,0,3248,32.804759
30,bench_p26_wt,bench_p26_wt_random,32,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,14427968,0,0,0,0,0,0,608,32.804807
30,bench_p26_wt,bench_p26_wt_random,32,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,14427968,0,0,0,0,0,0,784,32.804857
30,bench_p26_wt,bench_p26_wt_random,32,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,14427968,0,0,0,0,0,0,5242880,32.804898
31,bench_p26_wt,bench_p26_wt_random,64,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,14213120,89097537,5316703,10626,2072578056,1148140864,1392771072,3600156439640,32.859267
31,bench_p26_wt,bench_p26_wt_random,64,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,14213120,0,0,0,0,0,0,3200,32.859360
31,bench_p26_wt,bench_p26_wt_random,64,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,14213120,0,0,0,0,0,0,608,32.859408
31,bench_p26_wt,bench_p26_wt_random,64,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,14213120,0,0,0,0,0,0,784,32.859449
31,bench_p26_wt,bench_p26_wt_random,64,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,14213120,0,0,0,0,0,0,5767168,32.859488
32,bench_p26_wt,bench_p26_wt_random,128,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,13177664,93251685,4905568,10368,2161516187,1128477312,1358954496,3600333202689,33.146080
32,bench_p26_wt,bench_p26_wt_random,128,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,13177664,0,0,0,0,0,0,3200,33.146173
32,bench_p26_wt,bench_p26_wt_random,128,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,13177664,0,0,0,0,0,0,608,33.146217
32,bench_p26_wt,bench_p26_wt_random,128,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,13177664,0,0,0,0,0,0,784,33.146255
32,bench_p26_wt,bench_p26_wt_random,128,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,13177664,0,0,0,0,0,0,5242880,33.146292
33,bench_p26_wt,bench_p26_wt_random,256,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,13253440,94341995,4766164,11119,2411808886,1220137984,1457389568,3600271375554,34.636418
33,bench_p26_wt,bench_p26_wt_random,256,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,13253440,0,0,0,0,0,0,3248,34.636519
