i,suite,case,SEED,SIM_TIME,CHUNK,FILE_SIZE,FS,SKIP_WARMUP,NO_SET,FILE_COUNT,DISK_GEOMETRY,SIM_SIZE,SIZE,NO_FRUNCATE,DISK_SIZE,READ_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1,ctx,284971520,0,0,0,0,0,0,400,5.451160
12,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1,heap,284971520,0,0,0,0,0,0,784,5.451180
12,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1,usage,284971520,0,0,0,0,0,0,1880064,5.451199
24,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,4096,write,283565248,729432064,1109843,69366,729432064,284118604,284123136,3600031568036,2.037611
24,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,4096,stack,283565248,0,0,0,0,0,0,1904,2.037680
24,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,4096,ctx,283565248,0,0,0,0,0,0,400,2.037711
24,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,4096,heap,283565248,0,0,0,0,0,0,12304,2.037737
24,bench_p26_wt,bench_p26_wt_linear,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,4096,usage,283565248,0,0,0,0,0,0,471040,2.037760
36,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2048,write,17984,2273458176,1090952,68351,2273458176,279245727,279965696,3608467573965,27.120245
36,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2048,stack,17984,0,0,0,0,0,0,1984,27.120372
36,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2048,ctx,17984,0,0,0,0,0,0,384,27.120431
36,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2048,heap,17984,0,0,0,0,0,0,6160,27.120481
36,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,2048,usage,17984,0,0,0,0,0,0,2101248,27.120529
35,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1024,write,18176,1434416128,1105693,69274,1434416128,283019030,283746304,3622409631138,27.467166
35,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1024,stack,18176,0,0,0,0,0,0,1984,27.467270
35,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1024,ctx,18176,0,0,0,0,0,0,384,27.467327
35,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1024,heap,18176,0,0,0,0,0,0,3088,27.467375
35,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1024,usage,18176,0,0,0,0,0,0,2101248,27.467422
34,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,512,write,18176,1000103424,1105693,69274,1000103424,283019030,283746304,3605037122978,27.651273
34,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,512,stack,18176,0,0,0,0,0,0,1984,27.651374
34,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,512,ctx,18176,0,0,0,0,0,0,384,27.651432
34,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,512,heap,18176,0,0,0,0,0,0,1552,27.651480
34,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,512,usage,18176,0,0,0,0,0,0,2101248,27.651526
29,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,16,write,18368,593007680,1117250,69998,593007680,285977229,286711808,3626012805239,27.830057
29,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,16,stack,18368,0,0,0,0,0,0,1984,27.830159
29,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,16,ctx,18368,0,0,0,0,0,0,384,27.830214
29,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,16,heap,18368,0,0,0,0,0,0,784,27.830261
29,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,16,usage,18368,0,0,0,0,0,0,2101248,27.830307
25,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1,write,18368,574935784,1117250,69998,574935784,285977229,286711808,3625289929399,27.888066
25,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1,stack,18368,0,0,0,0,0,0,1984,27.888150
25,bench_p26_wt,bench_p26_wt_random,42,3600000000000,64,64,2,0,0,32768,0,0,2097152,0,134217728,1,ctx,18368,0,0,0,0,0,0,384,27.888201
