i,suite,case,FS,CHUNK,FILE_SIZE,FILE_COUNT,SKIP_WARMUP,SEED,NO_FRUNCATE,SIM_SIZE,NO_SET,SIM_TIME,SIZE,DISK_SIZE,DISK_GEOMETRY,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
30,bench_p26_wt,bench_p26_wt_random,33,64,64,64,0,42,0,0,1,3600000000000,4096,134217728,0,usage,14376128,0,0,0,0,0,0,32768,9.946618
31,bench_p26_wt,bench_p26_wt_random,33,64,64,128,0,42,0,0,1,3600000000000,8192,134217728,0,write,12166272,426889892,1678395,64616,426889892,196641469,264667136,3600017774247,12.046679
31,bench_p26_wt,bench_p26_wt_random,33,64,64,128,0,42,0,0,1,3600000000000,8192,134217728,0,stack,12166272,0,0,0,0,0,0,3248,12.046810
31,bench_p26_wt,bench_p26_wt_random,33,64,64,128,0,42,0,0,1,3600000000000,8192,134217728,0,ctx,12166272,0,0,0,0,0,0,608,12.046866
31,bench_p26_wt,bench_p26_wt_random,33,64,64,128,0,42,0,0,1,3600000000000,8192,134217728,0,heap,12166272,0,0,0,0,0,0,784,12.046914
31,bench_p26_wt,bench_p26_wt_random,33,64,64,128,0,42,0,0,1,3600000000000,8192,134217728,0,usage,12166272,0,0,0,0,0,0,45056,12.046956
32,bench_p26_wt,bench_p26_wt_random,33,64,64,256,0,42,0,0,1,3600000000000,16384,134217728,0,write,10576960,550103759,1881526,62698,550103759,205692218,256811008,3600089271718,13.747905
32,bench_p26_wt,bench_p26_wt_random,33,64,64,256,0,42,0,0,1,3600000000000,16384,134217728,0,stack,10576960,0,0,0,0,0,0,3248,13.748023
32,bench_p26_wt,bench_p26_wt_random,33,64,64,256,0,42,0,0,1,3600000000000,16384,134217728,0,ctx,10576960,0,0,0,0,0,0,608,13.748080
32,bench_p26_wt,bench_p26_wt_random,33,64,64,256,0,42,0,0,1,3600000000000,16384,134217728,0,heap,10576960,0,0,0,0,0,0,784,13.748129
32,bench_p26_wt,bench_p26_wt_random,33,64,64,256,0,42,0,0,1,3600000000000,16384,134217728,0,usage,10576960,0,0,0,0,0,0,57344,13.748177
33,bench_p26_wt,bench_p26_wt_random,33,64,64,512,0,42,0,0,1,3600000000000,32768,134217728,0,write,10080256,593962333,1924312,62276,593962333,212310687,255082496,3600099809365,14.426876
33,bench_p26_wt,bench_p26_wt_random,33,64,64,512,0,42,0,0,1,3600000000000,32768,134217728,0,stack,10080256,0,0,0,0,0,0,3248,14.426981
33,bench_p26_wt,bench_p26_wt_random,33,64,64,512,0,42,0,0,1,3600000000000,32768,134217728,0,ctx,10080256,0,0,0,0,0,0,608,14.427035
33,bench_p26_wt,bench_p26_wt_random,33,64,64,512,0,42,0,0,1,3600000000000,32768,134217728,0,heap,10080256,0,0,0,0,0,0,784,14.427081
33,bench_p26_wt,bench_p26_wt_random,33,64,64,512,0,42,0,0,1,3600000000000,32768,134217728,0,usage,10080256,0,0,0,0,0,0,94208,14.427126
35,bench_p26_wt,bench_p26_wt_random,33,64,64,2048,0,42,0,0,1,3600000000000,131072,134217728,0,write,9659648,629397549,1934821,62149,629397549,218528235,254562304,3600125467257,14.516029
35,bench_p26_wt,bench_p26_wt_random,33,64,64,2048,0,42,0,0,1,3600000000000,131072,134217728,0,stack,9659648,0,0,0,0,0,0,3296,14.516127
35,bench_p26_wt,bench_p26_wt_random,33,64,64,2048,0,42,0,0,1,3600000000000,131072,134217728,0,ctx,9659648,0,0,0,0,0,0,608,14.516195
35,bench_p26_wt,bench_p26_wt_random,33,64,64,2048,0,42,0,0,1,3600000000000,131072,134217728,0,heap,9659648,0,0,0,0,0,0,784,14.516253
35,bench_p26_wt,bench_p26_wt_random,33,64,64,2048,0,42,0,0,1,3600000000000,131072,134217728,0,usage,9659648,0,0,0,0,0,0,327680,14.516299
34,bench_p26_wt,bench_p26_wt_random,33,64,64,1024,0,42,0,0,1,3600000000000,65536,134217728,0,write,9716608,637871473,1922243,62253,637871473,216630970,254988288,3600075426422,15.320235
34,bench_p26_wt,bench_p26_wt_random,33,64,64,1024,0,42,0,0,1,3600000000000,65536,134217728,0,stack,9716608,0,0,0,0,0,0,3296,15.320344
34,bench_p26_wt,bench_p26_wt_random,33,64,64,1024,0,42,0,0,1,3600000000000,65536,134217728,0,ctx,9716608,0,0,0,0,0,0,608,15.320399
34,bench_p26_wt,bench_p26_wt_random,33,64,64,1024,0,42,0,0,1,3600000000000,65536,134217728,0,heap,9716608,0,0,0,0,0,0,784,15.320448
34,bench_p26_wt,bench_p26_wt_random,33,64,64,1024,0,42,0,0,1,3600000000000,65536,134217728,0,usage,9716608,0,0,0,0,0,0,176128,15.320494
36,bench_p26_wt,bench_p26_wt_random,33,64,64,4096,0,42,0,0,1,3600000000000,262144,134217728,0,write,9233024,692168565,1903950,62366,692168565,221586297,255451136,3600106767939,15.608865
36,bench_p26_wt,bench_p26_wt_random,33,64,64,4096,0,42,0,0,1,3600000000000,262144,134217728,0,stack,9233024,0,0,0,0,0,0,3248,15.608966
