i,suite,case,SIZE,FS,DISK_GEOMETRY,SEED,DISK_SIZE,SIM_SIZE,SIM_TIME,FILE_SIZE,NO_FRUNCATE,FILE_COUNT,CHUNK,NO_SET,SKIP_WARMUP,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
25,bench_p26_wt,bench_p26_wt_linear,8388608,32,1,42,134217728,0,3600000000000,64,1,131072,64,0,0,stack,4216166464,0,0,0,0,0,0,3312,47.600223
25,bench_p26_wt,bench_p26_wt_linear,8388608,32,1,42,134217728,0,3600000000000,64,1,131072,64,0,0,ctx,4216166464,0,0,0,0,0,0,624,47.600256
25,bench_p26_wt,bench_p26_wt_linear,8388608,32,1,42,134217728,0,3600000000000,64,1,131072,64,0,0,heap,4216166464,0,0,0,0,0,0,1296,47.600283
25,bench_p26_wt,bench_p26_wt_linear,8388608,32,1,42,134217728,0,3600000000000,64,1,131072,64,0,0,usage,4216166464,0,0,0,0,0,0,5767168,47.600308
24,bench_p26_wt,bench_p26_wt_linear,4194304,32,1,42,134217728,0,3600000000000,64,1,65536,64,0,0,write,4499331648,32111692,10433471,40776,1173730449,5341937152,5344591872,3600008835267,46.548577
24,bench_p26_wt,bench_p26_wt_linear,4194304,32,1,42,134217728,0,3600000000000,64,1,65536,64,0,0,stack,4499331648,0,0,0,0,0,0,3312,46.548651
24,bench_p26_wt,bench_p26_wt_linear,4194304,32,1,42,134217728,0,3600000000000,64,1,65536,64,0,0,ctx,4499331648,0,0,0,0,0,0,624,46.548683
24,bench_p26_wt,bench_p26_wt_linear,4194304,32,1,42,134217728,0,3600000000000,64,1,65536,64,0,0,heap,4499331648,0,0,0,0,0,0,1296,46.548709
24,bench_p26_wt,bench_p26_wt_linear,4194304,32,1,42,134217728,0,3600000000000,64,1,65536,64,0,0,usage,4499331648,0,0,0,0,0,0,3801088,46.548732
38,bench_p26_wt,bench_p26_wt_random,1048576,32,1,42,134217728,0,3600000000000,64,1,16384,64,0,0,write,16735744,111697230,2980261,14899,2770021903,1525893632,1952841728,3600622237981,41.612015
38,bench_p26_wt,bench_p26_wt_random,1048576,32,1,42,134217728,0,3600000000000,64,1,16384,64,0,0,stack,16735744,0,0,0,0,0,0,3280,41.612184
38,bench_p26_wt,bench_p26_wt_random,1048576,32,1,42,134217728,0,3600000000000,64,1,16384,64,0,0,ctx,16735744,0,0,0,0,0,0,608,41.612244
38,bench_p26_wt,bench_p26_wt_random,1048576,32,1,42,134217728,0,3600000000000,64,1,16384,64,0,0,heap,16735744,0,0,0,0,0,0,1296,41.612295
38,bench_p26_wt,bench_p26_wt_random,1048576,32,1,42,134217728,0,3600000000000,64,1,16384,64,0,0,usage,16735744,0,0,0,0,0,0,2883584,41.612343
39,bench_p26_wt,bench_p26_wt_random,2097152,32,1,42,134217728,0,3600000000000,64,1,32768,64,0,0,write,13076096,111871247,2948980,13361,3107402239,1509877760,1751252992,3600165228013,45.053337
39,bench_p26_wt,bench_p26_wt_random,2097152,32,1,42,134217728,0,3600000000000,64,1,32768,64,0,0,stack,13076096,0,0,0,0,0,0,3120,45.053443
39,bench_p26_wt,bench_p26_wt_random,2097152,32,1,42,134217728,0,3600000000000,64,1,32768,64,0,0,ctx,13076096,0,0,0,0,0,0,608,45.053496
39,bench_p26_wt,bench_p26_wt_random,2097152,32,1,42,134217728,0,3600000000000,64,1,32768,64,0,0,heap,13076096,0,0,0,0,0,0,1296,45.053543
