i,suite,case,FS,SIM_SIZE,SIM_TIME,SEED,SIZE,DISK_SIZE,SKIP_WARMUP,FILE_COUNT,NO_FRUNCATE,FILE_SIZE,DISK_GEOMETRY,CHUNK,NO_SET,CRYSTAL_THRESH,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
26,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,16777216,134217728,0,262144,0,64,0,64,0,-1,write,39317568,754086161,1632097,64735,754086161,205284111,265154560,3600099549125,16.792375
26,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,16777216,134217728,0,262144,0,64,0,64,0,-1,stack,39317568,0,0,0,0,0,0,3328,16.792453
26,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,16777216,134217728,0,262144,0,64,0,64,0,-1,ctx,39317568,0,0,0,0,0,0,624,16.792492
26,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,16777216,134217728,0,262144,0,64,0,64,0,-1,heap,39317568,0,0,0,0,0,0,784,16.792524
26,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,16777216,134217728,0,262144,0,64,0,64,0,-1,usage,39317568,0,0,0,0,0,0,14594048,16.792554
24,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,4194304,134217728,0,65536,0,64,0,64,0,-1,write,44161856,662021854,1545796,65772,662021854,204626395,269402112,3608536639985,15.154280
24,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,4194304,134217728,0,65536,0,64,0,64,0,-1,stack,44161856,0,0,0,0,0,0,3328,15.154364
24,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,4194304,134217728,0,65536,0,64,0,64,0,-1,ctx,44161856,0,0,0,0,0,0,624,15.154405
24,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,4194304,134217728,0,65536,0,64,0,64,0,-1,heap,44161856,0,0,0,0,0,0,784,15.154439
24,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,4194304,134217728,0,65536,0,64,0,64,0,-1,usage,44161856,0,0,0,0,0,0,5971968,15.154470
27,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,33554432,134217728,0,524288,0,64,0,64,0,-1,write,35939392,1259664363,1687195,63794,1259664363,205342258,261300224,3600026299246,19.101934
27,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,33554432,134217728,0,524288,0,64,0,64,0,-1,stack,35939392,0,0,0,0,0,0,3328,19.101996
27,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,33554432,134217728,0,524288,0,64,0,64,0,-1,ctx,35939392,0,0,0,0,0,0,624,19.102030
27,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,33554432,134217728,0,524288,0,64,0,64,0,-1,heap,35939392,0,0,0,0,0,0,784,19.102055
27,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,33554432,134217728,0,524288,0,64,0,64,0,-1,usage,35939392,0,0,0,0,0,0,8429568,19.102078
28,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,1024,134217728,0,16,0,64,0,64,0,-1,write,31603968,368332728,1937644,62342,368332728,245154558,255352832,3600003076506,28.620983
28,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,1024,134217728,0,16,0,64,0,64,0,-1,stack,31603968,0,0,0,0,0,0,3312,28.621136
28,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,1024,134217728,0,16,0,64,0,64,0,-1,ctx,31603968,0,0,0,0,0,0,608,28.621197
28,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,1024,134217728,0,16,0,64,0,64,0,-1,heap,31603968,0,0,0,0,0,0,784,28.621247
28,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,1024,134217728,0,16,0,64,0,64,0,-1,usage,31603968,0,0,0,0,0,0,24576,28.621295
29,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,2048,134217728,0,32,0,64,0,64,0,-1,write,23378368,574123872,2130019,60453,574123872,234507394,247615488,3600004588966,30.792609
29,bench_p26_wt,bench_p26_wt_random,31,0,3600000000000,42,2048,134217728,0,32,0,64,0,64,0,-1,stack,23378368,0,0,0,0,0,0,3312,30.792732
