i,suite,case,FS,SIM_SIZE,SKIP_WARMUP,DISK_SIZE,FILE_SIZE,CHUNK,DISK_GEOMETRY,SIM_TIME,SIZE,SEED,NO_SET,NO_FRUNCATE,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
22,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,1048576,42,0,0,16384,ctx,284487104,0,0,0,0,0,0,400,6.469690
22,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,1048576,42,0,0,16384,heap,284487104,0,0,0,0,0,0,784,6.469744
22,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,1048576,42,0,0,16384,usage,284487104,0,0,0,0,0,0,344064,6.469793
14,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,4096,42,0,0,64,write,285528384,286198794,1115348,69710,286198794,285528460,285532160,3600011266804,6.918726
14,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,4096,42,0,0,64,stack,285528384,0,0,0,0,0,0,2000,6.918830
14,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,4096,42,0,0,64,ctx,285528384,0,0,0,0,0,0,400,6.918871
14,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,4096,42,0,0,64,heap,285528384,0,0,0,0,0,0,784,6.918904
14,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,4096,42,0,0,64,usage,285528384,0,0,0,0,0,0,20480,6.918934
24,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,4194304,42,0,0,65536,write,284967424,287597542,1115331,69709,287597542,285524068,285528064,3600015332444,3.967833
24,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,4194304,42,0,0,65536,stack,284967424,0,0,0,0,0,0,2000,3.967917
24,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,4194304,42,0,0,65536,ctx,284967424,0,0,0,0,0,0,400,3.967960
24,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,4194304,42,0,0,65536,heap,284967424,0,0,0,0,0,0,784,3.967994
24,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,4194304,42,0,0,65536,usage,284967424,0,0,0,0,0,0,3977216,3.968025
25,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,8388608,42,0,0,131072,write,284844800,288597366,1114884,69712,288597366,285402008,285540352,3600009145016,3.165359
25,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,8388608,42,0,0,131072,stack,284844800,0,0,0,0,0,0,2000,3.165510
25,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,8388608,42,0,0,131072,ctx,284844800,0,0,0,0,0,0,400,3.165550
25,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,8388608,42,0,0,131072,heap,284844800,0,0,0,0,0,0,784,3.165582
