i,suite,case,NO_SET,SIZE,FILE_COUNT,FS,DISK_SIZE,NO_FRUNCATE,DISK_GEOMETRY,SEED,SIM_SIZE,SKIP_WARMUP,SIM_TIME,CHUNK,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
29,bench_p26_wt,bench_p26_wt_random,0,2048,32,2,134217728,0,1,42,0,0,3600000000000,64,64,write,63257920,11203876,4939587,987922,5267552523,2529068544,129488912384,3600001392081,171.583612
29,bench_p26_wt,bench_p26_wt_random,0,2048,32,2,134217728,0,1,42,0,0,3600000000000,64,64,stack,63257920,0,0,0,0,0,0,1840,171.583750
29,bench_p26_wt,bench_p26_wt_random,0,2048,32,2,134217728,0,1,42,0,0,3600000000000,64,64,ctx,63257920,0,0,0,0,0,0,384,171.583808
29,bench_p26_wt,bench_p26_wt_random,0,2048,32,2,134217728,0,1,42,0,0,3600000000000,64,64,heap,63257920,0,0,0,0,0,0,1552,171.583859
29,bench_p26_wt,bench_p26_wt_random,0,2048,32,2,134217728,0,1,42,0,0,3600000000000,64,64,usage,63257920,0,0,0,0,0,0,393216,171.583907
30,bench_p26_wt,bench_p26_wt_random,0,4096,64,2,134217728,0,1,42,0,0,3600000000000,64,64,write,46493760,14047049,6536404,726287,6847340824,3346638848,95195889664,3600003992776,246.524255
30,bench_p26_wt,bench_p26_wt_random,0,4096,64,2,134217728,0,1,42,0,0,3600000000000,64,64,stack,46493760,0,0,0,0,0,0,1840,246.524376
30,bench_p26_wt,bench_p26_wt_random,0,4096,64,2,134217728,0,1,42,0,0,3600000000000,64,64,ctx,46493760,0,0,0,0,0,0,384,246.524432
30,bench_p26_wt,bench_p26_wt_random,0,4096,64,2,134217728,0,1,42,0,0,3600000000000,64,64,heap,46493760,0,0,0,0,0,0,1552,246.524495
30,bench_p26_wt,bench_p26_wt_random,0,4096,64,2,134217728,0,1,42,0,0,3600000000000,64,64,usage,46493760,0,0,0,0,0,0,393216,246.524544
31,bench_p26_wt,bench_p26_wt_random,0,8192,128,2,134217728,0,1,42,0,0,3600000000000,64,64,write,30390080,16779488,8071337,474799,8365767627,4132524544,62232854528,3600005043729,317.527520
31,bench_p26_wt,bench_p26_wt_random,0,8192,128,2,134217728,0,1,42,0,0,3600000000000,64,64,stack,30390080,0,0,0,0,0,0,1840,317.527653
31,bench_p26_wt,bench_p26_wt_random,0,8192,128,2,134217728,0,1,42,0,0,3600000000000,64,64,ctx,30390080,0,0,0,0,0,0,384,317.527710
