i,suite,case,SEED,FILE_COUNT,FILE_SIZE,SIZE,DISK_SIZE,DISK_GEOMETRY,SIM_TIME,SIM_SIZE,NO_SET,SKIP_WARMUP,NO_FRUNCATE,FS,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
32,bench_p26_wt,bench_p26_wt_random,42,256,64,16384,134217728,0,3600000000000,0,0,0,0,3,64,stack,10576960,0,0,0,0,0,0,3248,13.653105
32,bench_p26_wt,bench_p26_wt_random,42,256,64,16384,134217728,0,3600000000000,0,0,0,0,3,64,ctx,10576960,0,0,0,0,0,0,608,13.653162
32,bench_p26_wt,bench_p26_wt_random,42,256,64,16384,134217728,0,3600000000000,0,0,0,0,3,64,heap,10576960,0,0,0,0,0,0,784,13.653210
32,bench_p26_wt,bench_p26_wt_random,42,256,64,16384,134217728,0,3600000000000,0,0,0,0,3,64,usage,10576960,0,0,0,0,0,0,57344,13.653255
35,bench_p26_wt,bench_p26_wt_random,42,2048,64,131072,134217728,0,3600000000000,0,0,0,0,3,64,write,9659648,629397549,1934821,62149,629397549,218528235,254562304,3600125467257,14.426120
35,bench_p26_wt,bench_p26_wt_random,42,2048,64,131072,134217728,0,3600000000000,0,0,0,0,3,64,stack,9659648,0,0,0,0,0,0,3296,14.426234
35,bench_p26_wt,bench_p26_wt_random,42,2048,64,131072,134217728,0,3600000000000,0,0,0,0,3,64,ctx,9659648,0,0,0,0,0,0,608,14.426288
35,bench_p26_wt,bench_p26_wt_random,42,2048,64,131072,134217728,0,3600000000000,0,0,0,0,3,64,heap,9659648,0,0,0,0,0,0,784,14.426334
35,bench_p26_wt,bench_p26_wt_random,42,2048,64,131072,134217728,0,3600000000000,0,0,0,0,3,64,usage,9659648,0,0,0,0,0,0,327680,14.426379
33,bench_p26_wt,bench_p26_wt_random,42,512,64,32768,134217728,0,3600000000000,0,0,0,0,3,64,write,10080256,593962333,1924312,62276,593962333,212310687,255082496,3600099809365,14.446261
33,bench_p26_wt,bench_p26_wt_random,42,512,64,32768,134217728,0,3600000000000,0,0,0,0,3,64,stack,10080256,0,0,0,0,0,0,3248,14.446351
33,bench_p26_wt,bench_p26_wt_random,42,512,64,32768,134217728,0,3600000000000,0,0,0,0,3,64,ctx,10080256,0,0,0,0,0,0,608,14.446414
33,bench_p26_wt,bench_p26_wt_random,42,512,64,32768,134217728,0,3600000000000,0,0,0,0,3,64,heap,10080256,0,0,0,0,0,0,784,14.446458
33,bench_p26_wt,bench_p26_wt_random,42,512,64,32768,134217728,0,3600000000000,0,0,0,0,3,64,usage,10080256,0,0,0,0,0,0,94208,14.446499
36,bench_p26_wt,bench_p26_wt_random,42,4096,64,262144,134217728,0,3600000000000,0,0,0,0,3,64,write,9233024,692168565,1903950,62366,692168565,221586297,255451136,3600106767939,14.812402
36,bench_p26_wt,bench_p26_wt_random,42,4096,64,262144,134217728,0,3600000000000,0,0,0,0,3,64,stack,9233024,0,0,0,0,0,0,3248,14.812508
36,bench_p26_wt,bench_p26_wt_random,42,4096,64,262144,134217728,0,3600000000000,0,0,0,0,3,64,ctx,9233024,0,0,0,0,0,0,608,14.820891
36,bench_p26_wt,bench_p26_wt_random,42,4096,64,262144,134217728,0,3600000000000,0,0,0,0,3,64,heap,9233024,0,0,0,0,0,0,784,14.820962
36,bench_p26_wt,bench_p26_wt_random,42,4096,64,262144,134217728,0,3600000000000,0,0,0,0,3,64,usage,9233024,0,0,0,0,0,0,618496,14.821016
34,bench_p26_wt,bench_p26_wt_random,42,1024,64,65536,134217728,0,3600000000000,0,0,0,0,3,64,write,9716608,637871473,1922243,62253,637871473,216630970,254988288,3600075426422,14.934858
34,bench_p26_wt,bench_p26_wt_random,42,1024,64,65536,134217728,0,3600000000000,0,0,0,0,3,64,stack,9716608,0,0,0,0,0,0,3296,14.934959
34,bench_p26_wt,bench_p26_wt_random,42,1024,64,65536,134217728,0,3600000000000,0,0,0,0,3,64,ctx,9716608,0,0,0,0,0,0,608,14.935012
34,bench_p26_wt,bench_p26_wt_random,42,1024,64,65536,134217728,0,3600000000000,0,0,0,0,3,64,heap,9716608,0,0,0,0,0,0,784,14.935061
34,bench_p26_wt,bench_p26_wt_random,42,1024,64,65536,134217728,0,3600000000000,0,0,0,0,3,64,usage,9716608,0,0,0,0,0,0,176128,14.935109
37,bench_p26_wt,bench_p26_wt_random,42,8192,64,524288,134217728,0,3600000000000,0,0,0,0,3,64,write,8084672,789558091,2074771,60762,789558091,218016649,248881152,3600106946531,16.157218
37,bench_p26_wt,bench_p26_wt_random,42,8192,64,524288,134217728,0,3600000000000,0,0,0,0,3,64,stack,8084672,0,0,0,0,0,0,3248,16.157324
37,bench_p26_wt,bench_p26_wt_random,42,8192,64,524288,134217728,0,3600000000000,0,0,0,0,3,64,ctx,8084672,0,0,0,0,0,0,608,16.157374
37,bench_p26_wt,bench_p26_wt_random,42,8192,64,524288,134217728,0,3600000000000,0,0,0,0,3,64,heap,8084672,0,0,0,0,0,0,784,16.157418
