i,suite,case,NO_FRUNCATE,SEED,DISK_GEOMETRY,SIM_TIME,CHUNK,NO_SET,FILE_SIZE,SKIP_WARMUP,SIM_SIZE,SIZE,FS,CRYSTAL_THRESH,DISK_SIZE,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
27,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,33554432,31,-1,134217728,524288,heap,256251456,0,0,0,0,0,0,1296,30.829500
27,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,33554432,31,-1,134217728,524288,usage,256251456,0,0,0,0,0,0,65798144,30.829534
26,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,16777216,31,-1,134217728,262144,write,319194688,108547288,3214084,17467,3359935919,1645611008,2289434624,3600163232765,33.058182
26,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,16777216,31,-1,134217728,262144,stack,319194688,0,0,0,0,0,0,3328,33.058264
26,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,16777216,31,-1,134217728,262144,ctx,319194688,0,0,0,0,0,0,624,33.058300
26,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,16777216,31,-1,134217728,262144,heap,319194688,0,0,0,0,0,0,1296,33.058331
26,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,16777216,31,-1,134217728,262144,usage,319194688,0,0,0,0,0,0,1966080,33.058368
25,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,8388608,31,-1,134217728,131072,write,376739392,102331567,3757581,20457,3658439578,1923881472,2681339904,3600038947438,34.339940
25,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,8388608,31,-1,134217728,131072,stack,376739392,0,0,0,0,0,0,3328,34.340019
25,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,8388608,31,-1,134217728,131072,ctx,376739392,0,0,0,0,0,0,624,34.340051
25,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,8388608,31,-1,134217728,131072,heap,376739392,0,0,0,0,0,0,1296,34.340079
25,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,8388608,31,-1,134217728,131072,usage,376739392,0,0,0,0,0,0,23855104,34.340104
24,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,4194304,31,-1,134217728,65536,write,411383360,98834003,4064563,22122,3822645934,2081056256,2899574784,3600163874026,34.645050
24,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,4194304,31,-1,134217728,65536,stack,411383360,0,0,0,0,0,0,3328,34.645115
24,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,4194304,31,-1,134217728,65536,ctx,411383360,0,0,0,0,0,0,624,34.645146
24,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,4194304,31,-1,134217728,65536,heap,411383360,0,0,0,0,0,0,1296,34.645171
24,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,4194304,31,-1,134217728,65536,usage,411383360,0,0,0,0,0,0,1703936,34.645193
39,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,2097152,31,-1,134217728,32768,write,41500352,113761665,2768275,10874,3387068536,1417356800,1425276928,3600140032744,57.495708
39,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,2097152,31,-1,134217728,32768,stack,41500352,0,0,0,0,0,0,3312,57.495829
39,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,2097152,31,-1,134217728,32768,ctx,41500352,0,0,0,0,0,0,608,57.495883
39,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,2097152,31,-1,134217728,32768,heap,41500352,0,0,0,0,0,0,1296,57.495927
39,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,2097152,31,-1,134217728,32768,usage,41500352,0,0,0,0,0,0,8126464,57.495970
33,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,32768,31,-1,134217728,512,write,82888320,102951941,3781511,14818,3114550700,1936133632,1942224896,3600076490180,64.556439
33,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,32768,31,-1,134217728,512,stack,82888320,0,0,0,0,0,0,3312,64.556549
33,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,32768,31,-1,134217728,512,ctx,82888320,0,0,0,0,0,0,608,64.556600
33,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,32768,31,-1,134217728,512,heap,82888320,0,0,0,0,0,0,1296,64.556644
33,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,32768,31,-1,134217728,512,usage,82888320,0,0,0,0,0,0,786432,64.556686
38,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,1048576,31,-1,134217728,16384,write,44928128,110756662,3033520,11898,3540451995,1553162240,1559494656,3600069988737,66.735260
38,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,1048576,31,-1,134217728,16384,stack,44928128,0,0,0,0,0,0,3312,66.735362
38,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,1048576,31,-1,134217728,16384,ctx,44928128,0,0,0,0,0,0,608,66.735411
38,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,1048576,31,-1,134217728,16384,heap,44928128,0,0,0,0,0,0,1296,66.735457
38,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,1048576,31,-1,134217728,16384,usage,44928128,0,0,0,0,0,0,4325376,66.735499
29,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,2048,31,-1,134217728,32,write,193638656,81167426,5745834,22545,3651590219,2941867008,2955018240,3600002722193,67.855570
29,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,2048,31,-1,134217728,32,stack,193638656,0,0,0,0,0,0,3312,67.855687
29,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,2048,31,-1,134217728,32,ctx,193638656,0,0,0,0,0,0,608,67.855735
29,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,2048,31,-1,134217728,32,heap,193638656,0,0,0,0,0,0,1296,67.855778
29,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,2048,31,-1,134217728,32,usage,193638656,0,0,0,0,0,0,655360,67.855819
36,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,262144,31,-1,134217728,4096,write,46965760,107154244,3350801,13137,3733693298,1715610112,1721892864,3600005592950,67.947239
36,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,262144,31,-1,134217728,4096,stack,46965760,0,0,0,0,0,0,3312,67.947336
36,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,262144,31,-1,134217728,4096,ctx,46965760,0,0,0,0,0,0,608,67.947384
36,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,262144,31,-1,134217728,4096,heap,46965760,0,0,0,0,0,0,1296,67.947427
36,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,262144,31,-1,134217728,4096,usage,46965760,0,0,0,0,0,0,1310720,67.947468
32,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,16384,31,-1,134217728,256,write,111162624,98254164,4210886,16510,3145764478,2155973632,2163998720,3600002471770,68.768537
32,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,16384,31,-1,134217728,256,stack,111162624,0,0,0,0,0,0,3312,68.768643
32,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,16384,31,-1,134217728,256,ctx,111162624,0,0,0,0,0,0,608,68.768705
32,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,16384,31,-1,134217728,256,heap,111162624,0,0,0,0,0,0,1296,68.768750
32,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,16384,31,-1,134217728,256,usage,111162624,0,0,0,0,0,0,786432,68.768796
35,bench_p26_wt,bench_p26_wt_random,0,42,1,3600000000000,64,0,64,0,0,131072,31,-1,134217728,2048,write,49392512,105323304,3511592,13762,3842657403,1797935104,1803812864,3600046300449,69.019084
