i,suite,case,SIZE,FS,SEED,SKIP_WARMUP,FILE_SIZE,NO_SET,DISK_SIZE,FILE_COUNT,SIM_TIME,NO_FRUNCATE,SIM_SIZE,DISK_GEOMETRY,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
22,bench_p26_wt,bench_p26_wt_linear,1048576,33,42,0,64,1,134217728,16384,3600000000000,0,0,1,64,ctx,4744857152,0,0,0,0,0,0,624,97.397964
22,bench_p26_wt,bench_p26_wt_linear,1048576,33,42,0,64,1,134217728,16384,3600000000000,0,0,1,64,heap,4744857152,0,0,0,0,0,0,1296,97.398002
22,bench_p26_wt,bench_p26_wt_linear,1048576,33,42,0,64,1,134217728,16384,3600000000000,0,0,1,64,usage,4744857152,0,0,0,0,0,0,786432,97.398039
27,bench_p26_wt,bench_p26_wt_linear,33554432,33,42,0,64,1,134217728,524288,3600000000000,0,0,1,64,write,2885291584,72007525,6752492,26383,1353144344,3457275904,3458072576,3600076648904,47.784174
27,bench_p26_wt,bench_p26_wt_linear,33554432,33,42,0,64,1,134217728,524288,3600000000000,0,0,1,64,stack,2885291584,0,0,0,0,0,0,3312,47.784261
27,bench_p26_wt,bench_p26_wt_linear,33554432,33,42,0,64,1,134217728,524288,3600000000000,0,0,1,64,ctx,2885291584,0,0,0,0,0,0,624,47.784300
27,bench_p26_wt,bench_p26_wt_linear,33554432,33,42,0,64,1,134217728,524288,3600000000000,0,0,1,64,heap,2885291584,0,0,0,0,0,0,1296,47.784332
27,bench_p26_wt,bench_p26_wt_linear,33554432,33,42,0,64,1,134217728,524288,3600000000000,0,0,1,64,usage,2885291584,0,0,0,0,0,0,33816576,47.784361
26,bench_p26_wt,bench_p26_wt_linear,16777216,33,42,0,64,1,134217728,262144,3600000000000,0,0,1,64,write,3784838208,49749771,8806038,34406,1252642197,4508691456,4509663232,3600002090511,45.246384
26,bench_p26_wt,bench_p26_wt_linear,16777216,33,42,0,64,1,134217728,262144,3600000000000,0,0,1,64,stack,3784838208,0,0,0,0,0,0,3312,45.246470
26,bench_p26_wt,bench_p26_wt_linear,16777216,33,42,0,64,1,134217728,262144,3600000000000,0,0,1,64,ctx,3784838208,0,0,0,0,0,0,624,45.246512
26,bench_p26_wt,bench_p26_wt_linear,16777216,33,42,0,64,1,134217728,262144,3600000000000,0,0,1,64,heap,3784838208,0,0,0,0,0,0,1296,45.246549
26,bench_p26_wt,bench_p26_wt_linear,16777216,33,42,0,64,1,134217728,262144,3600000000000,0,0,1,64,usage,3784838208,0,0,0,0,0,0,10616832,45.246585
25,bench_p26_wt,bench_p26_wt_linear,8388608,33,42,0,64,1,134217728,131072,3600000000000,0,0,1,64,write,4216166464,39168602,9782660,38222,1201683074,5008721920,5009833984,3600009064358,46.249403
25,bench_p26_wt,bench_p26_wt_linear,8388608,33,42,0,64,1,134217728,131072,3600000000000,0,0,1,64,stack,4216166464,0,0,0,0,0,0,3312,46.249487
25,bench_p26_wt,bench_p26_wt_linear,8388608,33,42,0,64,1,134217728,131072,3600000000000,0,0,1,64,ctx,4216166464,0,0,0,0,0,0,624,46.249520
25,bench_p26_wt,bench_p26_wt_linear,8388608,33,42,0,64,1,134217728,131072,3600000000000,0,0,1,64,heap,4216166464,0,0,0,0,0,0,1296,46.249547
25,bench_p26_wt,bench_p26_wt_linear,8388608,33,42,0,64,1,134217728,131072,3600000000000,0,0,1,64,usage,4216166464,0,0,0,0,0,0,5767168,46.249571
24,bench_p26_wt,bench_p26_wt_linear,4194304,33,42,0,64,1,134217728,65536,3600000000000,0,0,1,64,write,4499331648,32111692,10433471,40776,1173730449,5341937152,5344591872,3600008835267,47.650438
24,bench_p26_wt,bench_p26_wt_linear,4194304,33,42,0,64,1,134217728,65536,3600000000000,0,0,1,64,stack,4499331648,0,0,0,0,0,0,3312,47.650506
24,bench_p26_wt,bench_p26_wt_linear,4194304,33,42,0,64,1,134217728,65536,3600000000000,0,0,1,64,ctx,4499331648,0,0,0,0,0,0,624,47.650538
24,bench_p26_wt,bench_p26_wt_linear,4194304,33,42,0,64,1,134217728,65536,3600000000000,0,0,1,64,heap,4499331648,0,0,0,0,0,0,1296,47.650562
