probe,ORDER,n,SEED,bench_simtime
create,0,1709,0,0.00018992
create,0,171,0,0.00012664
create,0,1710,0,0.00018992
create,0,1711,0,0.00018992
create,0,1712,0,0.000199412
create,0,1713,0,0.000199412
create,0,1714,0,0.000199412
create,0,1715,0,0.00018992
create,0,1716,0,0.00018992
create,0,1717,0,0.00018992
create,0,1718,0,0.00018992
create,0,1719,0,0.00018992
create,0,172,0,0.000137714
create,0,1720,0,0.000199412
create,0,1721,0,0.000199412
create,0,1722,0,0.000199412
create,0,1723,0,0.00018992
create,0,1724,0,0.000199412
create,0,1725,0,0.000199412
create,0,1726,0,0.000199412
create,0,1727,0,0.000199412
create,0,1728,0,0.000208904
create,0,1729,0,0.000208904
create,0,173,0,0.000136132
create,0,1730,0,0.000208904
create,0,1731,0,0.000199412
create,0,1732,0,0.000199412
create,0,1733,0,0.00018992
create,0,1734,0,0.000180428
create,0,1735,0,0.00018201
create,0,1736,0,0.000191502
create,0,1737,0,0.00018992
create,0,1738,0,0.00018992
create,0,1739,0,0.000180428
create,0,174,0,0.000136132
create,0,1740,0,0.000191502
create,0,1741,0,0.00018992
create,0,1742,0,0.00018992
create,0,1743,0,0.00018992
create,0,1744,0,0.000199412
create,0,1745,0,0.000199412
create,0,1746,0,0.000199412
create,0,1747,0,0.00018992
create,0,1748,0,0.00018992
create,0,1749,0,0.00018992
create,0,175,0,0.000136132
create,0,1750,0,0.00018992
create,0,1751,0,0.00018992
create,0,1752,0,0.000199412
create,0,1753,0,0.000199412
create,0,1754,0,0.000199412
create,0,1755,0,0.00018992
create,0,1756,0,0.000199412
create,0,1757,0,0.000199412
create,0,1758,0,0.000199412
create,0,1759,0,0.000199412
create,0,176,0,0.000145624
create,0,1760,0,0.000208904
create,0,1761,0,0.000208904
create,0,1762,0,0.000208904
create,0,1763,0,0.000199412
create,0,1764,0,0.000199412
create,0,1765,0,0.00018992
create,0,1766,0,0.00018992
create,0,1767,0,0.00018992
create,0,1768,0,0.000199412
create,0,1769,0,0.000199412
create,0,177,0,0.000144042
create,0,1770,0,0.000199412
create,0,1771,0,0.00018992
create,0,1772,0,0.000199412
create,0,1773,0,0.000199412
create,0,1774,0,0.000199412
create,0,1775,0,0.000199412
create,0,1776,0,0.000208904
create,0,1777,0,0.000208904
create,0,1778,0,0.000208904
create,0,1779,0,0.000199412
create,0,178,0,0.000144042
create,0,1780,0,0.000199412
create,0,1781,0,0.000199412
create,0,1782,0,0.000199412
create,0,1783,0,0.000199412
create,0,1784,0,0.000208904
create,0,1785,0,0.000208904
create,0,1786,0,0.000208904
create,0,1787,0,0.000199412
create,0,1788,0,0.000208904
create,0,1789,0,0.000208904
create,0,179,0,0.00013455
create,0,1790,0,0.000208904
create,0,1791,0,0.000208904
create,0,1792,0,0.000216814
create,0,1793,0,0.000216814
create,0,1794,0,0.000216814
create,0,1795,0,0.000208904
create,0,1796,0,0.000208904
create,0,1797,0,0.000199412
create,0,1798,0,0.00018992
create,0,1799,0,0.00018201
create,0,18,0,9.3418e-05
create,0,180,0,0.000136132
create,0,1800,0,0.000180428
create,0,1801,0,0.000180428
create,0,1802,0,0.000180428
create,0,1803,0,0.000170936
create,0,1804,0,0.00018201
create,0,1805,0,0.000180428
create,0,1806,0,0.000180428
create,0,1807,0,0.000180428
create,0,1808,0,0.00018992
create,0,1809,0,0.000188338
create,0,181,0,0.000136132
create,0,1810,0,0.000188338
create,0,1811,0,0.000178846
create,0,1812,0,0.000180428
create,0,1813,0,0.000180428
create,0,1814,0,0.000180428
create,0,1815,0,0.000180428
create,0,1816,0,0.00018992
create,0,1817,0,0.000188338
create,0,1818,0,0.000188338
create,0,1819,0,0.000178846
create,0,182,0,0.000136132
create,0,1820,0,0.00018992
create,0,1821,0,0.000188338
create,0,1822,0,0.000188338
create,0,1823,0,0.000188338
create,0,1824,0,0.00019783
create,0,1825,0,0.00019783
create,0,1826,0,0.00019783
create,0,1827,0,0.000188338
create,0,1828,0,0.000188338
create,0,1829,0,0.000178846
create,0,183,0,0.000136132
create,0,1830,0,0.000180428
create,0,1831,0,0.000180428
create,0,1832,0,0.00018992
create,0,1833,0,0.000188338
create,0,1834,0,0.000188338
create,0,1835,0,0.000178846
create,0,1836,0,0.00018992
create,0,1837,0,0.000188338
