probe,ORDER,n,bench_simtime_avg,bench_simtime_min,bench_simtime_max
create,0,1056,0.0001741,0.0001741,0.0001741
create,0,1057,0.000172518,0.000172518,0.000172518
create,0,1058,0.000172518,0.000172518,0.000172518
create,0,1059,0.000163026,0.000163026,0.000163026
create,0,106,0.000128222,0.000128222,0.000128222
create,0,1060,0.000164608,0.000164608,0.000164608
create,0,1061,0.000155116,0.000155116,0.000155116
create,0,1062,0.000156698,0.000156698,0.000156698
create,0,1063,0.000156698,0.000156698,0.000156698
create,0,1064,0.00016619,0.00016619,0.00016619
create,0,1065,0.000164608,0.000164608,0.000164608
create,0,1066,0.000164608,0.000164608,0.000164608
create,0,1067,0.000155116,0.000155116,0.000155116
create,0,1068,0.00016619,0.00016619,0.00016619
create,0,1069,0.000164608,0.000164608,0.000164608
create,0,107,0.00011873,0.00011873,0.00011873
create,0,1070,0.000164608,0.000164608,0.000164608
create,0,1071,0.000164608,0.000164608,0.000164608
create,0,1072,0.0001741,0.0001741,0.0001741
create,0,1073,0.000172518,0.000172518,0.000172518
create,0,1074,0.000172518,0.000172518,0.000172518
create,0,1075,0.000163026,0.000163026,0.000163026
create,0,1076,0.000164608,0.000164608,0.000164608
create,0,1077,0.000164608,0.000164608,0.000164608
create,0,1078,0.000164608,0.000164608,0.000164608
create,0,1079,0.000164608,0.000164608,0.000164608
create,0,108,0.000129804,0.000129804,0.000129804
create,0,1080,0.0001741,0.0001741,0.0001741
create,0,1081,0.000172518,0.000172518,0.000172518
create,0,1082,0.000172518,0.000172518,0.000172518
create,0,1083,0.000163026,0.000163026,0.000163026
create,0,1084,0.0001741,0.0001741,0.0001741
create,0,1085,0.000172518,0.000172518,0.000172518
create,0,1086,0.000172518,0.000172518,0.000172518
create,0,1087,0.000172518,0.000172518,0.000172518
create,0,1088,0.00018201,0.00018201,0.00018201
create,0,1089,0.000180428,0.000180428,0.000180428
create,0,109,0.000128222,0.000128222,0.000128222
create,0,1090,0.000180428,0.000180428,0.000180428
create,0,1091,0.000170936,0.000170936,0.000170936
create,0,1092,0.000172518,0.000172518,0.000172518
create,0,1093,0.000163026,0.000163026,0.000163026
create,0,1094,0.000155116,0.000155116,0.000155116
create,0,1095,0.000156698,0.000156698,0.000156698
create,0,1096,0.00016619,0.00016619,0.00016619
create,0,1097,0.000164608,0.000164608,0.000164608
create,0,1098,0.000164608,0.000164608,0.000164608
create,0,1099,0.000155116,0.000155116,0.000155116
create,0,11,7.7598e-05,7.7598e-05,7.7598e-05
create,0,110,0.000128222,0.000128222,0.000128222
create,0,1100,0.00016619,0.00016619,0.00016619
create,0,1101,0.000164608,0.000164608,0.000164608
create,0,1102,0.000164608,0.000164608,0.000164608
create,0,1103,0.000164608,0.000164608,0.000164608
create,0,1104,0.0001741,0.0001741,0.0001741
create,0,1105,0.000172518,0.000172518,0.000172518
create,0,1106,0.000172518,0.000172518,0.000172518
create,0,1107,0.000163026,0.000163026,0.000163026
create,0,1108,0.000164608,0.000164608,0.000164608
create,0,1109,0.000164608,0.000164608,0.000164608
create,0,111,0.000128222,0.000128222,0.000128222
create,0,1110,0.000164608,0.000164608,0.000164608
create,0,1111,0.000164608,0.000164608,0.000164608
create,0,1112,0.0001741,0.0001741,0.0001741
create,0,1113,0.000172518,0.000172518,0.000172518
create,0,1114,0.000172518,0.000172518,0.000172518
create,0,1115,0.000163026,0.000163026,0.000163026
create,0,1116,0.0001741,0.0001741,0.0001741
create,0,1117,0.000172518,0.000172518,0.000172518
create,0,1118,0.000172518,0.000172518,0.000172518
create,0,1119,0.000172518,0.000172518,0.000172518
create,0,112,0.000137714,0.000137714,0.000137714
create,0,1120,0.00018201,0.00018201,0.00018201
create,0,1121,0.000180428,0.000180428,0.000180428
create,0,1122,0.000180428,0.000180428,0.000180428
create,0,1123,0.000170936,0.000170936,0.000170936
