probe,BLOCK_SIZE,n,SEED,bench_simtime
commit,1048576,1456,0,0.000165498
commit,1048576,1457,0,0.00016708
commit,1048576,1458,0,0.000166818
commit,1048576,1459,0,0.000169982
commit,1048576,146,0,0.000104764
commit,1048576,1460,0,0.00016664
commit,1048576,1461,0,0.00016664
commit,1048576,1462,0,0.000155388
commit,1048576,1463,0,0.000184922
commit,1048576,1464,0,0.000155304
commit,1048576,1465,0,0.000187562
commit,1048576,1466,0,0.00017411
commit,1048576,1467,0,0.00016884
commit,1048576,1468,0,0.00017719
commit,1048576,1469,0,0.000167698
commit,1048576,147,0,0.000118384
commit,1048576,1470,0,0.000184042
commit,1048576,1471,0,0.000161632
commit,1048576,1472,0,0.00016664
commit,1048576,1473,0,0.000178332
commit,1048576,1474,0,0.000190726
commit,1048576,1475,0,0.00016576
commit,1048576,1476,0,0.000173408
commit,1048576,1477,0,0.00017587
commit,1048576,1478,0,0.000190726
commit,1048576,1479,0,0.000172444
commit,1048576,148,0,0.000120584
commit,1048576,1480,0,0.000168138
commit,1048576,1481,0,0.00018246
commit,1048576,1482,0,0.000165938
commit,1048576,1483,0,0.000157588
commit,1048576,1484,0,0.00016576
commit,1048576,1485,0,0.00017587
commit,1048576,1486,0,0.00017631
commit,1048576,1487,0,0.000169542
commit,1048576,1488,0,0.000158028
commit,1048576,1489,0,0.00016708
commit,1048576,149,0,0.000129374
commit,1048576,1490,0,0.000180878
commit,1048576,1491,0,0.000178772
commit,1048576,1492,0,0.000160228
commit,1048576,1493,0,0.00016444
commit,1048576,1494,0,0.000155828
commit,1048576,1495,0,0.000159348
commit,1048576,1496,0,0.000173324
commit,1048576,1497,0,0.000166378
commit,1048576,1498,0,0.000174288
commit,1048576,1499,0,0.000176048
commit,1048576,15,0,8.5864e-05
commit,1048576,150,0,0.000120584
commit,1048576,1500,0,0.000158468
commit,1048576,1501,0,0.00016005
commit,1048576,1502,0,0.000154162
commit,1048576,1503,0,0.000155126
commit,1048576,1504,0,0.000156446
commit,1048576,1505,0,0.000169804
commit,1048576,1506,0,0.000182816
commit,1048576,1507,0,0.000162156
commit,1048576,1508,0,0.000157148
commit,1048576,1509,0,0.000177452
commit,1048576,151,0,0.000122774
commit,1048576,1510,0,0.000169542
commit,1048576,1511,0,0.000168138
commit,1048576,1512,0,0.000154686
commit,1048576,1513,0,0.000154068
commit,1048576,1514,0,0.000183958
commit,1048576,1515,0,0.000183958
commit,1048576,1516,0,0.000165498
commit,1048576,1517,0,0.000149678
commit,1048576,1518,0,0.00015829
commit,1048576,1519,0,0.000170862
commit,1048576,152,0,0.000129814
commit,1048576,1520,0,0.000165676
commit,1048576,1521,0,0.000175608
commit,1048576,1522,0,0.00015829
commit,1048576,1523,0,0.000180878
commit,1048576,1524,0,0.000152664
commit,1048576,1525,0,0.000160312
commit,1048576,1526,0,0.000183078
commit,1048576,1527,0,0.000176048
commit,1048576,1528,0,0.00015917
commit,1048576,1529,0,0.00017675
commit,1048576,153,0,0.000129374
commit,1048576,1530,0,0.000180794
commit,1048576,1531,0,0.000164796
commit,1048576,1532,0,0.000171124
commit,1048576,1533,0,0.000184482
commit,1048576,1534,0,0.000190024
commit,1048576,1535,0,0.000170684
commit,1048576,1536,0,0.000178332
commit,1048576,1537,0,0.00018158
commit,1048576,1538,0,0.000157588
commit,1048576,1539,0,0.000183078
commit,1048576,154,0,0.000112674
commit,1048576,1540,0,0.00016488
commit,1048576,1541,0,0.00016752
commit,1048576,1542,0,0.000159432
commit,1048576,1543,0,0.000157326
commit,1048576,1544,0,0.000165676
commit,1048576,1545,0,0.00017587
commit,1048576,1546,0,0.0001684
commit,1048576,1547,0,0.00017323
commit,1048576,1548,0,0.000158908
commit,1048576,1549,0,0.000156446
commit,1048576,155,0,0.000130694
commit,1048576,1550,0,0.00015741
commit,1048576,1551,0,0.00015961
commit,1048576,1552,0,0.000183078
commit,1048576,1553,0,0.000156006
commit,1048576,1554,0,0.000176928
commit,1048576,1555,0,0.000159872
commit,1048576,1556,0,0.000182198
commit,1048576,1557,0,0.000168138
commit,1048576,1558,0,0.000158028
commit,1048576,1559,0,0.0001684
commit,1048576,156,0,0.000112234
commit,1048576,1560,0,0.00017631
commit,1048576,1561,0,0.000163916
commit,1048576,1562,0,0.000165676
commit,1048576,1563,0,0.000167436
commit,1048576,1564,0,0.0001684
commit,1048576,1565,0,0.000177892
commit,1048576,1566,0,0.00017543
commit,1048576,1567,0,0.000169102
commit,1048576,1568,0,0.000193272
commit,1048576,1569,0,0.000168662
commit,1048576,157,0,0.000119704
commit,1048576,1570,0,0.000163214
commit,1048576,1571,0,0.000197756
commit,1048576,1572,0,0.000165938
commit,1048576,1573,0,0.00017631
commit,1048576,1574,0,0.000148096
commit,1048576,1575,0,0.00015917
commit,1048576,1576,0,0.000179034
commit,1048576,1577,0,0.000156886
commit,1048576,1578,0,0.000160312
commit,1048576,1579,0,0.000164796
commit,1048576,158,0,0.000120144
commit,1048576,1580,0,0.00016708
commit,1048576,1581,0,0.00015873
commit,1048576,1582,0,0.000185362
commit,1048576,1583,0,0.00017499
commit,1048576,1584,0,0.000186242
commit,1048576,1585,0,0.000174812
commit,1048576,1586,0,0.000186242
commit,1048576,1587,0,0.000184922
commit,1048576,1588,0,0.00016796
commit,1048576,1589,0,0.00018466
commit,1048576,159,0,0.000127614
commit,1048576,1590,0,0.000174466
commit,1048576,1591,0,0.0001684
commit,1048576,1592,0,0.000174466
commit,1048576,1593,0,0.000161538
commit,1048576,1594,0,0.000179736
commit,1048576,1595,0,0.000168662
commit,1048576,1596,0,0.00016796
commit,1048576,1597,0,0.00015214
commit,1048576,1598,0,0.000181056
commit,1048576,1599,0,0.000181318
commit,1048576,16,0,9.2632e-05
commit,1048576,160,0,0.000110034
commit,1048576,1600,0,0.000186504
commit,1048576,1601,0,0.000176132
commit,1048576,1602,0,0.000165498
commit,1048576,1603,0,0.000163738
commit,1048576,1604,0,0.000148798
commit,1048576,1605,0,0.000163916
commit,1048576,1606,0,0.00016708
commit,1048576,1607,0,0.00018378
commit,1048576,1608,0,0.000176488
commit,1048576,1609,0,0.000178332
commit,1048576,161,0,0.000126294
commit,1048576,1610,0,0.000177976
commit,1048576,1611,0,0.000188788
commit,1048576,1612,0,0.000189668
commit,1048576,1613,0,0.000165498
commit,1048576,1614,0,0.000181496
commit,1048576,1615,0,0.000171124
commit,1048576,1616,0,0.00016664
commit,1048576,1617,0,0.00015829
commit,1048576,1618,0,0.000158992
commit,1048576,1619,0,0.000167782
commit,1048576,162,0,0.000121024
commit,1048576,1620,0,0.00018466
commit,1048576,1621,0,0.000160752
commit,1048576,1622,0,0.00015873
commit,1048576,1623,0,0.000156006
commit,1048576,1624,0,0.000170684
commit,1048576,1625,0,0.000188264
commit,1048576,1626,0,0.000151962
commit,1048576,1627,0,0.000190286
commit,1048576,1628,0,0.00016708
commit,1048576,1629,0,0.000178154
commit,1048576,163,0,0.000120584
commit,1048576,1630,0,0.00015741
commit,1048576,1631,0,0.000178332
commit,1048576,1632,0,0.000167258
commit,1048576,1633,0,0.000159872
commit,1048576,1634,0,0.000172706
commit,1048576,1635,0,0.000175168
commit,1048576,1636,0,0.000164796
commit,1048576,1637,0,0.00016928
commit,1048576,1638,0,0.000156006
commit,1048576,1639,0,0.000151522
commit,1048576,164,0,0.000118824
commit,1048576,1640,0,0.000174466
commit,1048576,1641,0,0.000166462
commit,1048576,1642,0,0.000147478
commit,1048576,1643,0,0.000173586
commit,1048576,1644,0,0.000162072
commit,1048576,1645,0,0.000187824
