probe,BLOCK_SIZE,n,bench_simtime_avg,bench_simtime_min,bench_simtime_max
commit,1048576,1296,0.000156006,0.000156006,0.000156006
commit,1048576,1297,0.000158028,0.000158028,0.000158028
commit,1048576,1298,0.00016884,0.00016884,0.00016884
commit,1048576,1299,0.000186242,0.000186242,0.000186242
commit,1048576,13,8.4544e-05,8.4544e-05,8.4544e-05
commit,1048576,130,0.000118384,0.000118384,0.000118384
commit,1048576,1300,0.000154686,0.000154686,0.000154686
commit,1048576,1301,0.000167258,0.000167258,0.000167258
commit,1048576,1302,0.000147656,0.000147656,0.000147656
commit,1048576,1303,0.000157588,0.000157588,0.000157588
commit,1048576,1304,0.000176048,0.000176048,0.000176048
commit,1048576,1305,0.000163738,0.000163738,0.000163738
commit,1048576,1306,0.000158468,0.000158468,0.000158468
commit,1048576,1307,0.000164974,0.000164974,0.000164974
commit,1048576,1308,0.000163916,0.000163916,0.000163916
commit,1048576,1309,0.000156006,0.000156006,0.000156006
commit,1048576,131,0.000127614,0.000127614,0.000127614
commit,1048576,1310,0.000166116,0.000166116,0.000166116
commit,1048576,1311,0.000180354,0.000180354,0.000180354
commit,1048576,1312,0.00017719,0.00017719,0.00017719
commit,1048576,1313,0.000154686,0.000154686,0.000154686
commit,1048576,1314,0.000156174,0.000156174,0.000156174
commit,1048576,1315,0.000148798,0.000148798,0.000148798
commit,1048576,1316,0.0001684,0.0001684,0.0001684
commit,1048576,1317,0.00016884,0.00016884,0.00016884
commit,1048576,1318,0.000162858,0.000162858,0.000162858
commit,1048576,1319,0.000197054,0.000197054,0.000197054
commit,1048576,132,0.000126734,0.000126734,0.000126734
commit,1048576,1320,0.000183518,0.000183518,0.000183518
commit,1048576,1321,0.000174466,0.000174466,0.000174466
commit,1048576,1322,0.000164796,0.000164796,0.000164796
commit,1048576,1323,0.00017675,0.00017675,0.00017675
commit,1048576,1324,0.000150998,0.000150998,0.000150998
commit,1048576,1325,0.000162334,0.000162334,0.000162334
commit,1048576,1326,0.00017675,0.00017675,0.00017675
commit,1048576,1327,0.000181056,0.000181056,0.000181056
commit,1048576,1328,0.000168484,0.000168484,0.000168484
commit,1048576,1329,0.000170422,0.000170422,0.000170422
commit,1048576,133,0.000120144,0.000120144,0.000120144
commit,1048576,1330,0.000154948,0.000154948,0.000154948
commit,1048576,1331,0.000156268,0.000156268,0.000156268
commit,1048576,1332,0.000167698,0.000167698,0.000167698
commit,1048576,1333,0.00016532,0.00016532,0.00016532
commit,1048576,1334,0.000167258,0.000167258,0.000167258
commit,1048576,1335,0.00017719,0.00017719,0.00017719
commit,1048576,1336,0.000153544,0.000153544,0.000153544
commit,1048576,1337,0.000158908,0.000158908,0.000158908
commit,1048576,1338,0.000185362,0.000185362,0.000185362
commit,1048576,1339,0.000150118,0.000150118,0.000150118
commit,1048576,134,0.000110474,0.000110474,0.000110474
commit,1048576,1340,0.000155828,0.000155828,0.000155828
commit,1048576,1341,0.00018378,0.00018378,0.00018378
commit,1048576,1342,0.000165058,0.000165058,0.000165058
commit,1048576,1343,0.000167258,0.000167258,0.000167258
commit,1048576,1344,0.000178332,0.000178332,0.000178332
commit,1048576,1345,0.000185362,0.000185362,0.000185362
commit,1048576,1346,0.000173586,0.000173586,0.000173586
commit,1048576,1347,0.00016796,0.00016796,0.00016796
commit,1048576,1348,0.000166378,0.000166378,0.000166378
commit,1048576,1349,0.00016708,0.00016708,0.00016708
commit,1048576,135,0.000119264,0.000119264,0.000119264
commit,1048576,1350,0.00015785,0.00015785,0.00015785
commit,1048576,1351,0.000163036,0.000163036,0.000163036
