i,suite,case,SIM_TIME,NO_FRUNCATE,BLOCK_SIZE,CHUNK,SEED,SKIP_WARMUP,FS,SIM_SIZE,DISK_SIZE,FILE_COUNT,SIZE,DISK_SIM,DISK_GEOMETRY,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
29,bench_p26_wt,bench_p26_wt_random,3600000000000,0,1048576,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,12032,0,0,0,0,0,0,784,20.426737
29,bench_p26_wt,bench_p26_wt_random,3600000000000,0,1048576,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,12032,0,0,0,0,0,0,4194304,20.426779
28,bench_p26_wt,bench_p26_wt_random,3600000000000,0,524288,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,14336,2180045,1090328,550,556267800,279097962,288358400,3631689070284,20.593934
28,bench_p26_wt,bench_p26_wt_random,3600000000000,0,524288,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,14336,0,0,0,0,0,0,1520,20.594013
28,bench_p26_wt,bench_p26_wt_random,3600000000000,0,524288,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,14336,0,0,0,0,0,0,384,20.594061
28,bench_p26_wt,bench_p26_wt_random,3600000000000,0,524288,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,14336,0,0,0,0,0,0,784,20.594103
28,bench_p26_wt,bench_p26_wt_random,3600000000000,0,524288,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,14336,0,0,0,0,0,0,3145728,20.594142
27,bench_p26_wt,bench_p26_wt_random,3600000000000,0,262144,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,15808,2179531,1079433,1091,550993954,276314445,285999104,3601155366694,20.995816
27,bench_p26_wt,bench_p26_wt_random,3600000000000,0,262144,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,15808,0,0,0,0,0,0,1520,20.995878
27,bench_p26_wt,bench_p26_wt_random,3600000000000,0,262144,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,15808,0,0,0,0,0,0,384,20.995910
27,bench_p26_wt,bench_p26_wt_random,3600000000000,0,262144,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,15808,0,0,0,0,0,0,784,20.995939
27,bench_p26_wt,bench_p26_wt_random,3600000000000,0,262144,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,15808,0,0,0,0,0,0,2621440,20.995965
25,bench_p26_wt,bench_p26_wt_random,3600000000000,0,65536,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,17536,2212992,1099160,4387,560806267,281364020,287506432,3626095792272,21.595103
25,bench_p26_wt,bench_p26_wt_random,3600000000000,0,65536,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,17536,0,0,0,0,0,0,1840,21.595178
25,bench_p26_wt,bench_p26_wt_random,3600000000000,0,65536,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,17536,0,0,0,0,0,0,384,21.595216
25,bench_p26_wt,bench_p26_wt_random,3600000000000,0,65536,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,17536,0,0,0,0,0,0,784,21.595247
25,bench_p26_wt,bench_p26_wt_random,3600000000000,0,65536,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,17536,0,0,0,0,0,0,2228224,21.595289
22,bench_p26_wt,bench_p26_wt_random,3600000000000,0,8192,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,18368,2558314,1118269,34987,572206022,286244057,286613504,3624462293998,21.809127
22,bench_p26_wt,bench_p26_wt_random,3600000000000,0,8192,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,18368,0,0,0,0,0,0,1984,21.809190
22,bench_p26_wt,bench_p26_wt_random,3600000000000,0,8192,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,18368,0,0,0,0,0,0,384,21.809222
22,bench_p26_wt,bench_p26_wt_random,3600000000000,0,8192,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,18368,0,0,0,0,0,0,784,21.809251
22,bench_p26_wt,bench_p26_wt_random,3600000000000,0,8192,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,18368,0,0,0,0,0,0,2113536,21.809278
24,bench_p26_wt,bench_p26_wt_random,3600000000000,0,32768,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,17920,2257735,1103360,8775,563152359,282436502,287539200,3628246291724,22.569769
24,bench_p26_wt,bench_p26_wt_random,3600000000000,0,32768,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,17920,0,0,0,0,0,0,1840,22.569833
24,bench_p26_wt,bench_p26_wt_random,3600000000000,0,32768,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,17920,0,0,0,0,0,0,384,22.569863
24,bench_p26_wt,bench_p26_wt_random,3600000000000,0,32768,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,17920,0,0,0,0,0,0,784,22.569887
24,bench_p26_wt,bench_p26_wt_random,3600000000000,0,32768,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,17920,0,0,0,0,0,0,2162688,22.569911
38,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,1048576,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,20288,29132,13035,313,6561694,3235945,328204288,3611034040718,1.810373
38,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,1048576,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,20288,0,0,0,0,0,0,1664,1.810546
38,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,1048576,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,20288,0,0,0,0,0,0,400,1.810603
38,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,1048576,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,20288,0,0,0,0,0,0,784,1.810652
38,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,1048576,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,20288,0,0,0,0,0,0,3145728,1.810698
37,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,524288,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,40064,110766,49922,622,25406888,12580105,326107136,3603530997726,2.395427
37,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,524288,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,40064,0,0,0,0,0,0,1664,2.395525
37,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,524288,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,40064,0,0,0,0,0,0,400,2.395577
37,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,524288,64,42,0,2,0,134217728,32768,2097152,1,0,64,heap,40064,0,0,0,0,0,0,784,2.395622
37,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,524288,64,42,0,2,0,134217728,32768,2097152,1,0,64,usage,40064,0,0,0,0,0,0,1572864,2.395664
36,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,262144,64,42,0,2,0,134217728,32768,2097152,1,0,64,write,78528,427945,190030,1223,97369138,48255465,320602112,3602369713582,4.450583
36,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,262144,64,42,0,2,0,134217728,32768,2097152,1,0,64,stack,78528,0,0,0,0,0,0,1664,4.450687
36,bench_p26_wt,bench_p26_wt_logging,3600000000000,0,262144,64,42,0,2,0,134217728,32768,2097152,1,0,64,ctx,78528,0,0,0,0,0,0,400,4.450738
