i,suite,case,DISK_GEOMETRY,BLOCK_SIZE,SIZE,FS,NO_FRUNCATE,DISK_SIM,CHUNK,CRYSTAL_DIV,SEED,FILE_SIZE,FILE_COUNT,SIM_TIME,SIM_SIZE,SKIP_WARMUP,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
23,bench_p26_wt,bench_p26_wt_random,0,16384,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,6750464,0,0,0,0,0,0,4440064,8.030250
21,bench_p26_wt,bench_p26_wt_random,0,4096,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,3570432,24202863,1264171,70201,504068668,266097917,287543296,3600080301270,8.530236
21,bench_p26_wt,bench_p26_wt_random,0,4096,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,3570432,0,0,0,0,0,0,3152,8.530315
21,bench_p26_wt,bench_p26_wt_random,0,4096,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,3570432,0,0,0,0,0,0,512,8.538666
21,bench_p26_wt,bench_p26_wt_random,0,4096,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,3570432,0,0,0,0,0,0,784,8.538738
21,bench_p26_wt,bench_p26_wt_random,0,4096,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,3570432,0,0,0,0,0,0,2678784,8.538788
37,bench_p26_wt,bench_p26_wt_logging,0,524288,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,50074752,37050089,3881107,547,312806187,276632952,286785536,3600771476040,10.498763
37,bench_p26_wt,bench_p26_wt_logging,0,524288,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,50074752,0,0,0,0,0,0,3168,10.498872
37,bench_p26_wt,bench_p26_wt_logging,0,524288,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,50074752,0,0,0,0,0,0,528,10.498930
37,bench_p26_wt,bench_p26_wt_logging,0,524288,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,50074752,0,0,0,0,0,0,784,10.498981
37,bench_p26_wt,bench_p26_wt_logging,0,524288,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,50074752,0,0,0,0,0,0,4718592,10.499030
35,bench_p26_wt,bench_p26_wt_logging,0,131072,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,42580352,44224740,3306523,2184,408018223,278050640,286261248,3601062911928,10.571043
35,bench_p26_wt,bench_p26_wt_logging,0,131072,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,42580352,0,0,0,0,0,0,3168,10.571120
35,bench_p26_wt,bench_p26_wt_logging,0,131072,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,42580352,0,0,0,0,0,0,528,10.571171
35,bench_p26_wt,bench_p26_wt_logging,0,131072,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,42580352,0,0,0,0,0,0,784,10.571215
35,bench_p26_wt,bench_p26_wt_logging,0,131072,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,42580352,0,0,0,0,0,0,2752512,10.571258
30,bench_p26_wt,bench_p26_wt_logging,0,4096,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,20322624,80796894,2667336,69390,1102956083,273979371,284221440,3600010348082,13.388921
30,bench_p26_wt,bench_p26_wt_logging,0,4096,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,20322624,0,0,0,0,0,0,2976,13.389024
30,bench_p26_wt,bench_p26_wt_logging,0,4096,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,20322624,0,0,0,0,0,0,528,13.389077
30,bench_p26_wt,bench_p26_wt_logging,0,4096,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,20322624,0,0,0,0,0,0,784,13.389138
30,bench_p26_wt,bench_p26_wt_logging,0,4096,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,20322624,0,0,0,0,0,0,2203648,13.389184
38,bench_p26_wt,bench_p26_wt_logging,0,1048576,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,54158656,32296424,4199609,274,253788003,275799003,287309824,3602851269330,14.937359
38,bench_p26_wt,bench_p26_wt_logging,0,1048576,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,54158656,0,0,0,0,0,0,3168,14.937457
38,bench_p26_wt,bench_p26_wt_logging,0,1048576,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,54158656,0,0,0,0,0,0,528,14.937512
