i,suite,case,CRYSTAL_THRESH,DISK_SIM,SIM_TIME,SIZE,DISK_GEOMETRY,FS,FILE_COUNT,SKIP_WARMUP,NO_FRUNCATE,CHUNK,SEED,FILE_SIZE,DISK_SIZE,BLOCK_SIZE,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
27,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,262144,0,usage,17730432,0,0,0,0,0,0,9175040,24.202253
21,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,4096,0,write,18325184,119327930,1842225,69083,1662697083,268602064,282963968,3600078501016,25.373162
21,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,4096,0,stack,18325184,0,0,0,0,0,0,3216,25.373231
21,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,4096,0,ctx,18325184,0,0,0,0,0,0,512,25.373262
21,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,4096,0,heap,18325184,0,0,0,0,0,0,784,25.373288
21,bench_p26_wt,bench_p26_wt_random,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,4096,0,usage,18325184,0,0,0,0,0,0,7479296,25.373311
33,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,32768,0,write,9960576,51371994,1540875,8779,849572603,256522084,287670272,3600146449200,14.980863
33,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,32768,0,stack,9960576,0,0,0,0,0,0,3200,14.980971
33,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,32768,0,ctx,9960576,0,0,0,0,0,0,528,14.981027
33,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,32768,0,heap,9960576,0,0,0,0,0,0,784,14.981078
33,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,32768,0,usage,9960576,0,0,0,0,0,0,8028160,14.981125
35,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,131072,0,write,9922816,33875045,1568824,2199,667400387,258154024,288227328,3601561106856,15.196991
35,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,131072,0,stack,9922816,0,0,0,0,0,0,3200,15.197169
35,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,131072,0,ctx,9922816,0,0,0,0,0,0,528,15.197225
35,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,131072,0,heap,9922816,0,0,0,0,0,0,784,15.197272
35,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,131072,0,usage,9922816,0,0,0,0,0,0,8388608,15.197316
31,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,8192,0,write,9504896,69328587,1817469,34965,1110012415,258472143,286433280,3600059440906,16.233638
31,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,8192,0,stack,9504896,0,0,0,0,0,0,3200,16.233742
31,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,8192,0,ctx,9504896,0,0,0,0,0,0,528,16.233808
31,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,8192,0,heap,9504896,0,0,0,0,0,0,784,16.233855
31,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,8192,0,usage,9504896,0,0,0,0,0,0,6881280,16.233898
34,bench_p26_wt,bench_p26_wt_logging,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,65536,0,write,10074688,35886140,1570127,4397,683576876,257346062,288161792,3600209992036,20.381245
