i,suite,case,SKIP_WARMUP,NO_FRUNCATE,CHUNK,SIM_SIZE,FILE_COUNT,SEED,DISK_SIZE,SIZE,SIM_TIME,DISK_SIM,DISK_GEOMETRY,BLOCK_SIZE,FS,FILE_SIZE,CRYSTAL_DIV,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
25,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,65536,34,64,32,write,3979648,22013231,1162401,4435,473043447,245924292,290652160,3601078597584,5.722956
25,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,65536,34,64,32,stack,3979648,0,0,0,0,0,0,3104,5.723072
25,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,65536,34,64,32,ctx,3979648,0,0,0,0,0,0,512,5.723128
25,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,65536,34,64,32,heap,3979648,0,0,0,0,0,0,784,5.723175
25,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,65536,34,64,32,usage,3979648,0,0,0,0,0,0,4456448,5.723217
28,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,524288,34,64,32,write,1716480,5965492,731288,575,216551238,180252868,301465600,3605723168296,6.184593
28,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,524288,34,64,32,stack,1716480,0,0,0,0,0,0,3168,6.184694
28,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,524288,34,64,32,ctx,1716480,0,0,0,0,0,0,512,6.184747
28,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,524288,34,64,32,heap,1716480,0,0,0,0,0,0,784,6.184793
28,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,524288,34,64,32,usage,1716480,0,0,0,0,0,0,8388608,6.184837
24,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,32768,34,64,32,write,5005248,26152202,1215273,8859,517681958,246774033,290291712,3600248546558,6.338589
24,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,32768,34,64,32,stack,5005248,0,0,0,0,0,0,3152,6.338689
24,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,32768,34,64,32,ctx,5005248,0,0,0,0,0,0,512,6.338740
24,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,32768,34,64,32,heap,5005248,0,0,0,0,0,0,784,6.338786
24,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,32768,34,64,32,usage,5005248,0,0,0,0,0,0,4423680,6.338836
27,bench_p26_wt,bench_p26_wt_random,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,262144,34,64,32,write,2404032,10222750,871194,1131,290963039,213228472,296484864,3606148680168,6.454589
