i,suite,case,N,DISK_SIZE,DISK_GEOMETRY,SIZE,DISK_SIM,SEED,FS,STEP,BLOCK_SIZE,BLOCK_COUNT,ORDER,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,29,130,29,0,850,1453,0,2332646,0.003519
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,31,62,31,0,62,1673,0,2649166,0.003966
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,33,66,33,0,66,1816,0,2875552,0.004887
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,30,136,30,0,896,1509,0,2423078,0.003590
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,32,64,32,0,64,1745,0,2763150,0.004037
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,34,68,34,0,68,1887,0,2987954,0.004957
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,31,144,31,0,964,1565,0,2514390,0.003662
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,33,66,33,0,66,1816,0,2875552,0.004111
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,35,70,35,0,70,1952,0,3090864,0.005030
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,32,151,32,0,1021,1626,0,2613172,0.003742
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,34,68,34,0,68,1887,0,2987954,0.004214
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,36,72,36,0,72,2018,0,3195356,0.005135
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,33,158,33,0,1078,1683,0,2705626,0.003844
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,35,70,35,0,70,1952,0,3090864,0.004292
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,37,74,37,0,74,2084,0,3299848,0.005215
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,34,161,34,0,1091,1738,0,2793156,0.003923
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,36,72,36,0,72,2018,0,3195356,0.004370
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,38,76,38,0,76,2150,0,3404340,0.005291
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,35,169,35,0,1159,1800,0,2893960,0.003999
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,37,74,37,0,74,2084,0,3299848,0.004447
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,39,78,39,0,78,2216,0,3508832,0.005366
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,36,177,36,0,1227,1861,0,2993182,0.004071
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,38,76,38,0,76,2150,0,3404340,0.004518
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,40,80,40,0,80,2288,0,3622816,0.005437
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,37,185,37,0,1295,1923,0,3093986,0.004141
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,39,78,39,0,78,2216,0,3508832,0.004588
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,41,82,41,0,82,2359,0,3735218,0.005510
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,38,193,38,0,1363,1979,0,3185298,0.004216
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,40,80,40,0,80,2288,0,3622816,0.004664
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,42,84,42,0,84,2430,0,3847620,0.005584
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,39,201,39,0,1431,2040,0,3284520,0.004288
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,41,82,41,0,82,2359,0,3735218,0.004734
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,43,86,43,0,86,2495,0,3950530,0.005653
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,40,209,40,0,1499,2102,0,3385324,0.004357
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,42,84,42,0,84,2430,0,3847620,0.004804
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,44,88,44,0,88,2567,0,4064514,0.005725
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,41,217,41,0,1567,2158,0,3476636,0.004429
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,43,86,43,0,86,2495,0,3950530,0.004879
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,45,90,45,0,90,2638,0,4176916,0.005798
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,42,224,42,0,1624,2224,0,3583328,0.004503
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,44,88,44,0,88,2567,0,4064514,0.004951
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,46,92,46,0,92,2709,0,4289318,0.005874
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,43,232,43,0,1692,2285,0,3682550,0.004578
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,45,90,45,0,90,2638,0,4176916,0.005028
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,47,94,47,0,94,2780,0,4401720,0.005947
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,44,240,44,0,1760,2342,0,3775444,0.004651
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,46,92,46,0,92,2709,0,4289318,0.005099
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,48,96,48,0,96,2857,0,4523614,0.006020
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,45,246,45,0,1806,2403,0,3873786,0.004724
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,47,94,47,0,94,2780,0,4401720,0.005175
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,49,98,49,0,98,2933,0,4643926,0.006094
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,46,254,46,0,1874,2465,0,3974590,0.004800
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,48,96,48,0,96,2857,0,4523614,0.005248
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,50,100,50,0,100,3009,0,4764238,0.006167
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,47,263,47,0,1953,2526,0,4074252,0.004871
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,49,98,49,0,98,2933,0,4643926,0.005319
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,51,102,51,0,102,3079,0,4875058,0.006239
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,48,270,48,0,2010,2587,0,4173034,0.004943
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,50,100,50,0,100,3009,0,4764238,0.005390
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,52,104,52,0,104,3150,0,4987460,0.006312
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,49,278,49,0,2078,2653,0,4280166,0.005017
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,51,102,51,0,102,3079,0,4875058,0.005466
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,53,106,53,0,106,3221,0,5099862,0.006385
14,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,2,create,50,287,50,0,2157,2720,0,4389320,0.005089
13,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,1,create,52,104,52,0,104,3150,0,4987460,0.005536
12,bench_p26_rbyd,bench_p26_rbyd_create,8192,134217728,0,4,1,0,3,1,134217728,1,0,create,54,108,54,0,108,3292,0,5212264,0.006456
