i,suite,case,CHUNK,BLOCK_SIZE,FILE_COUNT,SKIP_WARMUP,DISK_GEOMETRY,NO_FRUNCATE,SIM_SIZE,FS,SIM_TIME,DISK_SIZE,SEED,SIZE,NO_SET,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
23,bench_p26_wt,bench_p26_wt_random,64,16384,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,30729088,0,0,0,0,0,0,9586320,1.273402
29,bench_p26_wt,bench_p26_wt_random,64,1048576,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,16598272,279633920,1114844,69888,279633920,285400064,286261248,3607554328576,1.333669
29,bench_p26_wt,bench_p26_wt_random,64,1048576,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,16598272,0,0,0,0,0,0,8688,1.333790
29,bench_p26_wt,bench_p26_wt_random,64,1048576,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,16598272,0,0,0,0,0,0,7152,1.333836
29,bench_p26_wt,bench_p26_wt_random,64,1048576,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,16598272,0,0,0,0,0,0,85620,1.333872
29,bench_p26_wt,bench_p26_wt_random,64,1048576,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,16598272,0,0,0,0,0,0,11634848,1.333908
21,bench_p26_wt,bench_p26_wt_random,64,4096,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,27764032,248210432,1117750,69723,248210432,286144000,285585408,3600049517568,1.364800
21,bench_p26_wt,bench_p26_wt_random,64,4096,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,27764032,0,0,0,0,0,0,8688,1.364925
21,bench_p26_wt,bench_p26_wt_random,64,4096,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,27764032,0,0,0,0,0,0,7152,1.364976
21,bench_p26_wt,bench_p26_wt_random,64,4096,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,27764032,0,0,0,0,0,0,587828,1.365022
21,bench_p26_wt,bench_p26_wt_random,64,4096,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,27764032,0,0,0,0,0,0,19280144,1.365070
28,bench_p26_wt,bench_p26_wt_random,64,524288,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,30924544,276685824,1116564,69760,276685824,285840384,285736960,3602373163008,1.465509
28,bench_p26_wt,bench_p26_wt_random,64,524288,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,30924544,0,0,0,0,0,0,8688,1.465626
28,bench_p26_wt,bench_p26_wt_random,64,524288,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,30924544,0,0,0,0,0,0,7152,1.465662
28,bench_p26_wt,bench_p26_wt_random,64,524288,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,30924544,0,0,0,0,0,0,110972,1.465692
28,bench_p26_wt,bench_p26_wt_random,64,524288,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,30924544,0,0,0,0,0,0,11733504,1.465720
25,bench_p26_wt,bench_p26_wt_random,64,65536,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,30728960,274938368,1117358,69712,274938368,286043648,285540352,3600464892928,1.481296
25,bench_p26_wt,bench_p26_wt_random,64,65536,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,30728960,0,0,0,0,0,0,8688,1.481406
25,bench_p26_wt,bench_p26_wt_random,64,65536,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,30728960,0,0,0,0,0,0,7152,1.481457
25,bench_p26_wt,bench_p26_wt_random,64,65536,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,30728960,0,0,0,0,0,0,101196,1.481503
25,bench_p26_wt,bench_p26_wt_random,64,65536,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,30728960,0,0,0,0,0,0,9822416,1.481547
27,bench_p26_wt,bench_p26_wt_random,64,262144,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,30923776,276679168,1117630,69760,276679168,286113280,285736960,3602804618240,1.497795
27,bench_p26_wt,bench_p26_wt_random,64,262144,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,30923776,0,0,0,0,0,0,8688,1.497897
27,bench_p26_wt,bench_p26_wt_random,64,262144,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,30923776,0,0,0,0,0,0,7152,1.497947
