i,suite,case,SIZE,NO_SET,FS,CHUNK,DISK_SIZE,SKIP_WARMUP,FILE_SIZE,SIM_SIZE,BLOCK_SIZE,FILE_COUNT,NO_FRUNCATE,SEED,SIM_TIME,DISK_GEOMETRY,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
21,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,4096,32768,0,42,3600000000000,1,ctx,163584,0,0,0,0,0,0,352,49.177151
21,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,4096,32768,0,42,3600000000000,1,heap,163584,0,0,0,0,0,0,2696,49.177196
21,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,4096,32768,0,42,3600000000000,1,usage,163584,0,0,0,0,0,0,20959733,49.177239
24,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,32768,32768,0,42,3600000000000,1,write,2963392,97375287,997439,1697,49856146944,510688768,55607296,3600115160064,58.613320
24,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,32768,32768,0,42,3600000000000,1,stack,2963392,0,0,0,0,0,0,1312,58.613437
24,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,32768,32768,0,42,3600000000000,1,ctx,2963392,0,0,0,0,0,0,352,58.621745
24,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,32768,32768,0,42,3600000000000,1,heap,2963392,0,0,0,0,0,0,2696,58.621821
24,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,32768,32768,0,42,3600000000000,1,usage,2963392,0,0,0,0,0,0,6597071,58.621870
27,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,262144,32768,0,42,3600000000000,1,write,5812224,90413630,1914293,796,46290970332,980118016,104333312,3600018640980,72.605205
27,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,262144,32768,0,42,3600000000000,1,stack,5812224,0,0,0,0,0,0,1312,72.605308
27,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,262144,32768,0,42,3600000000000,1,ctx,5812224,0,0,0,0,0,0,352,72.605359
27,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,262144,32768,0,42,3600000000000,1,heap,5812224,0,0,0,0,0,0,2696,72.605401
27,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,262144,32768,0,42,3600000000000,1,usage,5812224,0,0,0,0,0,0,6014597,72.605440
26,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,131072,32768,0,42,3600000000000,1,write,5768704,90519941,1900436,789,46344607052,973023232,103415808,3600039619748,79.095076
26,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,131072,32768,0,42,3600000000000,1,stack,5768704,0,0,0,0,0,0,1312,79.095179
26,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,131072,32768,0,42,3600000000000,1,ctx,5768704,0,0,0,0,0,0,352,79.095227
26,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,131072,32768,0,42,3600000000000,1,heap,5768704,0,0,0,0,0,0,2696,79.095268
26,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,131072,32768,0,42,3600000000000,1,usage,5768704,0,0,0,0,0,0,5759073,79.095307
28,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,524288,32768,0,42,3600000000000,1,write,5834944,90358557,1921430,804,46263173260,983772160,105381888,3600005402212,80.217329
28,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,524288,32768,0,42,3600000000000,1,stack,5834944,0,0,0,0,0,0,1312,80.217415
28,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,524288,32768,0,42,3600000000000,1,ctx,5834944,0,0,0,0,0,0,352,80.225989
28,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,524288,32768,0,42,3600000000000,1,heap,5834944,0,0,0,0,0,0,2696,80.226043
28,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,524288,32768,0,42,3600000000000,1,usage,5834944,0,0,0,0,0,0,6525645,80.226088
29,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,1048576,32768,0,42,3600000000000,1,write,5846400,90331130,1925022,808,46249333836,985611264,105906176,3600008697252,86.649647
29,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,1048576,32768,0,42,3600000000000,1,stack,5846400,0,0,0,0,0,0,1312,86.649729
29,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,1048576,32768,0,42,3600000000000,1,ctx,5846400,0,0,0,0,0,0,352,86.649767
29,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,1048576,32768,0,42,3600000000000,1,heap,5846400,0,0,0,0,0,0,2696,86.649803
29,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,1048576,32768,0,42,3600000000000,1,usage,5846400,0,0,0,0,0,0,7547741,86.649837
25,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,65536,32768,0,42,3600000000000,1,write,5680384,90729826,1872647,1554,46453670912,958795264,101842944,3600032794112,91.623049
25,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,65536,32768,0,42,3600000000000,1,stack,5680384,0,0,0,0,0,0,1312,91.623116
25,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,65536,32768,0,42,3600000000000,1,ctx,5680384,0,0,0,0,0,0,352,91.623146
25,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,65536,32768,0,42,3600000000000,1,heap,5680384,0,0,0,0,0,0,2696,91.623170
25,bench_p26_wt,bench_p26_wt_random,2097152,0,4,64,134217728,0,64,0,65536,32768,0,42,3600000000000,1,usage,5680384,0,0,0,0,0,0,5631311,91.623193
30,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,4096,32768,0,42,3600000000000,1,write,72768,105266310,7249,327,53316033002,3711488,1339392,3601931276894,35.316609
30,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,4096,32768,0,42,3600000000000,1,stack,72768,0,0,0,0,0,0,1488,35.316741
30,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,4096,32768,0,42,3600000000000,1,ctx,72768,0,0,0,0,0,0,560,35.316800
30,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,4096,32768,0,42,3600000000000,1,heap,72768,0,0,0,0,0,0,2696,35.316872
30,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,4096,32768,0,42,3600000000000,1,usage,72768,0,0,0,0,0,0,19971841,35.316922
31,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,8192,32768,0,42,3600000000000,1,write,140800,106051264,13876,296,52181561643,7104512,2424832,3601403895345,42.906658
31,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,8192,32768,0,42,3600000000000,1,stack,140800,0,0,0,0,0,0,1488,42.906779
31,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,8192,32768,0,42,3600000000000,1,ctx,140800,0,0,0,0,0,0,560,42.906839
31,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,8192,32768,0,42,3600000000000,1,heap,140800,0,0,0,0,0,0,2696,42.906889
31,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,8192,32768,0,42,3600000000000,1,usage,140800,0,0,0,0,0,0,12751779,42.906936
32,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,16384,32768,0,42,3600000000000,1,write,262080,108639461,26096,266,48619448390,13361152,4358144,3600532389170,65.861608
32,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,16384,32768,0,42,3600000000000,1,stack,262080,0,0,0,0,0,0,1488,65.861726
32,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,16384,32768,0,42,3600000000000,1,ctx,262080,0,0,0,0,0,0,560,65.861780
32,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,16384,32768,0,42,3600000000000,1,heap,262080,0,0,0,0,0,0,2696,65.861827
32,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,16384,32768,0,42,3600000000000,1,usage,262080,0,0,0,0,0,0,10376613,65.861871
35,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,131072,32768,0,42,3600000000000,1,write,606400,122898254,63106,76,29664510579,32310272,9961472,3600503921289,78.522063
35,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,131072,32768,0,42,3600000000000,1,stack,606400,0,0,0,0,0,0,1520,78.522186
35,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,131072,32768,0,42,3600000000000,1,ctx,606400,0,0,0,0,0,0,560,78.522238
35,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,131072,32768,0,42,3600000000000,1,heap,606400,0,0,0,0,0,0,2696,78.522284
35,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,131072,32768,0,42,3600000000000,1,usage,606400,0,0,0,0,0,0,11932895,78.522328
33,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,32768,32768,0,42,3600000000000,1,write,433920,114642543,44127,217,40603349919,22593024,7110656,3600480108237,81.022281
33,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,32768,32768,0,42,3600000000000,1,stack,433920,0,0,0,0,0,0,1488,81.022383
33,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,32768,32768,0,42,3600000000000,1,ctx,433920,0,0,0,0,0,0,560,81.022435
33,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,32768,32768,0,42,3600000000000,1,heap,433920,0,0,0,0,0,0,2696,81.022479
33,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,32768,32768,0,42,3600000000000,1,usage,433920,0,0,0,0,0,0,10653263,81.022521
37,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,524288,32768,0,42,3600000000000,1,write,602048,123045484,62532,80,29488489252,32016384,10485760,3600636703660,89.486303
37,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,524288,32768,0,42,3600000000000,1,stack,602048,0,0,0,0,0,0,1520,89.486506
37,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,524288,32768,0,42,3600000000000,1,ctx,602048,0,0,0,0,0,0,560,89.486561
37,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,524288,32768,0,42,3600000000000,1,heap,602048,0,0,0,0,0,0,2696,89.486616
37,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,524288,32768,0,42,3600000000000,1,usage,602048,0,0,0,0,0,0,12653191,89.486663
36,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,262144,32768,0,42,3600000000000,1,write,605312,122938823,62952,78,29593404365,32231424,10223616,3600113883191,89.487138
36,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,262144,32768,0,42,3600000000000,1,stack,605312,0,0,0,0,0,0,1520,89.487201
36,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,262144,32768,0,42,3600000000000,1,ctx,605312,0,0,0,0,0,0,560,89.487242
36,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,262144,32768,0,42,3600000000000,1,heap,605312,0,0,0,0,0,0,2696,89.487276
36,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,262144,32768,0,42,3600000000000,1,usage,605312,0,0,0,0,0,0,12174335,89.487308
38,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,1048576,32768,0,42,3600000000000,1,write,596608,123182056,61893,88,29317788154,31689216,11534336,3600599630734,97.868869
38,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,1048576,32768,0,42,3600000000000,1,stack,596608,0,0,0,0,0,0,1520,97.868962
38,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,1048576,32768,0,42,3600000000000,1,ctx,596608,0,0,0,0,0,0,560,97.869012
38,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,1048576,32768,0,42,3600000000000,1,heap,596608,0,0,0,0,0,0,2696,97.869046
38,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,1048576,32768,0,42,3600000000000,1,usage,596608,0,0,0,0,0,0,13613921,97.869083
34,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,65536,32768,0,42,3600000000000,1,write,606464,122827217,63187,151,29733068144,32351744,9895936,3600080752976,99.966317
34,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,65536,32768,0,42,3600000000000,1,stack,606464,0,0,0,0,0,0,1520,99.966387
34,bench_p26_wt,bench_p26_wt_many,2097152,0,4,64,134217728,0,64,0,65536,32768,0,42,3600000000000,1,ctx,606464,0,0,0,0,0,0,560,99.966418
