i,suite,case,SKIP_WARMUP,CHUNK,SIM_SIZE,FS,SIZE,FILE_COUNT,DISK_GEOMETRY,NO_SET,FILE_SIZE,SEED,DISK_SIZE,SIM_TIME,NO_FRUNCATE,BLOCK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
28,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,524288,usage,14336,0,0,0,0,0,0,3145728,20.544538
27,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,262144,write,15808,550993954,1079433,69824,550993954,276314445,285999104,3601187256583,20.846645
27,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,262144,stack,15808,0,0,0,0,0,0,1520,20.846727
27,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,262144,ctx,15808,0,0,0,0,0,0,384,20.846768
27,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,262144,heap,15808,0,0,0,0,0,0,784,20.846802
27,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,262144,usage,15808,0,0,0,0,0,0,2621440,20.846834
25,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,65536,write,17536,560806267,1099161,70192,560806267,281364020,287506432,3626128921620,21.487369
25,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,65536,stack,17536,0,0,0,0,0,0,1840,21.487454
25,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,65536,ctx,17536,0,0,0,0,0,0,384,21.487496
25,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,65536,heap,17536,0,0,0,0,0,0,784,21.487533
25,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,65536,usage,17536,0,0,0,0,0,0,2228224,21.487578
22,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,8192,write,18368,572206022,1118269,69974,572206022,286244057,286613504,3624513571339,21.644939
22,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,8192,stack,18368,0,0,0,0,0,0,1984,21.644997
22,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,8192,ctx,18368,0,0,0,0,0,0,384,21.645031
22,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,8192,heap,18368,0,0,0,0,0,0,784,21.645059
22,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,8192,usage,18368,0,0,0,0,0,0,2113536,21.645086
23,bench_p26_wt,bench_p26_wt_random,0,64,0,2,2097152,32768,0,0,64,42,134217728,3600000000000,0,16384,write,18176,567625925,1110742,69640,567625925,284323270,285245440,3606252557946,22.616264
