i,suite,case,FILE_COUNT,DISK_GEOMETRY,NO_SET,SIZE,CHUNK,SIM_TIME,BLOCK_SIZE,DISK_SIZE,FILE_SIZE,SEED,FS,NO_FRUNCATE,SIM_SIZE,SKIP_WARMUP,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
26,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,131072,134217728,64,42,5,0,0,0,heap,661735104,0,0,0,0,0,0,96260,15.634714
26,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,131072,134217728,64,42,5,0,0,0,usage,661735104,0,0,0,0,0,0,9749008,15.634755
27,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,262144,134217728,64,42,5,0,0,0,write,662912256,11664477,11972699,46764,5972212224,6130021888,6129451008,3600001081344,19.116469
27,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,262144,134217728,64,42,5,0,0,0,stack,662912256,0,0,0,0,0,0,8688,19.116627
27,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,262144,134217728,64,42,5,0,0,0,ctx,662912256,0,0,0,0,0,0,7152,19.116698
27,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,262144,134217728,64,42,5,0,0,0,heap,662912256,0,0,0,0,0,0,99060,19.116747
27,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,262144,134217728,64,42,5,0,0,0,usage,662912256,0,0,0,0,0,0,10311968,19.116796
28,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,524288,134217728,64,42,5,0,0,0,write,663472192,11674315,11971095,46804,5977249280,6129200640,6134693888,3600000834560,19.134187
28,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,524288,134217728,64,42,5,0,0,0,stack,663472192,0,0,0,0,0,0,8688,19.134286
28,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,524288,134217728,64,42,5,0,0,0,ctx,663472192,0,0,0,0,0,0,7152,19.134323
28,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,524288,134217728,64,42,5,0,0,0,heap,663472192,0,0,0,0,0,0,110972,19.134353
28,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,524288,134217728,64,42,5,0,0,0,usage,663472192,0,0,0,0,0,0,11733504,19.134381
23,bench_p26_wt,bench_p26_wt_random,32768,1,0,2097152,64,3600000000000,16384,134217728,64,42,5,0,0,0,write,659371456,11602079,11980706,374364,5940264448,6134121472,6133579776,3600001000960,19.304749
