i,suite,case,FS,CHUNK,FILE_COUNT,BLOCK_SIZE,SIM_SIZE,NO_FRUNCATE,FILE_SIZE,DISK_SIZE,NO_SET,SIM_TIME,DISK_GEOMETRY,SKIP_WARMUP,SEED,SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
21,bench_p26_wt,bench_p26_wt_random,2,64,32768,4096,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,307712,0,0,0,0,0,0,2121728,262.434689
22,bench_p26_wt,bench_p26_wt_random,2,64,32768,8192,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,322432,26883752,10250958,642147,10553538494,5248490496,5260468224,3601104025370,276.035410
22,bench_p26_wt,bench_p26_wt_random,2,64,32768,8192,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,322432,0,0,0,0,0,0,1984,276.035534
22,bench_p26_wt,bench_p26_wt_random,2,64,32768,8192,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,322432,0,0,0,0,0,0,384,276.035587
22,bench_p26_wt,bench_p26_wt_random,2,64,32768,8192,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,322432,0,0,0,0,0,0,1552,276.035637
22,bench_p26_wt,bench_p26_wt_random,2,64,32768,8192,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,322432,0,0,0,0,0,0,2138112,276.035684
23,bench_p26_wt,bench_p26_wt_random,2,64,32768,16384,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,330752,23661689,10527819,330714,10806575598,5390243328,5418418176,3600964245162,281.009766
23,bench_p26_wt,bench_p26_wt_random,2,64,32768,16384,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,330752,0,0,0,0,0,0,1984,281.009865
23,bench_p26_wt,bench_p26_wt_random,2,64,32768,16384,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,330752,0,0,0,0,0,0,384,281.009917
23,bench_p26_wt,bench_p26_wt_random,2,64,32768,16384,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,330752,0,0,0,0,0,0,1552,281.009962
23,bench_p26_wt,bench_p26_wt_random,2,64,32768,16384,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,330752,0,0,0,0,0,0,2179072,281.010005
29,bench_p26_wt,bench_p26_wt_random,2,64,32768,1048576,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,225216,21481081,10715251,42056,10976882317,5486208512,5512364032,3600672986743,359.398239
29,bench_p26_wt,bench_p26_wt_random,2,64,32768,1048576,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,225216,0,0,0,0,0,0,1536,359.398345
29,bench_p26_wt,bench_p26_wt_random,2,64,32768,1048576,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,225216,0,0,0,0,0,0,384,359.398396
29,bench_p26_wt,bench_p26_wt_random,2,64,32768,1048576,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,225216,0,0,0,0,0,0,1552,359.398439
29,bench_p26_wt,bench_p26_wt_random,2,64,32768,1048576,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,225216,0,0,0,0,0,0,4194304,359.398482
28,bench_p26_wt,bench_p26_wt_random,2,64,32768,524288,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,269696,21600912,10698386,43016,10976965441,5477573632,5638193152,3601129085395,374.215679
28,bench_p26_wt,bench_p26_wt_random,2,64,32768,524288,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,269696,0,0,0,0,0,0,1536,374.215779
28,bench_p26_wt,bench_p26_wt_random,2,64,32768,524288,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,269696,0,0,0,0,0,0,384,374.215827
28,bench_p26_wt,bench_p26_wt_random,2,64,32768,524288,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,269696,0,0,0,0,0,0,1552,374.215870
28,bench_p26_wt,bench_p26_wt_random,2,64,32768,524288,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,269696,0,0,0,0,0,0,3670016,374.215912
26,bench_p26_wt,bench_p26_wt_random,2,64,32768,131072,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,318016,21571114,10701957,43010,10959339403,5479401984,5637406720,3600977053009,379.234678
26,bench_p26_wt,bench_p26_wt_random,2,64,32768,131072,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,318016,0,0,0,0,0,0,1840,379.234774
26,bench_p26_wt,bench_p26_wt_random,2,64,32768,131072,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,318016,0,0,0,0,0,0,384,379.243092
26,bench_p26_wt,bench_p26_wt_random,2,64,32768,131072,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,318016,0,0,0,0,0,0,1552,379.243163
26,bench_p26_wt,bench_p26_wt_random,2,64,32768,131072,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,318016,0,0,0,0,0,0,2490368,379.243205
27,bench_p26_wt,bench_p26_wt_random,2,64,32768,262144,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,300544,21474401,10705524,43496,10962001420,5481228288,5701107712,3600532263652,382.064643
27,bench_p26_wt,bench_p26_wt_random,2,64,32768,262144,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,300544,0,0,0,0,0,0,1840,382.064727
27,bench_p26_wt,bench_p26_wt_random,2,64,32768,262144,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,300544,0,0,0,0,0,0,384,382.064766
27,bench_p26_wt,bench_p26_wt_random,2,64,32768,262144,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,300544,0,0,0,0,0,0,1552,382.064812
27,bench_p26_wt,bench_p26_wt_random,2,64,32768,262144,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,300544,0,0,0,0,0,0,2883584,382.064844
24,bench_p26_wt,bench_p26_wt_random,2,64,32768,32768,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,331712,22339682,10642460,168105,10906551424,5448939520,5508464640,3601483808128,386.450303
24,bench_p26_wt,bench_p26_wt_random,2,64,32768,32768,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,331712,0,0,0,0,0,0,1984,386.450384
24,bench_p26_wt,bench_p26_wt_random,2,64,32768,32768,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,331712,0,0,0,0,0,0,384,386.450421
24,bench_p26_wt,bench_p26_wt_random,2,64,32768,32768,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,331712,0,0,0,0,0,0,1552,386.450454
24,bench_p26_wt,bench_p26_wt_random,2,64,32768,32768,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,331712,0,0,0,0,0,0,2260992,386.450487
25,bench_p26_wt,bench_p26_wt_random,2,64,32768,65536,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,327872,21799140,10689132,85014,10948292126,5472835584,5571477504,3602053018682,397.059797
25,bench_p26_wt,bench_p26_wt_random,2,64,32768,65536,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,327872,0,0,0,0,0,0,1840,397.059867
25,bench_p26_wt,bench_p26_wt_random,2,64,32768,65536,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,327872,0,0,0,0,0,0,384,397.059898
25,bench_p26_wt,bench_p26_wt_random,2,64,32768,65536,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,327872,0,0,0,0,0,0,1552,397.059923
25,bench_p26_wt,bench_p26_wt_random,2,64,32768,65536,0,0,64,134217728,0,3600000000000,1,0,42,2097152,usage,327872,0,0,0,0,0,0,2293760,397.059946
37,bench_p26_wt,bench_p26_wt_many,2,64,32768,524288,0,0,64,134217728,0,3600000000000,1,0,42,2097152,write,250368,162333552,8136,72,3335700604,4165632,9437184,4055141218612,26.159533
37,bench_p26_wt,bench_p26_wt_many,2,64,32768,524288,0,0,64,134217728,0,3600000000000,1,0,42,2097152,stack,250368,0,0,0,0,0,0,2288,26.159638
37,bench_p26_wt,bench_p26_wt_many,2,64,32768,524288,0,0,64,134217728,0,3600000000000,1,0,42,2097152,ctx,250368,0,0,0,0,0,0,640,26.159688
37,bench_p26_wt,bench_p26_wt_many,2,64,32768,524288,0,0,64,134217728,0,3600000000000,1,0,42,2097152,heap,250368,0,0,0,0,0,0,1552,26.159733
