i,suite,case,SIZE,NO_SET,BLOCK_SIZE,SKIP_WARMUP,CHUNK,FS,SEED,FILE_COUNT,SIM_SIZE,FILE_SIZE,DISK_SIZE,SIM_TIME,DISK_GEOMETRY,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
22,bench_p26_wt,bench_p26_wt_random,2097152,0,8192,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,usage,6621696,0,0,0,0,0,0,4358144,9.217160
21,bench_p26_wt,bench_p26_wt_random,2097152,0,4096,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,7800256,843240476,2023461,61169,843240476,219014615,250548224,3600057088597,10.559229
21,bench_p26_wt,bench_p26_wt_random,2097152,0,4096,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,stack,7800256,0,0,0,0,0,0,3296,10.559304
21,bench_p26_wt,bench_p26_wt_random,2097152,0,4096,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,ctx,7800256,0,0,0,0,0,0,608,10.559334
21,bench_p26_wt,bench_p26_wt_random,2097152,0,4096,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,7800256,0,0,0,0,0,0,784,10.559358
21,bench_p26_wt,bench_p26_wt_random,2097152,0,4096,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,usage,7800256,0,0,0,0,0,0,4820992,10.559381
31,bench_p26_wt,bench_p26_wt_many,2097152,0,8192,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,60030592,9532883624,1779040,55618,9532883624,217171148,227811328,3600020563300,65.870270
31,bench_p26_wt,bench_p26_wt_many,2097152,0,8192,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,stack,60030592,0,0,0,0,0,0,3488,65.870371
31,bench_p26_wt,bench_p26_wt_many,2097152,0,8192,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,ctx,60030592,0,0,0,0,0,0,848,65.870422
31,bench_p26_wt,bench_p26_wt_many,2097152,0,8192,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,60030592,0,0,0,0,0,0,784,65.870466
31,bench_p26_wt,bench_p26_wt_many,2097152,0,8192,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,usage,60030592,0,0,0,0,0,0,32161792,65.870507
30,bench_p26_wt,bench_p26_wt_many,2097152,0,4096,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,65273856,6305946422,1881890,57569,6305946422,223237770,235802624,3600003883694,81.537942
30,bench_p26_wt,bench_p26_wt_many,2097152,0,4096,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,stack,65273856,0,0,0,0,0,0,3488,81.538043
30,bench_p26_wt,bench_p26_wt_many,2097152,0,4096,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,ctx,65273856,0,0,0,0,0,0,848,81.538093
30,bench_p26_wt,bench_p26_wt_many,2097152,0,4096,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,65273856,0,0,0,0,0,0,784,81.538136
30,bench_p26_wt,bench_p26_wt_many,2097152,0,4096,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,usage,65273856,0,0,0,0,0,0,31920128,81.538177
32,bench_p26_wt,bench_p26_wt_many,2097152,0,16384,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,53459072,14779649969,1628758,52296,14779649969,204675866,214204416,3600036235414,124.196236
32,bench_p26_wt,bench_p26_wt_many,2097152,0,16384,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,stack,53459072,0,0,0,0,0,0,3488,124.196336
32,bench_p26_wt,bench_p26_wt_many,2097152,0,16384,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,ctx,53459072,0,0,0,0,0,0,848,124.196385
32,bench_p26_wt,bench_p26_wt_many,2097152,0,16384,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,heap,53459072,0,0,0,0,0,0,784,124.196428
32,bench_p26_wt,bench_p26_wt_many,2097152,0,16384,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,usage,53459072,0,0,0,0,0,0,32505856,124.196469
33,bench_p26_wt,bench_p26_wt_many,2097152,0,32768,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,write,45625280,23404797983,1417617,46520,23404797983,181341318,190545920,3600203136458,198.991606
33,bench_p26_wt,bench_p26_wt_many,2097152,0,32768,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,stack,45625280,0,0,0,0,0,0,3488,198.991724
33,bench_p26_wt,bench_p26_wt_many,2097152,0,32768,0,64,3,42,32768,0,64,134217728,3600000000000,0,0,ctx,45625280,0,0,0,0,0,0,848,198.991774
