i,suite,case,NO_SET,BLOCK_SIZE,SIZE,FILE_COUNT,CHUNK,DISK_SIZE,FILE_SIZE,SEED,SIM_SIZE,FS,SIM_TIME,SKIP_WARMUP,DISK_GEOMETRY,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
26,bench_p26_wt,bench_p26_wt_random,0,131072,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,13076096,0,0,0,0,0,0,608,25.119422
26,bench_p26_wt,bench_p26_wt_random,0,131072,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,13076096,0,0,0,0,0,0,1296,25.119466
26,bench_p26_wt,bench_p26_wt_random,0,131072,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,13076096,0,0,0,0,0,0,5373952,25.119506
22,bench_p26_wt,bench_p26_wt_random,0,8192,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,6129600,132208319,1151685,79563,2225510213,589662720,651780096,3600172042271,27.740789
22,bench_p26_wt,bench_p26_wt_random,0,8192,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,6129600,0,0,0,0,0,0,3296,27.740886
22,bench_p26_wt,bench_p26_wt_random,0,8192,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,6129600,0,0,0,0,0,0,608,27.740936
22,bench_p26_wt,bench_p26_wt_random,0,8192,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,6129600,0,0,0,0,0,0,1296,27.740980
22,bench_p26_wt,bench_p26_wt_random,0,8192,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,6129600,0,0,0,0,0,0,4489216,27.741022
29,bench_p26_wt,bench_p26_wt_random,0,1048576,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,22199488,82109368,5382661,59720,3575569445,2755922432,7827619840,3600522618047,31.777093
29,bench_p26_wt,bench_p26_wt_random,0,1048576,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,22199488,0,0,0,0,0,0,3312,31.777195
29,bench_p26_wt,bench_p26_wt_random,0,1048576,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,22199488,0,0,0,0,0,0,608,31.777244
29,bench_p26_wt,bench_p26_wt_random,0,1048576,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,22199488,0,0,0,0,0,0,1296,31.777286
29,bench_p26_wt,bench_p26_wt_random,0,1048576,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,22199488,0,0,0,0,0,0,19922944,31.777326
23,bench_p26_wt,bench_p26_wt_random,0,16384,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,12106368,121107193,2128087,73288,2810778510,1089580544,1200750592,3600163761546,33.494425
23,bench_p26_wt,bench_p26_wt_random,0,16384,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,12106368,0,0,0,0,0,0,3296,33.494523
23,bench_p26_wt,bench_p26_wt_random,0,16384,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,12106368,0,0,0,0,0,0,608,33.502796
23,bench_p26_wt,bench_p26_wt_random,0,16384,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,12106368,0,0,0,0,0,0,1296,33.502846
23,bench_p26_wt,bench_p26_wt_random,0,16384,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,12106368,0,0,0,0,0,0,4259840,33.502885
27,bench_p26_wt,bench_p26_wt_random,0,262144,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,17971584,103021635,3744568,19928,3022676829,1917218816,2612002816,3600500543463,33.542026
27,bench_p26_wt,bench_p26_wt_random,0,262144,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,17971584,0,0,0,0,0,0,3280,33.542095
27,bench_p26_wt,bench_p26_wt_random,0,262144,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,17971584,0,0,0,0,0,0,608,33.542139
27,bench_p26_wt,bench_p26_wt_random,0,262144,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,17971584,0,0,0,0,0,0,1296,33.542175
27,bench_p26_wt,bench_p26_wt_random,0,262144,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,17971584,0,0,0,0,0,0,6029312,33.542210
25,bench_p26_wt,bench_p26_wt_random,0,65536,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,13377600,113838952,2772798,23941,3123646549,1419672576,1568997376,3600364325455,35.138536
25,bench_p26_wt,bench_p26_wt_random,0,65536,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,13377600,0,0,0,0,0,0,3296,35.138614
25,bench_p26_wt,bench_p26_wt_random,0,65536,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,13377600,0,0,0,0,0,0,608,35.138652
25,bench_p26_wt,bench_p26_wt_random,0,65536,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,13377600,0,0,0,0,0,0,1296,35.138691
25,bench_p26_wt,bench_p26_wt_random,0,65536,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,13377600,0,0,0,0,0,0,4587520,35.138721
24,bench_p26_wt,bench_p26_wt_random,0,32768,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,write,13907392,115703933,2605744,44620,3069889331,1334140928,1462108160,3600208827593,35.284298
24,bench_p26_wt,bench_p26_wt_random,0,32768,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,stack,13907392,0,0,0,0,0,0,3200,35.284373
24,bench_p26_wt,bench_p26_wt_random,0,32768,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,ctx,13907392,0,0,0,0,0,0,608,35.284410
24,bench_p26_wt,bench_p26_wt_random,0,32768,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,heap,13907392,0,0,0,0,0,0,1296,35.284441
24,bench_p26_wt,bench_p26_wt_random,0,32768,2097152,32768,64,134217728,64,42,0,3,3600000000000,0,1,0,usage,13907392,0,0,0,0,0,0,4325376,35.284470
