i,suite,case,SIM_SIZE,FILE_SIZE,NO_FRUNCATE,DISK_GEOMETRY,FILE_COUNT,FS,NO_SET,SKIP_WARMUP,SIM_TIME,SEED,SIZE,CHUNK,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
27,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,524288,3,0,0,3600000000000,42,33554432,64,134217728,usage,239378752,0,0,0,0,0,0,4780032,5.077226
28,bench_p26_wt,bench_p26_wt_random,0,64,0,0,16,3,0,0,3600000000000,42,1024,64,134217728,write,12744448,108020768,850642,72304,108020768,94833936,296157184,3600071181104,6.446048
28,bench_p26_wt,bench_p26_wt_random,0,64,0,0,16,3,0,0,3600000000000,42,1024,64,134217728,stack,12744448,0,0,0,0,0,0,3248,6.446180
28,bench_p26_wt,bench_p26_wt_random,0,64,0,0,16,3,0,0,3600000000000,42,1024,64,134217728,ctx,12744448,0,0,0,0,0,0,608,6.446238
28,bench_p26_wt,bench_p26_wt_random,0,64,0,0,16,3,0,0,3600000000000,42,1024,64,134217728,heap,12744448,0,0,0,0,0,0,784,6.446287
28,bench_p26_wt,bench_p26_wt_random,0,64,0,0,16,3,0,0,3600000000000,42,1024,64,134217728,usage,12744448,0,0,0,0,0,0,32768,6.446348
29,bench_p26_wt,bench_p26_wt_random,0,64,0,0,32,3,0,0,3600000000000,42,2048,64,134217728,write,13801280,176093921,1126931,69772,176093921,129098167,285786112,3600059495613,8.065293
29,bench_p26_wt,bench_p26_wt_random,0,64,0,0,32,3,0,0,3600000000000,42,2048,64,134217728,stack,13801280,0,0,0,0,0,0,3280,8.065426
29,bench_p26_wt,bench_p26_wt_random,0,64,0,0,32,3,0,0,3600000000000,42,2048,64,134217728,ctx,13801280,0,0,0,0,0,0,608,8.065484
29,bench_p26_wt,bench_p26_wt_random,0,64,0,0,32,3,0,0,3600000000000,42,2048,64,134217728,heap,13801280,0,0,0,0,0,0,784,8.065534
29,bench_p26_wt,bench_p26_wt_random,0,64,0,0,32,3,0,0,3600000000000,42,2048,64,134217728,usage,13801280,0,0,0,0,0,0,28672,8.065580
30,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,3,0,0,3600000000000,42,4096,64,134217728,write,14376128,281119926,1470183,66607,281119926,175940786,272822272,3600074535590,9.806706
30,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,3,0,0,3600000000000,42,4096,64,134217728,stack,14376128,0,0,0,0,0,0,3248,9.806921
30,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,3,0,0,3600000000000,42,4096,64,134217728,ctx,14376128,0,0,0,0,0,0,608,9.806979
30,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,3,0,0,3600000000000,42,4096,64,134217728,heap,14376128,0,0,0,0,0,0,784,9.807028
30,bench_p26_wt,bench_p26_wt_random,0,64,0,0,64,3,0,0,3600000000000,42,4096,64,134217728,usage,14376128,0,0,0,0,0,0,32768,9.807073
31,bench_p26_wt,bench_p26_wt_random,0,64,0,0,128,3,0,0,3600000000000,42,8192,64,134217728,write,12166272,426889892,1678395,64616,426889892,196641469,264667136,3600017774247,11.815964
31,bench_p26_wt,bench_p26_wt_random,0,64,0,0,128,3,0,0,3600000000000,42,8192,64,134217728,stack,12166272,0,0,0,0,0,0,3248,11.816090
31,bench_p26_wt,bench_p26_wt_random,0,64,0,0,128,3,0,0,3600000000000,42,8192,64,134217728,ctx,12166272,0,0,0,0,0,0,608,11.816148
31,bench_p26_wt,bench_p26_wt_random,0,64,0,0,128,3,0,0,3600000000000,42,8192,64,134217728,heap,12166272,0,0,0,0,0,0,784,11.816197
31,bench_p26_wt,bench_p26_wt_random,0,64,0,0,128,3,0,0,3600000000000,42,8192,64,134217728,usage,12166272,0,0,0,0,0,0,45056,11.816243
32,bench_p26_wt,bench_p26_wt_random,0,64,0,0,256,3,0,0,3600000000000,42,16384,64,134217728,write,10576960,550103759,1881526,62698,550103759,205692218,256811008,3600089271718,13.556133
32,bench_p26_wt,bench_p26_wt_random,0,64,0,0,256,3,0,0,3600000000000,42,16384,64,134217728,stack,10576960,0,0,0,0,0,0,3248,13.556268
32,bench_p26_wt,bench_p26_wt_random,0,64,0,0,256,3,0,0,3600000000000,42,16384,64,134217728,ctx,10576960,0,0,0,0,0,0,608,13.556323
32,bench_p26_wt,bench_p26_wt_random,0,64,0,0,256,3,0,0,3600000000000,42,16384,64,134217728,heap,10576960,0,0,0,0,0,0,784,13.556370
32,bench_p26_wt,bench_p26_wt_random,0,64,0,0,256,3,0,0,3600000000000,42,16384,64,134217728,usage,10576960,0,0,0,0,0,0,57344,13.556413
33,bench_p26_wt,bench_p26_wt_random,0,64,0,0,512,3,0,0,3600000000000,42,32768,64,134217728,write,10080256,593962333,1924312,62276,593962333,212310687,255082496,3600099809365,14.365981
33,bench_p26_wt,bench_p26_wt_random,0,64,0,0,512,3,0,0,3600000000000,42,32768,64,134217728,stack,10080256,0,0,0,0,0,0,3248,14.374405
33,bench_p26_wt,bench_p26_wt_random,0,64,0,0,512,3,0,0,3600000000000,42,32768,64,134217728,ctx,10080256,0,0,0,0,0,0,608,14.374474
33,bench_p26_wt,bench_p26_wt_random,0,64,0,0,512,3,0,0,3600000000000,42,32768,64,134217728,heap,10080256,0,0,0,0,0,0,784,14.374525
33,bench_p26_wt,bench_p26_wt_random,0,64,0,0,512,3,0,0,3600000000000,42,32768,64,134217728,usage,10080256,0,0,0,0,0,0,94208,14.374571
35,bench_p26_wt,bench_p26_wt_random,0,64,0,0,2048,3,0,0,3600000000000,42,131072,64,134217728,write,9659648,629397549,1934821,62149,629397549,218528235,254562304,3600125467257,14.516512
35,bench_p26_wt,bench_p26_wt_random,0,64,0,0,2048,3,0,0,3600000000000,42,131072,64,134217728,stack,9659648,0,0,0,0,0,0,3296,14.516614
35,bench_p26_wt,bench_p26_wt_random,0,64,0,0,2048,3,0,0,3600000000000,42,131072,64,134217728,ctx,9659648,0,0,0,0,0,0,608,14.516679
35,bench_p26_wt,bench_p26_wt_random,0,64,0,0,2048,3,0,0,3600000000000,42,131072,64,134217728,heap,9659648,0,0,0,0,0,0,784,14.516724
35,bench_p26_wt,bench_p26_wt_random,0,64,0,0,2048,3,0,0,3600000000000,42,131072,64,134217728,usage,9659648,0,0,0,0,0,0,327680,14.516765
34,bench_p26_wt,bench_p26_wt_random,0,64,0,0,1024,3,0,0,3600000000000,42,65536,64,134217728,write,9716608,637871473,1922243,62253,637871473,216630970,254988288,3600075426422,15.002188
