i,suite,case,SIM_SIZE,NO_FRUNCATE,FILE_COUNT,FS,SIM_TIME,SKIP_WARMUP,SIZE,CHUNK,FILE_SIZE,DISK_SIZE,DISK_GEOMETRY,SEED,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
31,bench_p26_wt,bench_p26_wt_random,0,0,128,4,3600000000000,0,8192,64,64,134217728,1,42,ctx,37591168,0,0,0,0,0,0,352,36.501837
31,bench_p26_wt,bench_p26_wt_random,0,0,128,4,3600000000000,0,8192,64,64,134217728,1,42,heap,37591168,0,0,0,0,0,0,2696,36.501891
31,bench_p26_wt,bench_p26_wt_random,0,0,128,4,3600000000000,0,8192,64,64,134217728,1,42,usage,37591168,0,0,0,0,0,0,3653515,36.501939
28,bench_p26_wt,bench_p26_wt_random,0,0,16,4,3600000000000,0,1024,64,64,134217728,1,42,write,37586816,13242316,12081947,4910,6770089180,6185956864,643563520,3600008435284,36.836735
28,bench_p26_wt,bench_p26_wt_random,0,0,16,4,3600000000000,0,1024,64,64,134217728,1,42,stack,37586816,0,0,0,0,0,0,1312,36.836867
28,bench_p26_wt,bench_p26_wt_random,0,0,16,4,3600000000000,0,1024,64,64,134217728,1,42,ctx,37586816,0,0,0,0,0,0,352,36.836925
28,bench_p26_wt,bench_p26_wt_random,0,0,16,4,3600000000000,0,1024,64,64,134217728,1,42,heap,37586816,0,0,0,0,0,0,2696,36.836974
28,bench_p26_wt,bench_p26_wt_random,0,0,16,4,3600000000000,0,1024,64,64,134217728,1,42,usage,37586816,0,0,0,0,0,0,3646473,36.837020
30,bench_p26_wt,bench_p26_wt_random,0,0,64,4,3600000000000,0,4096,64,64,134217728,1,42,write,37589568,13244618,12081629,4911,6771265772,6185794048,643694592,3600006782852,36.973208
30,bench_p26_wt,bench_p26_wt_random,0,0,64,4,3600000000000,0,4096,64,64,134217728,1,42,stack,37589568,0,0,0,0,0,0,1312,36.973342
30,bench_p26_wt,bench_p26_wt_random,0,0,64,4,3600000000000,0,4096,64,64,134217728,1,42,ctx,37589568,0,0,0,0,0,0,352,36.973401
30,bench_p26_wt,bench_p26_wt_random,0,0,64,4,3600000000000,0,4096,64,64,134217728,1,42,heap,37589568,0,0,0,0,0,0,2696,36.973451
30,bench_p26_wt,bench_p26_wt_random,0,0,64,4,3600000000000,0,4096,64,64,134217728,1,42,usage,37589568,0,0,0,0,0,0,3649491,36.973509
32,bench_p26_wt,bench_p26_wt_random,0,0,256,4,3600000000000,0,16384,64,64,134217728,1,42,write,37579392,13244564,12081829,4911,6771238124,6185896448,643694592,3600056847236,39.068101
32,bench_p26_wt,bench_p26_wt_random,0,0,256,4,3600000000000,0,16384,64,64,134217728,1,42,stack,37579392,0,0,0,0,0,0,1312,39.068222
32,bench_p26_wt,bench_p26_wt_random,0,0,256,4,3600000000000,0,16384,64,64,134217728,1,42,ctx,37579392,0,0,0,0,0,0,352,39.068279
32,bench_p26_wt,bench_p26_wt_random,0,0,256,4,3600000000000,0,16384,64,64,134217728,1,42,heap,37579392,0,0,0,0,0,0,2696,39.068330
32,bench_p26_wt,bench_p26_wt_random,0,0,256,4,3600000000000,0,16384,64,64,134217728,1,42,usage,37579392,0,0,0,0,0,0,3661563,39.068393
29,bench_p26_wt,bench_p26_wt_random,0,0,32,4,3600000000000,0,2048,64,64,134217728,1,42,write,37593024,13244462,12081653,4911,6771185900,6185806336,643694592,3600007661444,40.653099
29,bench_p26_wt,bench_p26_wt_random,0,0,32,4,3600000000000,0,2048,64,64,134217728,1,42,stack,37593024,0,0,0,0,0,0,1312,40.653220
29,bench_p26_wt,bench_p26_wt_random,0,0,32,4,3600000000000,0,2048,64,64,134217728,1,42,ctx,37593024,0,0,0,0,0,0,352,40.653293
29,bench_p26_wt,bench_p26_wt_random,0,0,32,4,3600000000000,0,2048,64,64,134217728,1,42,heap,37593024,0,0,0,0,0,0,2696,40.653345
29,bench_p26_wt,bench_p26_wt_random,0,0,32,4,3600000000000,0,2048,64,64,134217728,1,42,usage,37593024,0,0,0,0,0,0,3647479,40.653405
35,bench_p26_wt,bench_p26_wt_random,0,0,2048,4,3600000000000,0,131072,64,64,134217728,1,42,write,18464192,59837700,5943106,2417,30631991564,3042870272,316801024,3600066398180,94.562814
35,bench_p26_wt,bench_p26_wt_random,0,0,2048,4,3600000000000,0,131072,64,64,134217728,1,42,stack,18464192,0,0,0,0,0,0,1312,94.562957
35,bench_p26_wt,bench_p26_wt_random,0,0,2048,4,3600000000000,0,131072,64,64,134217728,1,42,ctx,18464192,0,0,0,0,0,0,352,94.563021
35,bench_p26_wt,bench_p26_wt_random,0,0,2048,4,3600000000000,0,131072,64,64,134217728,1,42,heap,18464192,0,0,0,0,0,0,2696,94.563073
35,bench_p26_wt,bench_p26_wt_random,0,0,2048,4,3600000000000,0,131072,64,64,134217728,1,42,usage,18464192,0,0,0,0,0,0,3777253,94.563122
38,bench_p26_wt,bench_p26_wt_random,0,0,16384,4,3600000000000,0,1048576,64,64,134217728,1,42,write,6133504,89809833,1994105,820,45980968764,1020981760,107479040,3600054800244,128.083459
38,bench_p26_wt,bench_p26_wt_random,0,0,16384,4,3600000000000,0,1048576,64,64,134217728,1,42,stack,6133504,0,0,0,0,0,0,1312,128.083587
38,bench_p26_wt,bench_p26_wt_random,0,0,16384,4,3600000000000,0,1048576,64,64,134217728,1,42,ctx,6133504,0,0,0,0,0,0,352,128.083653
38,bench_p26_wt,bench_p26_wt_random,0,0,16384,4,3600000000000,0,1048576,64,64,134217728,1,42,heap,6133504,0,0,0,0,0,0,2696,128.083716
38,bench_p26_wt,bench_p26_wt_random,0,0,16384,4,3600000000000,0,1048576,64,64,134217728,1,42,usage,6133504,0,0,0,0,0,0,4701767,128.083771
39,bench_p26_wt,bench_p26_wt_random,0,0,32768,4,3600000000000,0,2097152,64,64,134217728,1,42,write,5768704,90519941,1900436,789,46344607052,973023232,103415808,3600039619748,140.485516
39,bench_p26_wt,bench_p26_wt_random,0,0,32768,4,3600000000000,0,2097152,64,64,134217728,1,42,stack,5768704,0,0,0,0,0,0,1312,140.485620
39,bench_p26_wt,bench_p26_wt_random,0,0,32768,4,3600000000000,0,2097152,64,64,134217728,1,42,ctx,5768704,0,0,0,0,0,0,352,140.485668
39,bench_p26_wt,bench_p26_wt_random,0,0,32768,4,3600000000000,0,2097152,64,64,134217728,1,42,heap,5768704,0,0,0,0,0,0,2696,140.485707
39,bench_p26_wt,bench_p26_wt_random,0,0,32768,4,3600000000000,0,2097152,64,64,134217728,1,42,usage,5768704,0,0,0,0,0,0,5759073,140.485744
36,bench_p26_wt,bench_p26_wt_random,0,0,4096,4,3600000000000,0,262144,64,64,134217728,1,42,write,8901312,83166224,2869334,1169,42578731788,1469099008,153223168,3600020569572,142.489006
36,bench_p26_wt,bench_p26_wt_random,0,0,4096,4,3600000000000,0,262144,64,64,134217728,1,42,stack,8901312,0,0,0,0,0,0,1312,142.489121
36,bench_p26_wt,bench_p26_wt_random,0,0,4096,4,3600000000000,0,262144,64,64,134217728,1,42,ctx,8901312,0,0,0,0,0,0,352,142.489181
36,bench_p26_wt,bench_p26_wt_random,0,0,4096,4,3600000000000,0,262144,64,64,134217728,1,42,heap,8901312,0,0,0,0,0,0,2696,142.489231
36,bench_p26_wt,bench_p26_wt_random,0,0,4096,4,3600000000000,0,262144,64,64,134217728,1,42,usage,8901312,0,0,0,0,0,0,3909542,142.489280
40,bench_p26_wt,bench_p26_wt_random,0,0,65536,4,3600000000000,0,4194304,64,64,134217728,1,42,write,5532032,90770129,1867220,792,46472697212,956016640,103809024,3600005509172,109.516483
40,bench_p26_wt,bench_p26_wt_random,0,0,65536,4,3600000000000,0,4194304,64,64,134217728,1,42,stack,5532032,0,0,0,0,0,0,1312,109.516598
40,bench_p26_wt,bench_p26_wt_random,0,0,65536,4,3600000000000,0,4194304,64,64,134217728,1,42,ctx,5532032,0,0,0,0,0,0,352,109.516652
40,bench_p26_wt,bench_p26_wt_random,0,0,65536,4,3600000000000,0,4194304,64,64,134217728,1,42,heap,5532032,0,0,0,0,0,0,2696,109.516699
40,bench_p26_wt,bench_p26_wt_random,0,0,65536,4,3600000000000,0,4194304,64,64,134217728,1,42,usage,5532032,0,0,0,0,0,0,7872679,109.516744
43,bench_p26_wt,bench_p26_wt_random,0,0,524288,4,3600000000000,0,33554432,64,64,134217728,1,42,write,4265984,89190652,2073882,1098,45660906927,1061827584,143917056,3600012036093,114.028149
43,bench_p26_wt,bench_p26_wt_random,0,0,524288,4,3600000000000,0,33554432,64,64,134217728,1,42,stack,4265984,0,0,0,0,0,0,1616,114.028273
43,bench_p26_wt,bench_p26_wt_random,0,0,524288,4,3600000000000,0,33554432,64,64,134217728,1,42,ctx,4265984,0,0,0,0,0,0,352,114.028331
43,bench_p26_wt,bench_p26_wt_random,0,0,524288,4,3600000000000,0,33554432,64,64,134217728,1,42,heap,4265984,0,0,0,0,0,0,2696,114.028378
43,bench_p26_wt,bench_p26_wt_random,0,0,524288,4,3600000000000,0,33554432,64,64,134217728,1,42,usage,4265984,0,0,0,0,0,0,37466684,114.028430
