i,suite,case,CHUNK,FILE_SIZE,FILE_COUNT,SIM_TIME,SEED,NO_FRUNCATE,FS,SKIP_WARMUP,NO_SET,SIM_SIZE,DISK_GEOMETRY,SIZE,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
38,bench_p26_wt,bench_p26_wt_random,64,64,16384,3600000000000,42,0,3,0,0,0,1,1048576,134217728,write,16735744,111697230,2980261,14899,2770021903,1525893632,1952841728,3600622237981,39.640635
38,bench_p26_wt,bench_p26_wt_random,64,64,16384,3600000000000,42,0,3,0,0,0,1,1048576,134217728,stack,16735744,0,0,0,0,0,0,3280,39.640764
38,bench_p26_wt,bench_p26_wt_random,64,64,16384,3600000000000,42,0,3,0,0,0,1,1048576,134217728,ctx,16735744,0,0,0,0,0,0,608,39.640819
38,bench_p26_wt,bench_p26_wt_random,64,64,16384,3600000000000,42,0,3,0,0,0,1,1048576,134217728,heap,16735744,0,0,0,0,0,0,1296,39.640877
38,bench_p26_wt,bench_p26_wt_random,64,64,16384,3600000000000,42,0,3,0,0,0,1,1048576,134217728,usage,16735744,0,0,0,0,0,0,2883584,39.640922
39,bench_p26_wt,bench_p26_wt_random,64,64,32768,3600000000000,42,0,3,0,0,0,1,2097152,134217728,write,13076096,111871247,2948980,13361,3107402239,1509877760,1751252992,3600165228013,41.719539
39,bench_p26_wt,bench_p26_wt_random,64,64,32768,3600000000000,42,0,3,0,0,0,1,2097152,134217728,stack,13076096,0,0,0,0,0,0,3120,41.719643
39,bench_p26_wt,bench_p26_wt_random,64,64,32768,3600000000000,42,0,3,0,0,0,1,2097152,134217728,ctx,13076096,0,0,0,0,0,0,608,41.719694
39,bench_p26_wt,bench_p26_wt_random,64,64,32768,3600000000000,42,0,3,0,0,0,1,2097152,134217728,heap,13076096,0,0,0,0,0,0,1296,41.719739
39,bench_p26_wt,bench_p26_wt_random,64,64,32768,3600000000000,42,0,3,0,0,0,1,2097152,134217728,usage,13076096,0,0,0,0,0,0,5373952,41.719779
37,bench_p26_wt,bench_p26_wt_random,64,64,8192,3600000000000,42,0,3,0,0,0,1,524288,134217728,write,24002624,102786813,3753666,21600,3014491322,1921876992,2831155200,3600223014350,43.798259
37,bench_p26_wt,bench_p26_wt_random,64,64,8192,3600000000000,42,0,3,0,0,0,1,524288,134217728,stack,24002624,0,0,0,0,0,0,3280,43.798360
37,bench_p26_wt,bench_p26_wt_random,64,64,8192,3600000000000,42,0,3,0,0,0,1,524288,134217728,ctx,24002624,0,0,0,0,0,0,608,43.798410
37,bench_p26_wt,bench_p26_wt_random,64,64,8192,3600000000000,42,0,3,0,0,0,1,524288,134217728,heap,24002624,0,0,0,0,0,0,1296,43.798456
37,bench_p26_wt,bench_p26_wt_random,64,64,8192,3600000000000,42,0,3,0,0,0,1,524288,134217728,usage,24002624,0,0,0,0,0,0,1703936,43.798497
36,bench_p26_wt,bench_p26_wt_random,64,64,4096,3600000000000,42,0,3,0,0,0,1,262144,134217728,write,30366656,97186633,4212092,29634,3152211277,2156591104,3884187648,3600005211319,45.579731
36,bench_p26_wt,bench_p26_wt_random,64,64,4096,3600000000000,42,0,3,0,0,0,1,262144,134217728,stack,30366656,0,0,0,0,0,0,3312,45.579830
36,bench_p26_wt,bench_p26_wt_random,64,64,4096,3600000000000,42,0,3,0,0,0,1,262144,134217728,ctx,30366656,0,0,0,0,0,0,608,45.579880
36,bench_p26_wt,bench_p26_wt_random,64,64,4096,3600000000000,42,0,3,0,0,0,1,262144,134217728,heap,30366656,0,0,0,0,0,0,1296,45.579923
36,bench_p26_wt,bench_p26_wt_random,64,64,4096,3600000000000,42,0,3,0,0,0,1,262144,134217728,usage,30366656,0,0,0,0,0,0,1310720,45.579966
34,bench_p26_wt,bench_p26_wt_random,64,64,1024,3600000000000,42,0,3,0,0,0,1,65536,134217728,write,41926272,93580561,4317732,60938,3133925913,2210678784,7987265536,3600003586011,48.368588
34,bench_p26_wt,bench_p26_wt_random,64,64,1024,3600000000000,42,0,3,0,0,0,1,65536,134217728,stack,41926272,0,0,0,0,0,0,3312,48.368682
34,bench_p26_wt,bench_p26_wt_random,64,64,1024,3600000000000,42,0,3,0,0,0,1,65536,134217728,ctx,41926272,0,0,0,0,0,0,608,48.368731
34,bench_p26_wt,bench_p26_wt_random,64,64,1024,3600000000000,42,0,3,0,0,0,1,65536,134217728,heap,41926272,0,0,0,0,0,0,1296,48.368774
34,bench_p26_wt,bench_p26_wt_random,64,64,1024,3600000000000,42,0,3,0,0,0,1,65536,134217728,usage,41926272,0,0,0,0,0,0,1441792,48.368814
35,bench_p26_wt,bench_p26_wt_random,64,64,2048,3600000000000,42,0,3,0,0,0,1,131072,134217728,write,36625728,94548234,4372273,41212,3183109588,2238603776,5401739264,3600094684348,48.583977
35,bench_p26_wt,bench_p26_wt_random,64,64,2048,3600000000000,42,0,3,0,0,0,1,131072,134217728,stack,36625728,0,0,0,0,0,0,3312,48.584068
35,bench_p26_wt,bench_p26_wt_random,64,64,2048,3600000000000,42,0,3,0,0,0,1,131072,134217728,ctx,36625728,0,0,0,0,0,0,608,48.584114
35,bench_p26_wt,bench_p26_wt_random,64,64,2048,3600000000000,42,0,3,0,0,0,1,131072,134217728,heap,36625728,0,0,0,0,0,0,1296,48.584155
35,bench_p26_wt,bench_p26_wt_random,64,64,2048,3600000000000,42,0,3,0,0,0,1,131072,134217728,usage,36625728,0,0,0,0,0,0,786432,48.584197
30,bench_p26_wt,bench_p26_wt_random,64,64,64,3600000000000,42,0,3,0,0,0,1,4096,134217728,write,135706688,96805886,4344964,17046,3131800999,2224621568,2234253312,3600002607973,49.960902
30,bench_p26_wt,bench_p26_wt_random,64,64,64,3600000000000,42,0,3,0,0,0,1,4096,134217728,stack,135706688,0,0,0,0,0,0,3280,49.960997
30,bench_p26_wt,bench_p26_wt_random,64,64,64,3600000000000,42,0,3,0,0,0,1,4096,134217728,ctx,135706688,0,0,0,0,0,0,608,49.961045
30,bench_p26_wt,bench_p26_wt_random,64,64,64,3600000000000,42,0,3,0,0,0,1,4096,134217728,heap,135706688,0,0,0,0,0,0,1296,49.961087
30,bench_p26_wt,bench_p26_wt_random,64,64,64,3600000000000,42,0,3,0,0,0,1,4096,134217728,usage,135706688,0,0,0,0,0,0,655360,49.961126
32,bench_p26_wt,bench_p26_wt_random,64,64,256,3600000000000,42,0,3,0,0,0,1,16384,134217728,write,56452672,86580210,4647005,104229,3212260869,2379266560,13661503488,3600038895711,50.231179
32,bench_p26_wt,bench_p26_wt_random,64,64,256,3600000000000,42,0,3,0,0,0,1,16384,134217728,stack,56452672,0,0,0,0,0,0,3312,50.231271
32,bench_p26_wt,bench_p26_wt_random,64,64,256,3600000000000,42,0,3,0,0,0,1,16384,134217728,ctx,56452672,0,0,0,0,0,0,608,50.231315
32,bench_p26_wt,bench_p26_wt_random,64,64,256,3600000000000,42,0,3,0,0,0,1,16384,134217728,heap,56452672,0,0,0,0,0,0,1296,50.231355
32,bench_p26_wt,bench_p26_wt_random,64,64,256,3600000000000,42,0,3,0,0,0,1,16384,134217728,usage,56452672,0,0,0,0,0,0,1179648,50.231392
33,bench_p26_wt,bench_p26_wt_random,64,64,512,3600000000000,42,0,3,0,0,0,1,32768,134217728,write,46592256,91938378,4329536,80104,3114089237,2216722432,10499391488,3600014418575,50.690298
33,bench_p26_wt,bench_p26_wt_random,64,64,512,3600000000000,42,0,3,0,0,0,1,32768,134217728,stack,46592256,0,0,0,0,0,0,3312,50.690377
33,bench_p26_wt,bench_p26_wt_random,64,64,512,3600000000000,42,0,3,0,0,0,1,32768,134217728,ctx,46592256,0,0,0,0,0,0,608,50.690416
33,bench_p26_wt,bench_p26_wt_random,64,64,512,3600000000000,42,0,3,0,0,0,1,32768,134217728,heap,46592256,0,0,0,0,0,0,1296,50.690450
33,bench_p26_wt,bench_p26_wt_random,64,64,512,3600000000000,42,0,3,0,0,0,1,32768,134217728,usage,46592256,0,0,0,0,0,0,1048576,50.690481
31,bench_p26_wt,bench_p26_wt_random,64,64,128,3600000000000,42,0,3,0,0,0,1,8192,134217728,write,86982464,93374220,4245397,73492,3090113702,2173643264,9632743424,3600005277266,51.633533
31,bench_p26_wt,bench_p26_wt_random,64,64,128,3600000000000,42,0,3,0,0,0,1,8192,134217728,stack,86982464,0,0,0,0,0,0,3312,51.633615
31,bench_p26_wt,bench_p26_wt_random,64,64,128,3600000000000,42,0,3,0,0,0,1,8192,134217728,ctx,86982464,0,0,0,0,0,0,608,51.633651
31,bench_p26_wt,bench_p26_wt_random,64,64,128,3600000000000,42,0,3,0,0,0,1,8192,134217728,heap,86982464,0,0,0,0,0,0,1296,51.633681
31,bench_p26_wt,bench_p26_wt_random,64,64,128,3600000000000,42,0,3,0,0,0,1,8192,134217728,usage,86982464,0,0,0,0,0,0,786432,51.633710
29,bench_p26_wt,bench_p26_wt_random,64,64,32,3600000000000,42,0,3,0,0,0,1,2048,134217728,write,173574464,87811372,5150230,20208,3437003964,2636917760,2648702976,3600003202548,51.712305
29,bench_p26_wt,bench_p26_wt_random,64,64,32,3600000000000,42,0,3,0,0,0,1,2048,134217728,stack,173574464,0,0,0,0,0,0,3280,51.712387
29,bench_p26_wt,bench_p26_wt_random,64,64,32,3600000000000,42,0,3,0,0,0,1,2048,134217728,ctx,173574464,0,0,0,0,0,0,608,51.712427
29,bench_p26_wt,bench_p26_wt_random,64,64,32,3600000000000,42,0,3,0,0,0,1,2048,134217728,heap,173574464,0,0,0,0,0,0,1296,51.712459
29,bench_p26_wt,bench_p26_wt_random,64,64,32,3600000000000,42,0,3,0,0,0,1,2048,134217728,usage,173574464,0,0,0,0,0,0,655360,51.712489
