i,suite,case,FS,SEED,SIM_SIZE,FILE_COUNT,SIZE,NO_FRUNCATE,SIM_TIME,CHUNK,DISK_GEOMETRY,FILE_SIZE,SKIP_WARMUP,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
24,bench_p26_wt,bench_p26_wt_linear,4,42,0,65536,4194304,0,3600000000000,64,0,64,0,134217728,write,14722880,73938793472,704481,7996,73938793472,46501953,32751616,3600127102931,90.654374
24,bench_p26_wt,bench_p26_wt_linear,4,42,0,65536,4194304,0,3600000000000,64,0,64,0,134217728,stack,14722880,0,0,0,0,0,0,1296,90.654464
24,bench_p26_wt,bench_p26_wt_linear,4,42,0,65536,4194304,0,3600000000000,64,0,64,0,134217728,ctx,14722880,0,0,0,0,0,0,336,90.654509
24,bench_p26_wt,bench_p26_wt_linear,4,42,0,65536,4194304,0,3600000000000,64,0,64,0,134217728,heap,14722880,0,0,0,0,0,0,1160,90.654549
24,bench_p26_wt,bench_p26_wt_linear,4,42,0,65536,4194304,0,3600000000000,64,0,64,0,134217728,usage,14722880,0,0,0,0,0,0,14994780,90.654586
25,bench_p26_wt,bench_p26_wt_linear,4,42,0,131072,8388608,0,3600000000000,64,0,64,0,134217728,write,15224896,73811725056,689006,8248,73811725056,47937548,33783808,3600219323108,92.152349
25,bench_p26_wt,bench_p26_wt_linear,4,42,0,131072,8388608,0,3600000000000,64,0,64,0,134217728,stack,15224896,0,0,0,0,0,0,1296,92.152427
25,bench_p26_wt,bench_p26_wt_linear,4,42,0,131072,8388608,0,3600000000000,64,0,64,0,134217728,ctx,15224896,0,0,0,0,0,0,336,92.152463
25,bench_p26_wt,bench_p26_wt_linear,4,42,0,131072,8388608,0,3600000000000,64,0,64,0,134217728,heap,15224896,0,0,0,0,0,0,1160,92.152492
25,bench_p26_wt,bench_p26_wt_linear,4,42,0,131072,8388608,0,3600000000000,64,0,64,0,134217728,usage,15224896,0,0,0,0,0,0,19768055,92.152519
27,bench_p26_wt,bench_p26_wt_linear,4,42,0,524288,33554432,0,3600000000000,64,0,64,0,134217728,write,16231744,73550815232,658027,8754,73550815232,50780350,35856384,3600210698010,92.065483
