i,suite,case,SIM_TIME,FS,SIZE,SKIP_WARMUP,NO_FRUNCATE,FILE_COUNT,FILE_SIZE,DISK_GEOMETRY,CHUNK,SEED,SIM_SIZE,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
30,bench_p26_wt,bench_p26_wt_random,3600000000000,2,4096,0,0,64,64,0,64,42,0,134217728,stack,2375360,0,0,0,0,0,0,1984,15.744204
30,bench_p26_wt,bench_p26_wt_random,3600000000000,2,4096,0,0,64,64,0,64,42,0,134217728,ctx,2375360,0,0,0,0,0,0,384,15.744257
30,bench_p26_wt,bench_p26_wt_random,3600000000000,2,4096,0,0,64,64,0,64,42,0,134217728,heap,2375360,0,0,0,0,0,0,784,15.744318
30,bench_p26_wt,bench_p26_wt_random,3600000000000,2,4096,0,0,64,64,0,64,42,0,134217728,usage,2375360,0,0,0,0,0,0,24576,15.744363
31,bench_p26_wt,bench_p26_wt_random,3600000000000,2,8192,0,0,128,64,0,64,42,0,134217728,write,1875392,372326054,732107,73088,372326054,182095044,299368448,3600151127420,17.135437
31,bench_p26_wt,bench_p26_wt_random,3600000000000,2,8192,0,0,128,64,0,64,42,0,134217728,stack,1875392,0,0,0,0,0,0,1984,17.135553
31,bench_p26_wt,bench_p26_wt_random,3600000000000,2,8192,0,0,128,64,0,64,42,0,134217728,ctx,1875392,0,0,0,0,0,0,384,17.135608
31,bench_p26_wt,bench_p26_wt_random,3600000000000,2,8192,0,0,128,64,0,64,42,0,134217728,heap,1875392,0,0,0,0,0,0,784,17.135666
31,bench_p26_wt,bench_p26_wt_random,3600000000000,2,8192,0,0,128,64,0,64,42,0,134217728,usage,1875392,0,0,0,0,0,0,28672,17.135712
32,bench_p26_wt,bench_p26_wt_random,3600000000000,2,16384,0,0,256,64,0,64,42,0,134217728,write,1329280,433110488,847730,71992,433110488,213614625,294879232,3600126849587,20.700513
32,bench_p26_wt,bench_p26_wt_random,3600000000000,2,16384,0,0,256,64,0,64,42,0,134217728,stack,1329280,0,0,0,0,0,0,1984,20.700644
