i,suite,case,SIM_TIME,CHUNK,NO_FRUNCATE,FS,SIZE,SKIP_WARMUP,FILE_SIZE,SEED,DISK_SIZE,DISK_GEOMETRY,FILE_COUNT,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
32,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,16384,0,64,42,134217728,1,256,0,heap,701302016,0,0,0,0,0,0,78788,21.281117
32,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,16384,0,64,42,134217728,1,256,0,usage,701302016,0,0,0,0,0,0,7654400,21.281172
35,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,131072,0,64,42,134217728,1,2048,0,write,666186688,11647182,11974887,46777,5963357184,6131142144,6131154944,3600001322496,21.256010
35,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,131072,0,64,42,134217728,1,2048,0,stack,666186688,0,0,0,0,0,0,8688,21.256181
35,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,131072,0,64,42,134217728,1,2048,0,ctx,666186688,0,0,0,0,0,0,7152,21.256256
35,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,131072,0,64,42,134217728,1,2048,0,heap,666186688,0,0,0,0,0,0,78788,21.256312
35,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,131072,0,64,42,134217728,1,2048,0,usage,666186688,0,0,0,0,0,0,7768976,21.256364
30,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,4096,0,64,42,134217728,1,64,0,write,853517824,11647407,11974856,46777,5963472384,6131126272,6131154944,3600000993792,21.449619
30,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,4096,0,64,42,134217728,1,64,0,stack,853517824,0,0,0,0,0,0,8688,21.449776
30,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,4096,0,64,42,134217728,1,64,0,ctx,853517824,0,0,0,0,0,0,7152,21.449834
30,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,4096,0,64,42,134217728,1,64,0,heap,853517824,0,0,0,0,0,0,78788,21.449890
30,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,4096,0,64,42,134217728,1,64,0,usage,853517824,0,0,0,0,0,0,7642000,21.449946
34,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,65536,0,64,42,134217728,1,1024,0,write,670965504,11647297,11974870,46777,5963416064,6131133440,6131154944,3600000854528,21.505589
34,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,65536,0,64,42,134217728,1,1024,0,stack,670965504,0,0,0,0,0,0,8688,21.505878
34,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,65536,0,64,42,134217728,1,1024,0,ctx,670965504,0,0,0,0,0,0,7152,21.506037
34,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,65536,0,64,42,134217728,1,1024,0,heap,670965504,0,0,0,0,0,0,78788,21.506113
34,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,65536,0,64,42,134217728,1,1024,0,usage,670965504,0,0,0,0,0,0,7703504,21.506172
36,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,262144,0,64,42,134217728,1,4096,0,write,663805632,11646948,11974917,46777,5963237376,6131157504,6131154944,3600001082880,21.606857
36,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,262144,0,64,42,134217728,1,4096,0,stack,663805632,0,0,0,0,0,0,8688,21.607060
36,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,262144,0,64,42,134217728,1,4096,0,ctx,663805632,0,0,0,0,0,0,7152,21.607207
36,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,262144,0,64,42,134217728,1,4096,0,heap,663805632,0,0,0,0,0,0,78788,21.607282
36,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,262144,0,64,42,134217728,1,4096,0,usage,663805632,0,0,0,0,0,0,7899920,21.607345
37,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,524288,0,64,42,134217728,1,8192,0,write,662537024,11646476,11974981,46777,5962995712,6131190272,6131154944,3600001504768,22.088384
37,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,524288,0,64,42,134217728,1,8192,0,stack,662537024,0,0,0,0,0,0,8688,22.088536
37,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,524288,0,64,42,134217728,1,8192,0,ctx,662537024,0,0,0,0,0,0,7152,22.088603
37,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,524288,0,64,42,134217728,1,8192,0,heap,662537024,0,0,0,0,0,0,78788,22.088656
37,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,524288,0,64,42,134217728,1,8192,0,usage,662537024,0,0,0,0,0,0,8165776,22.088745
38,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,1048576,0,64,42,134217728,1,16384,0,write,661977856,11645547,11975109,46776,5962520064,6131255808,6131023872,3600000897024,23.069515
38,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,1048576,0,64,42,134217728,1,16384,0,stack,661977856,0,0,0,0,0,0,8688,23.069671
38,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,1048576,0,64,42,134217728,1,16384,0,ctx,661977856,0,0,0,0,0,0,7152,23.069747
38,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,1048576,0,64,42,134217728,1,16384,0,heap,661977856,0,0,0,0,0,0,83428,23.069807
38,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,1048576,0,64,42,134217728,1,16384,0,usage,661977856,0,0,0,0,0,0,8693520,23.069864
39,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,2097152,0,64,42,134217728,1,32768,0,write,661735104,11643680,11975363,46775,5961564160,6131385856,6130892800,3600000819712,23.546280
39,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,2097152,0,64,42,134217728,1,32768,0,stack,661735104,0,0,0,0,0,0,8688,23.546402
39,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,2097152,0,64,42,134217728,1,32768,0,ctx,661735104,0,0,0,0,0,0,7152,23.546459
39,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,2097152,0,64,42,134217728,1,32768,0,heap,661735104,0,0,0,0,0,0,96260,23.546511
39,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,2097152,0,64,42,134217728,1,32768,0,usage,661735104,0,0,0,0,0,0,9749008,23.546559
29,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,2048,0,64,42,134217728,1,32,0,write,1174293568,11647410,11974855,46777,5963473920,6131125760,6131154944,3600000837120,23.924997
29,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,2048,0,64,42,134217728,1,32,0,stack,1174293568,0,0,0,0,0,0,8688,23.925081
29,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,2048,0,64,42,134217728,1,32,0,ctx,1174293568,0,0,0,0,0,0,7152,23.925118
29,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,2048,0,64,42,134217728,1,32,0,heap,1174293568,0,0,0,0,0,0,78788,23.925147
29,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,2048,0,64,42,134217728,1,32,0,usage,1174293568,0,0,0,0,0,0,7640016,23.925175
42,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,16777216,0,64,42,134217728,1,262144,0,write,659974016,11617552,11978930,46760,5948186624,6133212160,6128926720,3600000969728,12.686841
42,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,16777216,0,64,42,134217728,1,262144,0,stack,659974016,0,0,0,0,0,0,8688,12.686981
42,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,16777216,0,64,42,134217728,1,262144,0,ctx,659974016,0,0,0,0,0,0,7152,12.687040
42,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,16777216,0,64,42,134217728,1,262144,0,heap,659974016,0,0,0,0,0,0,230996,12.687089
42,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,16777216,0,64,42,134217728,1,262144,0,usage,659974016,0,0,0,0,0,0,24656784,12.687156
43,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,33554432,0,64,42,134217728,1,524288,0,write,626966400,11587690,11983005,46743,5932897280,6135298560,6126698496,3600000965120,13.997376
43,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,33554432,0,64,42,134217728,1,524288,0,stack,626966400,0,0,0,0,0,0,8688,13.997541
43,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,33554432,0,64,42,134217728,1,524288,0,ctx,626966400,0,0,0,0,0,0,7152,13.997596
43,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,33554432,0,64,42,134217728,1,524288,0,heap,626966400,0,0,0,0,0,0,384980,13.997644
43,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,33554432,0,64,42,134217728,1,524288,0,usage,626966400,0,0,0,0,0,0,41675536,13.997689
41,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,8388608,0,64,42,134217728,1,131072,0,write,661599360,11632480,11976889,46769,5955829760,6132167168,6130106368,3600000943616,11.728270
41,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,8388608,0,64,42,134217728,1,131072,0,stack,661599360,0,0,0,0,0,0,8688,11.728447
41,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,8388608,0,64,42,134217728,1,131072,0,ctx,661599360,0,0,0,0,0,0,7152,11.728504
41,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,8388608,0,64,42,134217728,1,131072,0,heap,661599360,0,0,0,0,0,0,154004,11.728553
41,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,8388608,0,64,42,134217728,1,131072,0,usage,661599360,0,0,0,0,0,0,16081936,11.728601
28,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,1024,0,64,42,134217728,1,16,0,write,3792760640,11647412,11974855,46777,5963474944,6131125760,6131154944,3600000905728,36.880937
28,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,1024,0,64,42,134217728,1,16,0,stack,3792760640,0,0,0,0,0,0,8688,36.881029
28,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,1024,0,64,42,134217728,1,16,0,ctx,3792760640,0,0,0,0,0,0,7152,36.881073
28,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,1024,0,64,42,134217728,1,16,0,heap,3792760640,0,0,0,0,0,0,78788,36.881109
28,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,1024,0,64,42,134217728,1,16,0,usage,3792760640,0,0,0,0,0,0,7639024,36.881141
40,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,4194304,0,64,42,134217728,1,65536,0,write,661641664,11639947,11975872,46773,5959652864,6131646464,6130630656,3600000958976,10.128793
