i,suite,case,SKIP_WARMUP,SIZE,DISK_SIZE,SIM_SIZE,DISK_GEOMETRY,NO_FRUNCATE,FILE_COUNT,SIM_TIME,FS,FILE_SIZE,SEED,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
31,bench_p26_wt,bench_p26_wt_random,0,8192,134217728,0,1,0,128,3600000000000,2,64,42,64,stack,30390080,0,0,0,0,0,0,1840,332.074756
31,bench_p26_wt,bench_p26_wt_random,0,8192,134217728,0,1,0,128,3600000000000,2,64,42,64,ctx,30390080,0,0,0,0,0,0,384,332.074812
31,bench_p26_wt,bench_p26_wt_random,0,8192,134217728,0,1,0,128,3600000000000,2,64,42,64,heap,30390080,0,0,0,0,0,0,1552,332.074860
31,bench_p26_wt,bench_p26_wt_random,0,8192,134217728,0,1,0,128,3600000000000,2,64,42,64,usage,30390080,0,0,0,0,0,0,393216,332.074905
32,bench_p26_wt,bench_p26_wt_random,0,16384,134217728,0,1,0,256,3600000000000,2,64,42,64,write,17955072,18890273,9256993,280534,9538718791,4739580416,36770152448,3600002563909,367.751674
32,bench_p26_wt,bench_p26_wt_random,0,16384,134217728,0,1,0,256,3600000000000,2,64,42,64,stack,17955072,0,0,0,0,0,0,1840,367.751801
32,bench_p26_wt,bench_p26_wt_random,0,16384,134217728,0,1,0,256,3600000000000,2,64,42,64,ctx,17955072,0,0,0,0,0,0,384,367.751857
32,bench_p26_wt,bench_p26_wt_random,0,16384,134217728,0,1,0,256,3600000000000,2,64,42,64,heap,17955072,0,0,0,0,0,0,1552,367.751905
32,bench_p26_wt,bench_p26_wt_random,0,16384,134217728,0,1,0,256,3600000000000,2,64,42,64,usage,17955072,0,0,0,0,0,0,393216,367.751951
33,bench_p26_wt,bench_p26_wt_random,0,32768,134217728,0,1,0,512,3600000000000,2,64,42,64,write,9874240,20262194,10027630,154282,10301083698,5134146560,20222050304,3600027330486,400.782909
33,bench_p26_wt,bench_p26_wt_random,0,32768,134217728,0,1,0,512,3600000000000,2,64,42,64,stack,9874240,0,0,0,0,0,0,1840,400.791370
33,bench_p26_wt,bench_p26_wt_random,0,32768,134217728,0,1,0,512,3600000000000,2,64,42,64,ctx,9874240,0,0,0,0,0,0,384,400.791436
