i,suite,case,FS,DISK_GEOMETRY,FILE_COUNT,CHUNK,FILE_SIZE,SEED,SIZE,NO_FRUNCATE,SIM_SIZE,SIM_TIME,SKIP_WARMUP,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
24,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,268435456,usage,396032,0,0,0,0,0,0,27763596,100.281404
25,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,536870912,write,144576,87098105600,124439,1471,87098105600,7900098,6025216,3600058877030,104.056105
25,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,536870912,stack,144576,0,0,0,0,0,0,1312,104.056217
25,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,536870912,ctx,144576,0,0,0,0,0,0,352,104.056271
25,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,536870912,heap,144576,0,0,0,0,0,0,1160,104.056327
25,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,536870912,usage,144576,0,0,0,0,0,0,53385208,104.056364
22,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,67108864,write,1730944,78538390528,560059,5207,78538390528,22826083,21327872,3600372606041,104.449057
22,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,67108864,stack,1730944,0,0,0,0,0,0,1312,104.449154
22,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,67108864,ctx,1730944,0,0,0,0,0,0,352,104.449197
22,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,67108864,heap,1730944,0,0,0,0,0,0,1160,104.449232
22,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,67108864,usage,1730944,0,0,0,0,0,0,8545164,104.449263
23,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,134217728,write,871872,83177817600,324153,3184,83177817600,14745948,13041664,3600371289300,113.604306
23,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,134217728,stack,871872,0,0,0,0,0,0,1312,113.604387
23,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,134217728,ctx,871872,0,0,0,0,0,0,352,113.604423
23,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,134217728,heap,871872,0,0,0,0,0,0,1160,113.604453
23,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,134217728,usage,871872,0,0,0,0,0,0,14951308,113.604480
26,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,1073741824,write,18112,87796795648,89128,1165,87796795648,6661287,4771840,3600084432997,133.706888
26,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,1073741824,stack,18112,0,0,0,0,0,0,1312,133.706962
26,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,1073741824,ctx,18112,0,0,0,0,0,0,352,133.706995
26,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,1073741824,heap,18112,0,0,0,0,0,0,1160,133.707029
26,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,1073741824,usage,18112,0,0,0,0,0,0,104618305,133.707069
27,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,2147483648,write,256,139464171008,77813,1037,139464171008,5995666,4247552,5656479524310,166.655042
27,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,2147483648,stack,256,0,0,0,0,0,0,1312,166.655108
27,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,2147483648,ctx,256,0,0,0,0,0,0,352,166.655138
27,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,2147483648,heap,256,0,0,0,0,0,0,1160,166.655161
27,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,2147483648,usage,256,0,0,0,0,0,0,206954824,166.655182
29,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,33554432,write,917504,86832543702,101355,1914,86832543702,6126682,7839744,3600100556062,124.708111
29,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,33554432,stack,917504,0,0,0,0,0,0,1520,124.708234
29,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,33554432,ctx,917504,0,0,0,0,0,0,592,124.708293
29,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,33554432,heap,917504,0,0,0,0,0,0,1160,124.708352
29,bench_p26_wt,bench_p26_wt_many,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,33554432,usage,917504,0,0,0,0,0,0,8965829,124.708395
