i,suite,case,FS,SEED,SKIP_WARMUP,SIM_TIME,FILE_SIZE,NO_SET,DISK_SIZE,CHUNK,DISK_GEOMETRY,SIM_SIZE,SIZE,FILE_COUNT,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
29,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,4294967296,64,1,0,2097152,32768,0,stack,13140608,0,0,0,0,0,0,3120,67.343220
29,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,4294967296,64,1,0,2097152,32768,0,ctx,13140608,0,0,0,0,0,0,608,67.343262
29,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,4294967296,64,1,0,2097152,32768,0,heap,13140608,0,0,0,0,0,0,1296,67.343287
29,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,4294967296,64,1,0,2097152,32768,0,usage,13140608,0,0,0,0,0,0,5373952,67.343309
31,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,33554432,64,1,0,2097152,32768,0,write,4939072,139571020,127012,544,7872332855,65030144,71303168,3613711542293,54.298979
31,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,33554432,64,1,0,2097152,32768,0,stack,4939072,0,0,0,0,0,0,3424,54.299082
31,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,33554432,64,1,0,2097152,32768,0,ctx,4939072,0,0,0,0,0,0,848,54.299130
31,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,33554432,64,1,0,2097152,32768,0,heap,4939072,0,0,0,0,0,0,1296,54.299172
31,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,33554432,64,1,0,2097152,32768,0,usage,4939072,0,0,0,0,0,0,33423360,54.299218
30,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,16777216,64,1,0,2097152,32768,0,write,1519424,141893435,97864,469,4598539901,50106368,61472768,3600871336775,56.495288
30,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,16777216,64,1,0,2097152,32768,0,stack,1519424,0,0,0,0,0,0,3488,56.495384
30,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,16777216,64,1,0,2097152,32768,0,ctx,1519424,0,0,0,0,0,0,848,56.495434
30,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,16777216,64,1,0,2097152,32768,0,heap,1519424,0,0,0,0,0,0,1296,56.495477
30,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,16777216,64,1,0,2097152,32768,0,usage,1519424,0,0,0,0,0,0,16515072,56.495516
32,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,67108864,64,1,0,2097152,32768,0,write,13850112,131452633,288429,1183,15380609451,147675648,155058176,3600008914353,108.420337
32,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,67108864,64,1,0,2097152,32768,0,stack,13850112,0,0,0,0,0,0,3312,108.420441
32,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,67108864,64,1,0,2097152,32768,0,ctx,13850112,0,0,0,0,0,0,848,108.420502
32,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,67108864,64,1,0,2097152,32768,0,heap,13850112,0,0,0,0,0,0,1296,108.420544
32,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,67108864,64,1,0,2097152,32768,0,usage,13850112,0,0,0,0,0,0,34340864,108.420583
33,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,134217728,64,1,0,2097152,32768,0,write,13886336,131426228,288678,1183,15411009979,147803136,155058176,3600002231521,128.618352
33,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,134217728,64,1,0,2097152,32768,0,stack,13886336,0,0,0,0,0,0,3312,128.618453
33,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,134217728,64,1,0,2097152,32768,0,ctx,13886336,0,0,0,0,0,0,848,128.618501
33,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,134217728,64,1,0,2097152,32768,0,heap,13886336,0,0,0,0,0,0,1296,128.618543
33,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,134217728,64,1,0,2097152,32768,0,usage,13886336,0,0,0,0,0,0,34340864,128.618597
36,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,1073741824,64,1,0,2097152,32768,0,write,13910720,131422102,289033,1186,15432576884,147984896,155451392,3600408652700,133.342059
36,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,1073741824,64,1,0,2097152,32768,0,stack,13910720,0,0,0,0,0,0,3312,133.342151
36,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,1073741824,64,1,0,2097152,32768,0,ctx,13910720,0,0,0,0,0,0,848,133.342200
36,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,1073741824,64,1,0,2097152,32768,0,heap,13910720,0,0,0,0,0,0,1296,133.342242
36,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,1073741824,64,1,0,2097152,32768,0,usage,13910720,0,0,0,0,0,0,34603008,133.342282
37,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,2147483648,64,1,0,2097152,32768,0,write,13910720,131422102,289033,1186,15432579180,147984896,155451392,3600408696324,146.767845
37,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,2147483648,64,1,0,2097152,32768,0,stack,13910720,0,0,0,0,0,0,3312,146.767930
37,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,2147483648,64,1,0,2097152,32768,0,ctx,13910720,0,0,0,0,0,0,848,146.767970
37,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,2147483648,64,1,0,2097152,32768,0,heap,13910720,0,0,0,0,0,0,1296,146.768003
37,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,2147483648,64,1,0,2097152,32768,0,usage,13910720,0,0,0,0,0,0,34603008,146.768034
34,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,268435456,64,1,0,2097152,32768,0,write,13863744,131461055,288583,1184,15392683822,147754496,155189248,3600487248490,150.940562
34,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,268435456,64,1,0,2097152,32768,0,stack,13863744,0,0,0,0,0,0,3312,150.940637
34,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,268435456,64,1,0,2097152,32768,0,ctx,13863744,0,0,0,0,0,0,848,150.940674
34,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,268435456,64,1,0,2097152,32768,0,heap,13863744,0,0,0,0,0,0,1296,150.940703
34,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,268435456,64,1,0,2097152,32768,0,usage,13863744,0,0,0,0,0,0,34340864,150.940730
35,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,536870912,64,1,0,2097152,32768,0,write,13910720,131422102,289033,1186,15432575738,147984896,155451392,3600408630926,153.212572
35,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,536870912,64,1,0,2097152,32768,0,stack,13910720,0,0,0,0,0,0,3312,153.212647
35,bench_p26_wt,bench_p26_wt_many,3,42,0,3600000000000,64,0,536870912,64,1,0,2097152,32768,0,ctx,13910720,0,0,0,0,0,0,848,153.212681
