i,suite,case,SIM_TIME,SIZE,NO_FRUNCATE,SKIP_WARMUP,DISK_SIZE,SIM_SIZE,SEED,FILE_SIZE,NO_SET,FS,CHUNK,FILE_COUNT,DISK_GEOMETRY,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
31,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,33554432,0,42,64,0,3,64,32768,0,write,7302144,31661040179,1551706,38959,31661040179,146408115,159576064,3643207018817,186.914868
31,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,33554432,0,42,64,0,3,64,32768,0,stack,7302144,0,0,0,0,0,0,3488,186.914938
31,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,33554432,0,42,64,0,3,64,32768,0,ctx,7302144,0,0,0,0,0,0,848,186.914969
31,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,33554432,0,42,64,0,3,64,32768,0,heap,7302144,0,0,0,0,0,0,784,186.915001
31,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,33554432,0,42,64,0,3,64,32768,0,usage,7302144,0,0,0,0,0,0,29749248,186.915031
41,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,67108864,0,42,64,0,3,64,32768,0,write,15954432,845725891,2664833,55463,845725891,217957432,227176448,3600004983200,9.795764
41,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,67108864,0,42,64,0,3,64,32768,0,stack,15954432,0,0,0,0,0,0,3264,9.795875
41,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,67108864,0,42,64,0,3,64,32768,0,ctx,15954432,0,0,0,0,0,0,624,9.795928
41,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,67108864,0,42,64,0,3,64,32768,0,heap,15954432,0,0,0,0,0,0,784,9.795987
41,bench_p26_wt,bench_p26_wt_logging,3600000000000,2097152,0,0,67108864,0,42,64,0,3,64,32768,0,usage,15954432,0,0,0,0,0,0,2379776,9.796033
