i,suite,case,NO_FRUNCATE,FILE_SIZE,SEED,DISK_GEOMETRY,FS,DISK_SIZE,FILE_COUNT,SIM_SIZE,SIM_TIME,SIZE,SKIP_WARMUP,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
26,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,536870912,32768,0,3600000000000,2097152,0,64,write,27764160,248209920,1117748,69723,248209920,286143488,285585408,3600048687104,2.707787
26,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,536870912,32768,0,3600000000000,2097152,0,64,stack,27764160,0,0,0,0,0,0,8688,2.707950
26,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,536870912,32768,0,3600000000000,2097152,0,64,ctx,27764160,0,0,0,0,0,0,7152,2.708000
26,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,536870912,32768,0,3600000000000,2097152,0,64,heap,27764160,0,0,0,0,0,0,2283572,2.708039
26,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,536870912,32768,0,3600000000000,2097152,0,64,usage,27764160,0,0,0,0,0,0,70496496,2.708076
27,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,1073741824,32768,0,3600000000000,2097152,0,64,write,27764032,248208384,1117740,69723,248208384,286141440,285585408,3600045385728,3.833801
27,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,1073741824,32768,0,3600000000000,2097152,0,64,stack,27764032,0,0,0,0,0,0,8688,3.833928
27,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,1073741824,32768,0,3600000000000,2097152,0,64,ctx,27764032,0,0,0,0,0,0,7152,3.833987
27,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,1073741824,32768,0,3600000000000,2097152,0,64,heap,27764032,0,0,0,0,0,0,4544564,3.834028
27,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,1073741824,32768,0,3600000000000,2097152,0,64,usage,27764032,0,0,0,0,0,0,138783808,3.834067
28,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,2147483648,32768,0,3600000000000,2097152,0,64,write,27764032,248208384,1117742,69723,248208384,286141952,285585408,3600046195712,6.316754
28,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,2147483648,32768,0,3600000000000,2097152,0,64,stack,27764032,0,0,0,0,0,0,8688,6.316839
28,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,2147483648,32768,0,3600000000000,2097152,0,64,ctx,27764032,0,0,0,0,0,0,7152,6.316873
28,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,2147483648,32768,0,3600000000000,2097152,0,64,heap,27764032,0,0,0,0,0,0,9066548,6.316914
28,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,2147483648,32768,0,3600000000000,2097152,0,64,usage,27764032,0,0,0,0,0,0,275362400,6.316941
29,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,4294967296,32768,0,3600000000000,2097152,0,64,write,27764160,248209920,1117748,69722,248209920,286143488,285581312,3600003688448,11.449643
29,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,4294967296,32768,0,3600000000000,2097152,0,64,stack,27764160,0,0,0,0,0,0,8688,11.449711
