i,suite,case,SEED,SIM_SIZE,FILE_SIZE,FS,CHUNK,DISK_SIZE,SIM_TIME,SKIP_WARMUP,FILE_COUNT,SIZE,DISK_GEOMETRY,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
32,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,67108864,3600000000000,0,32768,2097152,1,0,heap,638976,0,0,0,0,0,0,1552,30.172651
32,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,67108864,3600000000000,0,32768,2097152,1,0,usage,638976,0,0,0,0,0,0,8912896,30.172693
34,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,268435456,3600000000000,0,32768,2097152,1,0,write,638976,139906889,22822,133,8661037096,11684864,17432576,3609097123576,30.438398
34,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,268435456,3600000000000,0,32768,2097152,1,0,stack,638976,0,0,0,0,0,0,2288,30.438496
34,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,268435456,3600000000000,0,32768,2097152,1,0,ctx,638976,0,0,0,0,0,0,640,30.438546
34,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,268435456,3600000000000,0,32768,2097152,1,0,heap,638976,0,0,0,0,0,0,1552,30.438590
34,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,268435456,3600000000000,0,32768,2097152,1,0,usage,638976,0,0,0,0,0,0,8912896,30.438631
33,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,134217728,3600000000000,0,32768,2097152,1,0,write,638976,139906889,22822,133,8661037096,11684864,17432576,3609097123576,38.190220
33,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,134217728,3600000000000,0,32768,2097152,1,0,stack,638976,0,0,0,0,0,0,2288,38.191695
33,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,134217728,3600000000000,0,32768,2097152,1,0,ctx,638976,0,0,0,0,0,0,640,38.191750
33,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,134217728,3600000000000,0,32768,2097152,1,0,heap,638976,0,0,0,0,0,0,1552,38.191792
33,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,134217728,3600000000000,0,32768,2097152,1,0,usage,638976,0,0,0,0,0,0,8912896,38.191832
31,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,33554432,3600000000000,0,32768,2097152,1,0,write,638976,139906889,22822,133,8661037096,11684864,17432576,3609097123576,39.776266
31,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,33554432,3600000000000,0,32768,2097152,1,0,stack,638976,0,0,0,0,0,0,2288,39.776367
31,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,33554432,3600000000000,0,32768,2097152,1,0,ctx,638976,0,0,0,0,0,0,640,39.776414
31,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,33554432,3600000000000,0,32768,2097152,1,0,heap,638976,0,0,0,0,0,0,1552,39.776455
31,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,33554432,3600000000000,0,32768,2097152,1,0,usage,638976,0,0,0,0,0,0,8912896,39.776492
35,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,536870912,3600000000000,0,32768,2097152,1,0,write,638976,139906889,22822,133,8661037096,11684864,17432576,3609097123576,42.590050
35,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,536870912,3600000000000,0,32768,2097152,1,0,stack,638976,0,0,0,0,0,0,2288,42.590139
35,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,536870912,3600000000000,0,32768,2097152,1,0,ctx,638976,0,0,0,0,0,0,640,42.590184
35,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,536870912,3600000000000,0,32768,2097152,1,0,heap,638976,0,0,0,0,0,0,1552,42.590222
35,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,536870912,3600000000000,0,32768,2097152,1,0,usage,638976,0,0,0,0,0,0,8912896,42.590259
36,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,1073741824,3600000000000,0,32768,2097152,1,0,write,638976,139906889,22822,133,8661037096,11684864,17432576,3609097123576,45.434840
36,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,1073741824,3600000000000,0,32768,2097152,1,0,stack,638976,0,0,0,0,0,0,2288,45.434928
36,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,1073741824,3600000000000,0,32768,2097152,1,0,ctx,638976,0,0,0,0,0,0,640,45.434969
36,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,1073741824,3600000000000,0,32768,2097152,1,0,heap,638976,0,0,0,0,0,0,1552,45.435004
36,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,1073741824,3600000000000,0,32768,2097152,1,0,usage,638976,0,0,0,0,0,0,8912896,45.435038
37,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,write,638976,139906889,22822,133,8661037096,11684864,17432576,3609097123576,49.571169
37,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,stack,638976,0,0,0,0,0,0,2288,49.571243
37,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,ctx,638976,0,0,0,0,0,0,640,49.571278
37,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,heap,638976,0,0,0,0,0,0,1552,49.571310
37,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,usage,638976,0,0,0,0,0,0,9175040,49.571340
38,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,4294967296,3600000000000,0,32768,2097152,1,0,write,638976,139906889,22822,133,8661037096,11684864,17432576,3609097123576,56.513886
38,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,4294967296,3600000000000,0,32768,2097152,1,0,stack,638976,0,0,0,0,0,0,2288,56.513991
38,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,4294967296,3600000000000,0,32768,2097152,1,0,ctx,638976,0,0,0,0,0,0,640,56.514030
38,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,4294967296,3600000000000,0,32768,2097152,1,0,heap,638976,0,0,0,0,0,0,1552,56.514060
38,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,4294967296,3600000000000,0,32768,2097152,1,0,usage,638976,0,0,0,0,0,0,9175040,56.514090
40,bench_p26_wt,bench_p26_wt_logging,42,0,64,2,64,33554432,3600000000000,0,32768,2097152,1,0,write,5070720,24140115,10212480,79549,10492505572,5228789760,10426646528,3600021178348,191.317310
40,bench_p26_wt,bench_p26_wt_logging,42,0,64,2,64,33554432,3600000000000,0,32768,2097152,1,0,stack,5070720,0,0,0,0,0,0,1904,191.317413
40,bench_p26_wt,bench_p26_wt_logging,42,0,64,2,64,33554432,3600000000000,0,32768,2097152,1,0,ctx,5070720,0,0,0,0,0,0,400,191.317462
40,bench_p26_wt,bench_p26_wt_logging,42,0,64,2,64,33554432,3600000000000,0,32768,2097152,1,0,heap,5070720,0,0,0,0,0,0,1552,191.317504
40,bench_p26_wt,bench_p26_wt_logging,42,0,64,2,64,33554432,3600000000000,0,32768,2097152,1,0,usage,5070720,0,0,0,0,0,0,3670016,191.317546
