i,suite,case,FILE_COUNT,FILE_SIZE,SIM_SIZE,SKIP_WARMUP,SIZE,DISK_GEOMETRY,CHUNK,DISK_SIZE,NO_FRUNCATE,SEED,SIM_TIME,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
25,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,268435456,0,42,3600000000000,5,write,661738624,11643680,11975363,46775,5961564160,6131385856,6130892800,3600000819712,20.924510
25,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,268435456,0,42,3600000000000,5,stack,661738624,0,0,0,0,0,0,8688,20.924660
25,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,268435456,0,42,3600000000000,5,ctx,661738624,0,0,0,0,0,0,7152,20.933096
25,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,268435456,0,42,3600000000000,5,heap,661738624,0,0,0,0,0,0,137476,20.933259
25,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,268435456,0,42,3600000000000,5,usage,661738624,0,0,0,0,0,0,16627168,20.933315
23,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,67108864,0,42,3600000000000,5,write,661728128,11643681,11975364,46775,5961564672,6131386368,6130892800,3600001113600,21.341939
23,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,67108864,0,42,3600000000000,5,stack,661728128,0,0,0,0,0,0,8688,21.342087
23,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,67108864,0,42,3600000000000,5,ctx,661728128,0,0,0,0,0,0,7152,21.342133
23,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,67108864,0,42,3600000000000,5,heap,661728128,0,0,0,0,0,0,75652,21.342172
23,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,67108864,0,42,3600000000000,5,usage,661728128,0,0,0,0,0,0,6308192,21.342206
26,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,536870912,0,42,3600000000000,5,write,661740800,11643686,11975369,46775,5961567232,6131388928,6130892800,3600002583040,21.150807
26,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,536870912,0,42,3600000000000,5,stack,661740800,0,0,0,0,0,0,8688,21.150915
26,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,536870912,0,42,3600000000000,5,ctx,661740800,0,0,0,0,0,0,7152,21.150963
26,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,536870912,0,42,3600000000000,5,heap,661740800,0,0,0,0,0,0,227012,21.151003
26,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,536870912,0,42,3600000000000,5,usage,661740800,0,0,0,0,0,0,30513936,21.151045
27,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,1073741824,0,42,3600000000000,5,write,661741376,11643680,11975363,46775,5961564160,6131385856,6130892800,3600000819712,22.948941
27,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,1073741824,0,42,3600000000000,5,stack,661741376,0,0,0,0,0,0,8688,22.949039
27,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,1073741824,0,42,3600000000000,5,ctx,661741376,0,0,0,0,0,0,7152,22.949079
27,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,1073741824,0,42,3600000000000,5,heap,661741376,0,0,0,0,0,0,424644,22.949109
27,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,1073741824,0,42,3600000000000,5,usage,661741376,0,0,0,0,0,0,58157024,22.949137
